# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31163 31163 10528 31163
-1.077034553605964673e+00 -2.686071643428201787e+04 1.906688089130408048e-03 25280 31130 16515 40657
-1.984767856683876897e+00 -7.672655961884418502e+03 7.341563325638631454e-01 22077 31006 17183 46207
-2.974666188480466822e+00 -2.228567224950239961e+03 4.460303052950867486e-01 19883 30952 13653 47063
-4.195455574144562050e+00 4.496062354165383113e+02 6.399849212749852967e-01 17441 30970 13633 43736
-5.349057862240325534e+00 1.244361697529836874e+03 4.991706159114270291e-01 15357 30455 19547 43166
-6.154176379641247863e+00 1.436280664525027078e+03 9.039402646151328824e-01 14487 30550 17830 48799
-7.160586964598351756e+00 1.543224904042428534e+03 7.235654146154705257e-01 13414 30588 17961 47190
-8.128668936832617931e+00 1.588402381882893451e+03 6.061554027202252781e-01 13012 30630 11625 47298
-9.501324288601713519e+00 1.618959927862350924e+03 3.081082209365540447e-01 11821 30795 12674 41779
-1.067931167497032341e+01 1.629128580753938877e+03 1.475643004621892129e-01 11341 30930 16666 42851
-1.162739612610112694e+01 1.632562919027634052e+03 1.075748990881425782e-01 10944 31022 15126 46913
-1.275041356017649541e+01 1.634585141285133432e+03 7.158096019075539385e-01 10366 30996 28496 45199
-1.323933372687131360e+01 1.635016881320519815e+03 2.893427574304433536e-01 10093 31005 27457 57345
-1.398797880979180874e+01 1.635463624847811843e+03 3.650326752644454942e-01 9788 30967 39273 56983
-1.438501083942950309e+01 1.635622166379799637e+03 4.964326171557289502e-01 9627 31053 38364 68052
-1.497371034498281794e+01 1.635808210718646478e+03 3.156331387939300681e-01 9330 31068 14785 67593
-1.646358539856707992e+01 1.636107582597969213e+03 2.659161550084956360e-01 8769 30631 6336 44784
-1.831885978845248530e+01 1.636261878639801807e+03 4.751884359353869547e-01 8121 30327 6440 36339
-1.996661198910174662e+01 1.636304158413498499e+03 5.542365886251119367e-01 7469 30237 12588 36572
-2.102769061024098107e+01 1.636312587161562533e+03 7.769412302254296021e-01 7333 30205 14816 42148
-2.206992831502354946e+01 1.636317088965128733e+03 3.785960611490657435e-02 7101 30118 5609 44306
-2.401715298001303722e+01 1.636320516890063573e+03 3.386333377867387084e-01 6228 29198 13282 34175
-2.496677318404319479e+01 1.636321118429435046e+03 5.744075801423704775e-01 6086 29185 13896 41834
-2.606135537045174999e+01 1.636321432343844663e+03 7.999399748108377839e-01 5866 29308 22897 42562
-2.670341822547197097e+01 1.636321520605948535e+03 2.343906031621136310e-01 5690 29291 26620 51548
-2.738103195976852433e+01 1.636321580242295113e+03 4.520560739189410371e-01 5472 29087 48741 55072
-2.753539547162434786e+01 1.636321587729859630e+03 2.401500409775669809e-01 5551 29095 54962 77204
-2.789440114334821530e+01 1.636321607563137150e+03 9.910417270510265553e-01 5279 29034 63340 83344
-2.818789954466894088e+01 1.636321622785422733e+03 5.072941201102796338e-01 5276 28943 0 0
