# level_assignment log_likelihood tiebreaker ID
0 -5.374871228125637863e+05 4.030932871328706257e-01 4
2 -1.863013687122444026e+04 7.981980020492898120e-01 2
0 -1.232827452252791729e+06 2.098899429559586416e-02 0
0 -5.898272787981188594e+04 2.831720595888310710e-01 3
1 -1.088574134831157280e+05 1.801273257763991720e-01 0
0 -1.524419248033038806e+06 8.885646356096380538e-01 4
4 -3.907801791571850458e+02 3.708617450201622257e-01 3
4 -7.711617697075728756e+03 3.193391489968698815e-01 0
1 -2.386109832242522316e+04 2.949364502351392581e-01 1
4 -1.227004439039641511e+04 7.860737669755368806e-02 3
5 1.157998128281075424e+03 5.152267289274017337e-01 4
5 -1.224214523717937027e+03 8.921892011630572217e-02 0
2 -5.541599363584577986e+03 3.638216633164428337e-01 1
6 1.374230978786330979e+03 4.082026119600201675e-02 0
2 -3.608865922105409845e+04 8.243174165592455083e-01 0
2 -3.057709524183462418e+04 7.326962279808273415e-01 3
4 1.156578730565287515e+03 4.437596881911538560e-01 4
1 -1.167906904239101277e+05 4.922979221833245211e-01 3
5 3.097073272882780657e+02 6.389552204142892045e-01 3
9 1.557341947529201661e+03 2.332147368559269462e-01 4
9 1.619221476884999447e+03 8.430244322313475980e-01 1
2 -2.426073986060214520e+04 5.362040614792973336e-01 2
4 -8.786446155322491904e+03 6.536561186824176861e-01 4
6 3.805544982978483972e+02 5.926606528972673260e-01 3
10 1.611083643880724594e+03 7.811702264894635483e-01 4
10 1.591053493726545412e+03 8.451064469122608891e-01 4
0 -3.236519813399123959e+05 7.383027038246887663e-01 2
1 -2.174301795225538954e+05 3.509424064334931703e-01 4
2 -7.106891074417239906e+02 2.304370946060984027e-01 1
7 1.410984345158142560e+03 7.255914196079515932e-01 3
8 1.441861784295054804e+03 7.954789319555466420e-02 1
10 1.590073049918424658e+03 3.315858996261975555e-01 3
5 5.084355204271923867e+01 9.168723514366917682e-01 4
8 1.511442408259307740e+03 9.335602765973787243e-01 1
12 1.622699730081349117e+03 9.077138695879605201e-02 1
3 -2.432006113599805394e+04 5.020486189538322375e-01 4
