# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31211 31211 12399 31211
-9.299822958007899487e-01 -3.479406832885761105e+04 6.981956589444906491e-01 26158 31229 18336 42442
-1.779602504357956194e+00 -8.671151351055796113e+03 1.697934621789343179e-02 23679 31263 15422 48068
-2.907414973062168340e+00 -2.037133574793816251e+03 2.269994870974655909e-01 21991 31306 20116 45799
-3.740707331043663153e+00 2.760983387445448045e+01 1.977490339916069262e-01 20876 31205 15470 49861
-4.900030322923223380e+00 1.101085196611607898e+03 6.432189122550798777e-01 19624 31336 14269 45809
-6.054800118924234198e+00 1.452299207686864747e+03 5.540009191979898828e-01 18615 31311 22114 44498
-6.771416755156638878e+00 1.533926612367779398e+03 2.601564017688668962e-01 17908 31302 21189 51888
-7.672732311526947235e+00 1.582799292085468551e+03 6.335481365005968257e-01 17011 31352 24971 51317
-8.407301485117157469e+00 1.604827848373538018e+03 8.478188702442945868e-01 16361 31407 14130 54994
-9.743019979967296962e+00 1.623046555399777390e+03 2.964888025468336852e-01 15212 31339 10889 44709
-1.112227977032393156e+01 1.629404307227021491e+03 1.813450693133606545e-02 14268 31207 14401 41385
-1.217384894125210337e+01 1.631185150122677214e+03 4.014692879138994086e-01 13725 31101 20653 44391
-1.295303941182924845e+01 1.631886288640265320e+03 4.201125397950624674e-01 13097 30935 12152 50117
-1.433967281628588175e+01 1.632522046014503985e+03 3.796982569184539913e-01 12511 30954 7532 42384
-1.599562046988848962e+01 1.632771719425030369e+03 3.166196464490411699e-02 11505 30867 12918 37909
-1.706607970098356120e+01 1.632827411373817540e+03 9.850810216336829406e-01 10980 30921 14829 42801
-1.812181314699250834e+01 1.632855545572769643e+03 6.877354167200701029e-01 10424 30868 15824 44580
-1.915516249315259856e+01 1.632868469025439026e+03 2.270441385124346567e-01 9981 30900 13229 45589
-2.037519939255967927e+01 1.632876215680661971e+03 9.149051744602128000e-01 9579 30926 15671 43098
-2.138606245112516646e+01 1.632878978516564075e+03 1.657827176468418540e-01 9089 30639 21568 45282
-2.214273098202265899e+01 1.632880152703676004e+03 2.121432227992297789e-02 9021 30682 15070 50733
-2.334270802010162527e+01 1.632881278315928512e+03 5.324135367433271426e-01 8480 30790 14069 45269
-2.449943423227647088e+01 1.632881849263111917e+03 9.679681050705204459e-01 8135 30826 24321 44367
-2.512271426577675726e+01 1.632881993454632266e+03 3.307308557748012134e-01 7953 30814 23849 54502
-2.595798223088813472e+01 1.632882121969922082e+03 6.302928638624415436e-01 7844 30770 25749 53974
-2.671083561351598235e+01 1.632882193738240858e+03 5.904834071732281142e-01 7518 30473 37889 55588
-2.711922666287839689e+01 1.632882220159565350e+03 4.406293607892275976e-01 7217 30260 46364 67477
-2.751550615199546357e+01 1.632882240122041367e+03 4.127922083808344134e-02 7139 30242 43739 75937
-2.808171881828228322e+01 1.632882261653152000e+03 3.814805370780034455e-01 6972 30078 0 0
