# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31592 31592 13035 31592
-8.951770267732521713e-01 -4.196782894137849507e+04 4.981887120853585316e-01 26862 31540 13288 43273
-2.062450648291997091e+00 -7.384925453481873774e+03 1.253038821039216821e-01 22333 31712 19094 44010
-2.907739141046623566e+00 -2.565567216882019238e+03 6.588383762301637248e-01 20315 31683 25852 49466
-3.574586480083955298e+00 -6.855302928812046730e+02 9.884953243101541887e-01 18675 31695 22710 56086
-4.483560555994166030e+00 6.056761179173255414e+02 6.211099713736771832e-01 17622 31739 17931 53273
-5.567263643212291058e+00 1.248532324852509873e+03 2.726888222337083278e-01 15978 31926 15463 48719
-6.705234420679349938e+00 1.483547911488995396e+03 8.479222679206129820e-01 14747 31915 18321 46387
-7.638590833191808649e+00 1.555749015161790339e+03 6.498405028193998678e-01 13873 31894 21455 49026
-8.474686986397857780e+00 1.590110100198148757e+03 7.678247354358516130e-01 13252 31806 16944 51844
-9.585817685861783843e+00 1.615360569828950702e+03 5.127784066888771974e-01 12527 31819 16048 47819
-1.067170834392774736e+01 1.626623264424291847e+03 6.995936402370458440e-01 11917 31736 13968 46718
-1.186456732804310299e+01 1.632618224933823058e+03 6.718530918065285240e-01 11208 31845 17297 45328
-1.283030597115332050e+01 1.634496960441878173e+03 1.104432536704050005e-01 10564 31749 29362 48072
-1.334815563351380696e+01 1.635007231624137603e+03 4.285373331480366033e-01 10412 31715 20023 59461
-1.443193658770886323e+01 1.635680298268824572e+03 4.253367898960949134e-01 10024 31768 25678 51569
-1.514442754746737130e+01 1.635905463981505136e+03 4.517037941448469596e-01 9688 31726 20763 56763
-1.614983747216518140e+01 1.636118574464002677e+03 8.946623133550505313e-01 9307 31805 22095 51937
-1.701230978536976224e+01 1.636205558743528400e+03 2.719998585792786083e-01 8882 32037 25637 53496
-1.776093233246807301e+01 1.636246677673462727e+03 5.961071572128930907e-01 8770 32137 14444 57141
-1.911257961067842004e+01 1.636293277424319740e+03 4.957746375368345948e-01 8526 32318 23661 46120
-1.979831812808855673e+01 1.636309008627830963e+03 5.263984953205955719e-01 8173 32421 24109 55435
-2.063929527472793168e+01 1.636320628100912700e+03 9.906055056097056166e-01 8182 32615 29175 56088
-2.130865226336624474e+01 1.636326726584667540e+03 4.986135839413413651e-01 7816 32549 13262 61080
-2.280233037669874463e+01 1.636333340080076141e+03 6.068660702978192489e-01 7595 32713 10400 45335
-2.423600166657610089e+01 1.636336397539188283e+03 8.532211445907571523e-01 7104 32603 23390 42353
-2.485319999951119030e+01 1.636336990689002960e+03 7.147905647061768564e-01 6930 32691 42997 55440
-2.513614410637977059e+01 1.636337161042657954e+03 2.758157351849810368e-02 6990 32682 36206 75032
-2.587448925786260645e+01 1.636337561281488433e+03 1.850698243803158005e-01 6868 32626 53675 68206
-2.613795118160977182e+01 1.636337665658742935e+03 1.072665504249021851e-01 6879 32704 0 0
