# level_assignment log_likelihood tiebreaker ID
0 -3.546452266938401590e+04 1.440075494667957812e-01 0
2 -5.503889702432780723e+03 9.163821074748691453e-01 2
0 -4.577111965208666516e+04 9.187478082534804302e-02 3
0 -9.623090875366884575e+04 8.301323694896253214e-01 1
1 -3.465413472613083286e+04 4.686156719576981544e-01 4
4 1.426578975656309012e+03 5.826084454252373757e-01 3
3 1.210183365459852439e+03 1.767392282986647301e-01 2
4 -6.405104041257663994e+02 4.796789455624856369e-01 3
3 -7.345870837416009635e+02 7.625666311104879469e-01 4
4 -2.465143455011505580e+02 9.303883940723380874e-01 2
3 -1.754435309737470106e+03 4.941673913352988001e-01 2
1 -1.950986778329142624e+02 3.546460068069061666e-01 4
3 -1.239397901721633843e+03 2.564764101690129583e-01 3
4 -9.659593613029252879e+01 4.943959443248281405e-01 2
7 1.499798416518889553e+03 2.206050234904068930e-01 2
7 1.496337919697779171e+03 2.293497265741924890e-02 2
7 1.506925897030780561e+03 2.514537800596022277e-01 3
6 1.456041335289692370e+03 3.638655500386240860e-01 3
5 1.394128792479469212e+03 6.000830371500839311e-01 0
7 1.526116594906500268e+03 2.448979081157603155e-01 4
6 1.429029176296940477e+03 8.797124846763013650e-01 3
6 1.316516941181614357e+03 7.314934016020346874e-02 1
9 1.596276358582287685e+03 2.282960991112348292e-01 4
11 1.628416253261360453e+03 1.359808165929082546e-01 4
8 1.629052145252180935e+03 9.744610141370457779e-01 0
10 1.623208235406812491e+03 4.700745457949850881e-02 4
9 1.603093149304690314e+03 6.872962599512794091e-02 2
9 1.630846991723996553e+03 5.524395516727214073e-01 2
13 1.634789375234770887e+03 6.537403765855669402e-01 3
12 1.633998388063876064e+03 8.805161286534874954e-01 3
7 1.510428297956807228e+03 2.941879682977699417e-01 1
14 1.635664330584167146e+03 3.482102298496982939e-01 3
9 1.601611598730195510e+03 7.875681121406346019e-01 0
13 1.635317897707544716e+03 1.210586725421543275e-01 3
14 1.635183239622423116e+03 1.377946265728557385e-01 3
13 1.635397001411712608e+03 9.662478655340852596e-01 4
11 1.628920476133022476e+03 5.899298408797388760e-01 0
13 1.634968081224148136e+03 5.971966755876424449e-01 2
9 1.591353101185894047e+03 9.876911759798895352e-01 1
14 1.635319107230219743e+03 6.889124088692617498e-01 3
4 9.202601925047035820e+02 4.290828009103044849e-01 0
16 1.636018039427493022e+03 6.565346525097401909e-01 3
10 1.619735042090149136e+03 1.314709046739268722e-02 2
