# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32819 32819 13534 32113
-8.755151309697738471e-01 -5.830138795599992591e+04 2.772932512848500508e-01 27226 32662 18416 45074
-1.777151205925345812e+00 -2.409691694792686758e+04 2.508828684015396160e-01 23227 32660 16492 49846
-2.876561723239728696e+00 -1.180533744067356383e+04 1.204799823572931528e-02 20522 32479 17920 48172
-3.866104833847419986e+00 -5.670799204483608264e+03 7.073425621877280633e-01 18825 32513 19671 49390
-4.791310452236230866e+00 -2.154632526533773671e+03 2.487863601951804671e-01 17241 32562 15558 50792
-5.962762827731967974e+00 1.211494016521285744e+02 9.598257659884629200e-01 16033 32740 21184 47065
-6.772612967950231599e+00 8.887511374697664905e+02 1.138425946291342639e-01 15172 32545 18751 52067
-7.792666353353567388e+00 1.328084357092616528e+03 7.850272719398544430e-01 13933 32649 20842 50243
-8.679290357705722769e+00 1.479047849538188984e+03 7.488271057224407112e-01 13229 32718 25060 52456
-9.431151405646108543e+00 1.539959153510603983e+03 5.474255977403575946e-01 12508 32747 16825 56515
-1.063038017060183194e+01 1.591522758672718282e+03 5.238239989584794198e-01 12109 32810 15409 48792
-1.177301019012717020e+01 1.614788507673128152e+03 5.305820056585666133e-01 11347 32835 25554 47131
-1.240556723751193502e+01 1.621299436322296287e+03 4.229552548077932239e-01 11253 32874 21085 56737
-1.339596437768489778e+01 1.628651631709460162e+03 7.560289386921053012e-01 10782 32866 31906 53358
-1.393195554778387901e+01 1.630799021700767071e+03 6.908949836476125927e-01 10429 32913 38335 63321
-1.445264584154340959e+01 1.632280641363391169e+03 9.280321020591721926e-01 10112 32811 39541 69608
-1.503361748789890484e+01 1.633527045284466112e+03 1.548573464322758608e-01 10195 32903 45444 71894
-1.551009620733558947e+01 1.634250557193199256e+03 7.769730383873141299e-01 9981 32919 63079 77199
-1.573396433398879246e+01 1.634471493191151694e+03 8.842124554209493947e-01 9841 32949 28412 94017
-1.692358162399694166e+01 1.635548377381783666e+03 5.853346006416658698e-01 9436 33028 34673 61124
-1.750796397555192740e+01 1.635814283237207292e+03 4.069368238169133178e-01 9127 33005 27587 67040
-1.840069484228384766e+01 1.636074889560694828e+03 2.457175018252759635e-01 8845 32922 27458 59869
-1.919017259353734417e+01 1.636201797849488230e+03 9.987313551253373944e-01 8521 32911 30498 59722
-1.987637129750075715e+01 1.636263582712566404e+03 5.582558454946200399e-01 8518 32951 36822 62802
-2.042828291002851060e+01 1.636302904194885286e+03 3.507476112519487543e-01 8272 33069 41532 69256
-2.095665048065105651e+01 1.636329686681365274e+03 9.419956732656485920e-01 8206 33165 52719 74052
-2.131643044048175639e+01 1.636344317383622865e+03 9.771465269286130351e-01 8100 33200 52964 85286
-2.180750777423887499e+01 1.636361267129085718e+03 6.323463577661243562e-01 8017 33258 57127 85584
-2.222785155109199451e+01 1.636373326706565877e+03 6.551777356503184491e-01 8117 33358 0 0
