# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 323150 323150 102242 323150
-1.136373239123855017e+00 -2.124156147456943654e+04 5.623742464423765464e-01 306978 322332 154457 414507
-2.124451073004399504e+00 -1.183319861056318587e+04 1.851837107156329154e-01 295404 322354 155886 465229
-3.211643978114329556e+00 -7.724466160852017310e+03 7.034365802343587326e-01 284737 321920 176483 467806
-4.188048182963658661e+00 -5.404847589378568046e+03 2.996065426968573253e-01 276564 321149 190478 486428
-5.129302480159289246e+00 -3.828990986755360154e+03 1.713604374641871098e-01 270852 321050 211638 499010
-5.994984574015904677e+00 -2.766407803290517677e+03 9.058908165144918812e-01 265944 321167 217057 519607
-6.874767164196669000e+00 -1.967595293050656210e+03 3.906934875952284419e-02 261029 320873 178055 524330
-7.950068065429243269e+00 -1.275453863956802934e+03 9.626696314326904647e-01 255419 320874 187399 488461
-8.910590443356493751e+00 -8.774227286786970126e+02 3.860182597989949005e-01 249851 321202 211522 496789
-9.772597861048101464e+00 -6.521047333298496369e+02 6.611194533401471007e-01 245527 321275 192432 519555
-1.076621487208383066e+01 -5.017133385498425469e+02 9.018801098328976806e-01 238926 320931 189665 502196
-1.174148301605833922e+01 -4.310311472362853351e+02 9.663327474100179559e-01 233095 321304 205193 499398
-1.263718712682848988e+01 -4.009711841723516841e+02 7.773379263460888922e-02 228866 322026 147435 514298
-1.387032726182252951e+01 -3.790454107084580073e+02 2.942714953373643527e-01 224741 322780 191660 461001
-1.475542273761328538e+01 -3.702066803702767857e+02 2.217077808114780724e-01 222797 323586 147448 502998
-1.596756491922574561e+01 -3.617974152747520407e+02 7.772910173770863906e-02 220291 324014 158833 462321
-1.703144869085191360e+01 -3.569603034033661970e+02 8.384755386268585298e-01 218583 325185 128341 473696
-1.831517933595383596e+01 -3.528987984556348465e+02 6.235553290347946032e-01 216594 325041 144818 444867
-1.942888057695437354e+01 -3.505735970091071181e+02 7.524759738369470874e-01 214185 325302 184512 460173
-2.034808793164802410e+01 -3.492824554775991146e+02 9.855620160525789819e-01 212627 325823 247556 498573
-2.106377494686206475e+01 -3.485392998615437818e+02 9.257324457553969266e-01 211163 326080 218939 558198
-2.200302881142071243e+01 -3.477842980746386843e+02 3.875144906568602776e-01 209264 325318 180529 531927
-2.307894389585972306e+01 -3.471724814148302016e+02 9.731963485138840353e-01 207276 325150 86782 494409
-2.475510996039191269e+01 -3.465604312390144059e+02 3.941920473495243993e-01 201138 320806 144803 405692
-2.578311391731051927e+01 -3.463527257916101689e+02 4.487253364325614058e-01 198719 321001 100721 459546
-2.725824479955153734e+01 -3.461596961764570892e+02 4.201031606704195287e-01 195570 320577 147523 414979
-2.829002499896691347e+01 -3.460742274551784590e+02 1.369978120195105287e-01 194253 320066 213946 461263
-2.907163007889889172e+01 -3.460278938037025682e+02 1.641485564106485717e-01 192389 320375 157316 527992
-3.026927994966641222e+01 -3.459755200461243021e+02 8.555259042101082123e-01 190414 319307 0 0
