# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32470 32470 10844 32470
-1.087734742982506386e+00 -1.502968813307464370e+04 7.803289466243277239e-01 28102 32355 16947 42153
-2.004895609852786809e+00 -3.863931819090322278e+03 2.874222060996165506e-01 25391 32284 21269 47956
-2.828533317851675832e+00 -1.966107493739054007e+03 4.213875494192738103e-01 23653 32267 16215 52047
-3.984440752064651647e+00 -8.835622338025118552e+02 5.107779604271497353e-01 21645 32184 15219 47389
-5.111225976362401724e+00 -5.398273662056985813e+02 3.027236675333025429e-01 20037 32110 18074 46222
-6.054004748323773555e+00 -4.232207331928931353e+02 2.402464490902254113e-01 18632 32104 15422 48952
-7.198925545750569199e+00 -3.741444639542783079e+02 4.109426767405932601e-01 16755 32051 17334 46481
-8.186161689130884156e+00 -3.604950651636011116e+02 4.563236270222236213e-01 15878 32200 13638 48324
-9.432761005935720533e+00 -3.528318315066302375e+02 9.493106973218625733e-01 14635 32383 14460 45129
-1.056124699783643273e+01 -3.497862915625635196e+02 9.965789523711815479e-01 13892 32508 20957 46118
-1.136227252595286075e+01 -3.487243019823662280e+02 5.476635114503380919e-02 13313 32459 17354 51851
-1.245114013805603115e+01 -3.479209624270663426e+02 2.789422037508679231e-01 12606 32464 14734 48978
-1.363892736485065171e+01 -3.475218657691132762e+02 3.469496237824952756e-01 11976 32448 17993 46099
-1.458343181848839265e+01 -3.473633546668007170e+02 3.499462689454284070e-01 11216 32186 15175 48888
-1.574212855975828873e+01 -3.472641640981952946e+02 8.738970852101795028e-01 10672 32130 18185 46382
-1.668238853324830728e+01 -3.472307412329437852e+02 4.160691669534258286e-01 10298 32254 17441 49310
-1.771927899539291573e+01 -3.472103525223981251e+02 9.284080283895317365e-01 9963 32374 13004 48463
-1.901235315718178498e+01 -3.471990668433645055e+02 5.734724383981193441e-01 9497 32570 16196 44565
-2.002372580315744699e+01 -3.471952071370109252e+02 8.326827077878919958e-01 8991 32535 15727 47596
-2.112405941209946647e+01 -3.471929376758808985e+02 6.179082024169708642e-01 8618 32675 16071 48111
-2.221432590938509932e+01 -3.471918165822092419e+02 7.794702917217523064e-01 8358 32758 16538 48185
-2.327929802200094045e+01 -3.471912160348188650e+02 6.156394573147039306e-01 8096 32871 13913 48145
-2.450400556786944861e+01 -3.471909104887172361e+02 1.308483723487021688e-01 7713 32683 15552 46123
-2.558530477637024347e+01 -3.471907619519945456e+02 6.040411870835963315e-01 7279 32668 18293 47579
-2.654387146505716544e+01 -3.471906980383141672e+02 3.611357423494011565e-01 7039 32465 28886 50127
-2.711676419974579488e+01 -3.471906777454440203e+02 3.422758231008593555e-02 6916 32471 19337 60706
-2.825314631382817865e+01 -3.471906522549241458e+02 9.609964673902265941e-02 6495 32441 21524 51137
-2.912584970200092016e+01 -3.471906432592239753e+02 4.273139720392554741e-01 6298 32588 15241 53477
-3.036500797528155715e+01 -3.471906353697096392e+02 5.872069168046634147e-01 5734 32692 0 0
