# level_assignment log_likelihood tiebreaker ID
0 -5.908744748799328227e+04 9.313831178604086158e-01 3
2 -3.416741436891642934e+03 8.646154612695052810e-01 0
0 -9.447006455369474133e+04 5.274096373730881027e-01 2
3 -1.216506634236217678e+03 2.230949793151341676e-01 0
3 -8.694443408077745516e+02 6.893682179067690541e-01 4
3 -5.157562031311563260e+02 6.050029013833944092e-01 0
2 -6.987091855932471844e+02 9.903407590008068695e-01 1
4 -4.387831142187724822e+02 7.806279674567733196e-01 3
2 -3.029260039837929980e+03 8.892253670642346064e-01 2
1 -9.821206996650564179e+03 5.793072845587365904e-02 4
5 -3.983939068068305573e+02 2.012136584035738585e-01 0
0 -6.004463103904161471e+03 1.412665870896543108e-01 3
4 -5.903713685359962255e+02 8.778810545542916621e-01 0
7 -3.580391807135980002e+02 9.138648623097906931e-01 1
2 -3.430842430585356396e+03 5.163431786567707071e-01 1
1 -9.508983893319482377e+03 2.150841789991638497e-01 1
6 -3.780534130061316773e+02 3.734776812324222539e-01 2
4 -3.959362661774996468e+02 7.634360609841654988e-01 0
4 -4.109566980217886112e+02 6.579162738364802143e-01 1
2 -2.536401817950291388e+03 7.181917752531250532e-01 4
3 -5.344627810648539707e+02 1.541663082067223911e-02 4
8 -3.549697562934221082e+02 1.178056737600428894e-01 4
8 -3.541259557234445765e+02 9.889647820884819307e-01 4
0 -4.060827183854766918e+04 4.515689983036896837e-01 1
10 -3.491870634501746054e+02 1.211150890818478432e-01 0
11 -3.468847769040200433e+02 4.690108569215598044e-01 1
7 -3.590301870483495463e+02 5.506225192333904506e-01 3
12 -3.470600751746737842e+02 5.791066017232917584e-01 0
11 -3.478689640316990221e+02 3.942930121869225313e-01 2
6 -3.577568174419329807e+02 1.801774905308322905e-01 2
13 -3.466186916932820168e+02 4.725186634560813448e-01 0
12 -3.469263541198183702e+02 1.292623397908511107e-01 4
9 -3.475338788642200143e+02 9.794030633884448500e-01 1
13 -3.465392043598670284e+02 2.428446472593901728e-01 3
15 -3.464695196883303083e+02 7.940347726267347195e-01 0
15 -3.464790102998537122e+02 4.532186494999300708e-01 0
9 -3.484915002911218380e+02 6.296857868443659356e-01 4
16 -3.464642973783608113e+02 3.830518590442117399e-01 0
7 -3.657449038326678874e+02 6.747284045784920359e-01 4
14 -3.465307399446625141e+02 6.696633500765437619e-01 3
13 -3.465195537880946972e+02 8.083854889791339815e-01 3
1 -1.040286138085035964e+04 5.780269467075715983e-01 1
13 -3.466490372941219675e+02 1.501912635645349381e-01 0
11 -3.473064525965685334e+02 9.706141606517588727e-01 3
8 -3.485755337290659099e+02 2.287922240309647193e-01 3
11 -3.476236505087325099e+02 9.434752131876753545e-01 2
6 -3.651514436404601156e+02 6.064264918816858474e-01 3
7 -3.613358056304739421e+02 6.078185700897732469e-01 4
8 -3.484198316787392855e+02 7.922034801579584951e-01 3
3 -1.239183873486810853e+03 4.409516221970860572e-01 4
13 -3.465793606848532704e+02 4.273791231261900303e-01 2
10 -3.482225852695293042e+02 3.733890238897268898e-01 1
10 -3.469510215700617550e+02 1.466136372688831013e-01 3
14 -3.464709393285898500e+02 9.730262409981023097e-01 2
2 -1.594792058422883656e+03 5.379996276380829556e-01 4
4 -6.028479004194532536e+02 1.226893503661088125e-01 0
6 -3.802762180828415808e+02 7.872155421267483799e-01 1
4 -4.300888824292753156e+02 4.478665402603912438e-01 4
1 -4.388143976144800945e+03 8.294515405595195290e-01 4
14 -3.465939706379742802e+02 3.218192669956061458e-01 0
11 -3.469177450778533967e+02 6.439402614724372143e-01 1
12 -3.469044043043001011e+02 6.736208123076319332e-01 1
14 -3.464755465768930094e+02 4.302150276926790529e-01 2
15 -3.465055705187692183e+02 1.269387711223894377e-01 4
15 -3.465149047855528579e+02 6.345257914186230863e-01 4
0 -5.707615589707557228e+04 5.240665014302869906e-03 0
14 -3.465154829190256578e+02 5.973016331217452235e-01 2
