# level_assignment log_likelihood tiebreaker ID
0 -1.004089317878170114e+05 1.596773640228092150e-01 1
1 -3.632074914914627152e+04 5.767302639295586175e-01 0
2 -7.822444711169891889e+03 4.300788151024058648e-01 3
0 -1.000000000000000053e+300 4.631825251679221322e-01 3
4 -8.617587648123884492e+02 4.029461432407224764e-01 2
0 -8.248041393613853143e+04 5.460034663758790430e-01 4
2 -5.908697017569174932e+03 2.982395978803613068e-01 3
6 -9.923504701274395075e+02 8.095706983696669690e-02 1
4 -2.835995132451952941e+03 5.999803683478146521e-01 1
5 -7.542230903533255741e+02 4.353997308227164353e-01 2
8 -4.491532952528923488e+02 4.499286577726849812e-01 1
6 -9.149635409689692551e+02 8.683535263766227752e-01 0
5 -9.673195805674602070e+02 5.911255982978211865e-01 0
7 -7.605327576005722676e+02 3.353972845803872976e-02 2
10 -3.659566386654481107e+02 6.276984470601070232e-01 1
10 -3.758317476342362511e+02 8.283910897351962621e-01 0
7 -5.888763188606418453e+02 2.528738639238839458e-01 3
6 -1.025780807147432597e+03 4.585714276354924124e-01 3
4 -2.104940860562912349e+03 4.551445965908680336e-01 3
10 -3.660906505468083196e+02 9.453471767111811808e-01 4
10 -3.564824689221925951e+02 7.818600538698843305e-01 4
7 -3.987250317417031056e+02 7.444569238860430094e-01 0
10 -3.776223666147606650e+02 3.056760969161916863e-01 1
8 -4.548094573364411417e+02 5.619553525454801246e-01 3
13 -3.506149998419390386e+02 6.058117621362006933e-01 4
9 -3.823216400082934570e+02 6.238365191874223337e-01 2
2 -8.934563774032219953e+03 8.569148400809898369e-01 3
12 -3.569882327777640398e+02 7.403145370060328911e-01 4
14 -3.502731920632569427e+02 7.016244469731294231e-01 4
11 -3.567525777031668213e+02 2.097951034401962511e-01 4
8 -4.797002557190199923e+02 5.540149653762860282e-01 3
12 -3.582919308176454933e+02 4.424159554045056786e-02 4
10 -3.774914862939747309e+02 2.897490020003514744e-01 2
13 -3.518206930638207837e+02 3.725402873709812157e-01 4
17 -3.468379829802933045e+02 9.849690111495235101e-01 0
16 -3.476822820697781253e+02 1.887096278850064479e-02 4
10 -3.635769911941465580e+02 4.075264237536183609e-01 1
18 -3.465059460907974653e+02 4.523060542637075687e-01 2
12 -3.547470391141201276e+02 5.290912160644039020e-01 3
13 -3.518620382791863221e+02 3.248916836681241538e-01 4
5 -4.299705294272095557e+02 1.467362823963976326e-01 3
14 -3.495333013759134246e+02 3.248126573976539699e-01 1
18 -3.466749127481639334e+02 5.711170881728541149e-01 4
16 -3.468944618852851249e+02 1.300634483997811230e-01 4
14 -3.489128974780890076e+02 4.150065447569553090e-01 1
3 -3.773421104310919873e+03 2.114270953902588346e-01 3
18 -3.466069635217868381e+02 1.225556459788381680e-01 2
5 -1.318692066120960135e+03 2.019892184112752620e-01 3
5 -6.746790781595063891e+02 6.520172181739170014e-01 3
7 -4.704325057742953504e+02 3.654286912656017350e-01 3
13 -3.523264458470486034e+02 4.492870423615660802e-01 0
14 -3.475971252800085836e+02 8.730771124539883354e-01 1
21 -3.464621855713666037e+02 3.515393545281916277e-01 2
11 -3.603214258827588878e+02 7.634504900757102530e-02 3
11 -3.596857669877294938e+02 5.586613506584133804e-01 3
14 -3.502320355490055590e+02 8.041713740828400070e-01 3
18 -3.467927384491671319e+02 1.446870646099773436e-02 2
11 -3.615794040624622312e+02 7.791874981666052635e-01 0
19 -3.465908166914644539e+02 8.827061818029484641e-01 4
4 -3.292182312115482546e+03 3.848840914508466216e-01 1
18 -3.468682058441357299e+02 1.196959109842545416e-01 4
8 -4.296701994913744329e+02 6.325704832990450832e-01 3
12 -3.553436292488962067e+02 4.194670021502004964e-01 3
17 -3.467687646677694033e+02 7.806978727723979938e-01 2
8 -5.035868900077041417e+02 4.152576286625158097e-01 1
16 -3.476622889943095629e+02 4.108685333460058153e-01 3
20 -3.464830459126243341e+02 8.065540448729823231e-01 2
15 -3.482865518268639562e+02 1.112815203871928282e-01 0
15 -3.482415451848426642e+02 2.163615396693409909e-01 0
16 -3.471157356175233417e+02 2.399936637475486856e-01 3
14 -3.485632922402173222e+02 8.501810290666156344e-01 3
15 -3.478333745516732733e+02 8.358163421323112630e-01 1
12 -3.568599838253088592e+02 8.545258858369919608e-02 3
16 -3.473108308608728407e+02 7.999703977897647533e-01 0
20 -3.464802139744191436e+02 9.649984734764038841e-01 2
10 -3.819155768252674079e+02 2.793098195242484927e-01 3
14 -3.494611735918360864e+02 2.847835335004179069e-01 1
10 -3.815099204936474848e+02 6.738501649112437208e-01 3
15 -3.485330090515861912e+02 9.790885496871126747e-01 2
17 -3.470698066534353643e+02 5.810382853284464799e-01 4
17 -3.469940111786373791e+02 2.650857410049576313e-01 2
5 -1.550374462177220266e+03 7.034406392912789796e-01 3
18 -3.466930716580310445e+02 5.188764133908154719e-01 0
11 -3.532128826163491908e+02 9.580269818646887092e-01 4
19 -3.465855312911753572e+02 7.714103307428399336e-01 0
18 -3.464533337986807737e+02 3.027413997486192443e-01 1
23 -3.464590636097850052e+02 2.577628725865923065e-01 0
24 -3.464517315597810239e+02 5.935881271480005772e-01 0
24 -3.464531996670863236e+02 2.638687109499901137e-02 1
19 -3.465267002772863520e+02 7.471569279870760028e-01 4
21 -3.464712512953688019e+02 8.319404932859342239e-02 2
18 -3.467673886637494434e+02 2.955327825370407946e-01 2
26 -3.464515909336274149e+02 5.240478070748856299e-01 0
21 -3.464656989694293543e+02 8.113873760632973609e-01 0
17 -3.470333835727278142e+02 7.442754398508520941e-01 2
22 -3.464664841031427613e+02 6.492707415667910986e-01 1
15 -3.484072063453869532e+02 5.734701992124603409e-01 2
14 -3.500932474005870176e+02 4.434267577810368510e-01 3
17 -3.471547471656460289e+02 7.262504022656292024e-01 2
26 -3.464513834902644476e+02 9.542382162502320853e-01 1
27 -3.464510018797919315e+02 5.891595620689926704e-01 1
19 -3.465740846799708379e+02 4.848584080961897413e-01 4
28 -3.464506918158731423e+02 7.829171835006176750e-01 1
29 -3.464505488500059300e+02 9.229239442004230076e-01 0
29 -3.464505494654037534e+02 4.127246680958700509e-01 0
29 -3.464505253658956008e+02 7.464519087786930518e-01 0
11 -3.533061661792068548e+02 5.236553127515192196e-01 3
1 -2.368671268640800554e+04 3.619386930663640589e-01 2
25 -3.464529719565135792e+02 6.725712783581654364e-01 0
29 -3.464503755557144586e+02 6.378008989295763653e-01 0
25 -3.464514342370423492e+02 5.571053349311757552e-01 0
1 -8.545985101462061721e+03 4.265611474068631281e-01 4
17 -3.470384798646695117e+02 8.334458489481153531e-01 3
17 -3.470880159746859022e+02 1.230742797581985126e-01 2
25 -3.464535300188514384e+02 7.190056339078801928e-01 0
27 -3.464511385576705607e+02 8.302819080754567649e-01 0
24 -3.464529475266847385e+02 1.102518636138515307e-01 1
11 -3.565758338319801055e+02 7.049192614224399911e-01 3
27 -3.464506605696243469e+02 8.612942800340700478e-01 1
5 -1.833820977409067382e+03 4.988882663615905599e-01 3
22 -3.464615861880764669e+02 6.487779864936485952e-01 1
5 -1.778502558853274422e+03 8.733686792831907297e-01 4
2 -1.230090781183912077e+04 7.457863621579617908e-01 2
12 -3.597039723494751229e+02 1.986863180733858258e-01 4
27 -3.464507915963805544e+02 5.534563565454050371e-01 1
8 -5.343171035495611250e+02 6.326585820014063444e-01 2
18 -3.467857640987236891e+02 3.394948280953169473e-01 3
26 -3.464504284901892106e+02 5.284646007388087430e-01 1
24 -3.464556695139981457e+02 3.422443072518923657e-01 0
27 -3.464506015951010909e+02 2.491499598349124212e-02 1
3 -6.694694315645491770e+03 8.201830553028994775e-01 4
10 -3.529373342938761198e+02 4.406091261849293117e-01 3
26 -3.464513532802524765e+02 6.820645965895101304e-01 1
20 -3.464573000263118843e+02 9.207428086682973856e-01 0
1 -3.690760119585665234e+04 6.708456472667645443e-02 2
13 -3.519502788395053017e+02 3.480839192555138517e-01 3
2 -1.141647121923546183e+04 3.933204634339295680e-01 2
16 -3.471177000848451257e+02 9.752623934500141700e-02 4
17 -3.471166139758602185e+02 9.327459946357453680e-01 4
24 -3.464527536627563222e+02 1.420753620674402029e-01 0
23 -3.464550287803317019e+02 2.390808691704347788e-01 1
17 -3.466294180920648955e+02 1.603651935530997497e-01 3
23 -3.464507341460897578e+02 9.705803400274494175e-01 1
27 -3.464507177514374803e+02 6.255428682877754998e-01 0
13 -3.498060215097704599e+02 3.236784489497829265e-02 4
23 -3.464601252447792490e+02 5.474709263057127018e-01 0
26 -3.464508881752406069e+02 2.697117677219595944e-01 0
22 -3.464596258276052936e+02 6.648201108733456932e-01 1
7 -7.683667949326720645e+02 8.797386826747968236e-01 2
11 -3.599273219072964025e+02 5.853550454556126770e-01 4
21 -3.464609840853355536e+02 5.139409521380962076e-01 0
23 -3.464561311277842037e+02 7.352219197589923150e-01 1
9 -3.836610856625446786e+02 3.376806981543606923e-01 3
21 -3.464936205814523191e+02 1.915501346096147306e-01 0
24 -3.464540632421035298e+02 7.293800739816678202e-01 1
25 -3.464533114355705834e+02 1.801611789265890051e-01 1
24 -3.464535122547735000e+02 9.700714706957853650e-01 1
22 -3.464657663827014744e+02 9.369995974371865544e-02 0
22 -3.464613546168779976e+02 8.077701269248684923e-01 0
21 -3.464901314972345290e+02 9.117350273576487751e-01 4
19 -3.465495513683142690e+02 1.072414735320350587e-01 4
21 -3.464924198898181658e+02 1.043831724945292194e-01 4
25 -3.464529227345933577e+02 2.899709368568927914e-01 0
24 -3.464539792018308049e+02 7.109288578713707230e-01 1
20 -3.464878641930946515e+02 6.104965636109664640e-02 4
1 -2.234241658060612099e+04 5.198448569093589572e-02 2
22 -3.464572719118991699e+02 5.841720060887157784e-01 0
5 -1.236856117215282666e+03 1.056594721670467696e-01 2
0 -2.913726899160759785e+04 1.027420166581051730e-01 2
14 -3.506993097871636564e+02 6.657670821982258902e-01 4
8 -5.687683485563084105e+02 1.978284012407370840e-01 2
18 -3.468508304511374831e+02 7.970748501740367864e-01 3
7 -5.537180482386735321e+02 4.323936059565691714e-02 2
29 -3.464504919373920302e+02 7.158643082497238019e-01 0
13 -3.478348351678598078e+02 9.357208029142737304e-01 4
1 -2.444516186085157096e+04 3.248950292517105432e-01 2
29 -3.464504659535482460e+02 9.543366713532122625e-02 0
5 -1.526634992411332405e+03 4.143622741841408996e-01 2
10 -3.764228513050277343e+02 6.651073757887444593e-01 3
11 -3.505988355630212254e+02 4.653435448535319097e-01 1
1 -5.262829972379799074e+03 6.924287515108201729e-01 3
5 -1.655593068318306450e+03 4.716661869542421726e-01 2
0 -1.000000000000000053e+300 8.258510909595693228e-01 2
