# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32142 32142 9605 32142
-1.187395694604961083e+00 -2.280160376678924877e+04 4.667448456495134623e-01 25217 32244 19023 40966
-1.969489269990355895e+00 -9.114225842137524523e+03 9.184809763464431009e-01 22885 32212 19480 49819
-2.912034975903686096e+00 -3.281735053492392581e+03 1.830344265048812202e-01 20704 32127 17836 50414
-3.948737478209484841e+00 -1.309291713931036156e+03 3.615661117224178156e-01 18147 32110 19815 48877
-4.857245453861076534e+00 -7.426306922592463025e+02 4.433726996806832688e-01 16878 32171 22457 50791
-5.683254999911789618e+00 -5.286039337397353393e+02 3.893499353758578252e-01 15375 32046 17758 53219
-6.775102396832624940e+00 -4.151493653268908588e+02 5.263641671415637546e-01 13932 31919 18536 48671
-7.742549616901155396e+00 -3.820884932502386846e+02 4.219130620953396860e-01 12830 31945 16432 49494
-8.838701694116171126e+00 -3.678622791662819509e+02 4.909402602910208913e-01 12099 31884 20595 47528
-9.684438049549177308e+00 -3.605918067957011885e+02 2.818171541204050889e-01 11768 31914 20728 51450
-1.059860536942902165e+01 -3.554010660132491353e+02 9.128870736883243353e-01 11097 31841 30900 51813
-1.113777386568148842e+01 -3.532618602539215544e+02 2.879716266890758880e-01 11018 31835 31309 61814
-1.183140642648599972e+01 -3.509005185088009853e+02 3.070632497892717416e-01 10803 31841 32249 63055
-1.251542150997090097e+01 -3.492892645554930482e+02 9.002152078076690600e-01 10314 31732 45338 63390
-1.287392624002391628e+01 -3.487145141535361859e+02 3.211562840485627790e-01 10159 31661 52740 76364
-1.326281976141584451e+01 -3.482161539699980608e+02 1.554963969672513713e-01 10099 31655 72479 83757
-1.342857770845958143e+01 -3.480436773859916002e+02 1.510332272439508516e-01 10088 31663 93227 103111
-1.354715134061488868e+01 -3.479229440776254592e+02 3.440907728522475395e-01 9842 31627 104042 122430
-1.372427683889772076e+01 -3.477363509201699117e+02 2.541496397294767950e-01 9914 31584 96822 133736
-1.405869615993992028e+01 -3.473692532591850295e+02 1.310956046767166872e-01 9752 31469 80325 128030
-1.453489940752321274e+01 -3.468819345844775626e+02 7.599317359342423472e-01 9524 31547 83626 111241
-1.483445812335798664e+01 -3.466409063803014305e+02 7.655340482081113285e-01 9511 31598 84720 114578
-1.514994828822716677e+01 -3.464263519674631198e+02 7.446902317756967093e-01 9467 31639 94808 115711
-1.536395547556136876e+01 -3.463023251865196244e+02 4.065600602847713185e-01 9136 31672 102677 125833
-1.558087560542525019e+01 -3.462020259843860117e+02 4.086865053454806218e-01 9371 31714 121899 133762
-1.568761143146268111e+01 -3.461614262713451353e+02 5.485291936618494901e-01 9156 31697 138888 152957
-1.579622164995706868e+01 -3.461232822305869377e+02 7.786189336205220357e-01 9145 31699 163032 169949
-1.584909848135477795e+01 -3.461051722836394902e+02 5.489634150779942878e-01 9177 31710 159954 194106
-1.605152942525417714e+01 -3.460271318965553746e+02 7.432655910283655354e-01 9110 31723 0 0
