# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31732 31732 12355 31732
-9.482753952160415389e-01 -1.752781693774928135e+04 3.991439874826355205e-01 27813 31723 12962 42891
-2.130105402968714756e+00 -3.143157807896284794e+03 6.464832861179693746e-02 24656 31749 15063 43775
-3.192282315934416914e+00 -1.330944270364026124e+03 1.854865717821917448e-01 22690 31774 14699 45717
-4.317689058541022362e+00 -6.784126382079823543e+02 4.526592056523559560e-01 21430 31700 19493 45427
-5.173069025523451714e+00 -4.993523391927518560e+02 8.185513192552708039e-01 20489 31600 17581 49867
-6.213021731816134263e+00 -4.122460610857996244e+02 2.995506513242508495e-01 19589 31684 16562 48081
-7.274611436379013085e+00 -3.818183395949100714e+02 9.304159231786705009e-01 18727 31606 17926 47199
-8.244703949634168083e+00 -3.717863676613772554e+02 7.772288236054214483e-01 17899 31759 17723 48544
-9.251844439691607747e+00 -3.677760034392489956e+02 7.172209405998266618e-01 17134 31761 17758 48341
-1.025319967269794574e+01 -3.658491745996370810e+02 6.996479997876530188e-01 16297 31774 15544 48383
-1.137981303849999470e+01 -3.648636545221275469e+02 4.602881618126939967e-01 15245 31875 14330 46503
-1.254471003448944089e+01 -3.644167920650212409e+02 9.887376471708017034e-01 14518 32048 20237 45488
-1.336595994951906619e+01 -3.642615732133903066e+02 3.837373680423963873e-01 14011 32071 17767 50862
-1.441462797342573587e+01 -3.641585468531261540e+02 8.324668185189657565e-01 13581 32133 18698 48975
-1.537973301131887460e+01 -3.641075072620127457e+02 3.968341612723997325e-01 13120 32180 10124 49698
-1.692370749766611482e+01 -3.640703463197228302e+02 8.369795522715252067e-01 12148 32091 13415 41457
-1.804233762613383973e+01 -3.640601870395913124e+02 1.603326126508033411e-01 11557 31758 13249 44025
-1.922837857281521678e+01 -3.640548290568502807e+02 2.965263234027992745e-02 10798 31737 15896 44647
-2.025890079192021176e+01 -3.640526466384443438e+02 5.419125437372165344e-01 10254 31647 14749 46898
-2.140503478076307786e+01 -3.640514785263010822e+02 1.363241692626561141e-01 9922 31616 21114 45734
-2.219116507857602372e+01 -3.640510795201656720e+02 9.375443580106986863e-01 9529 31705 28902 52159
-2.280094814788094482e+01 -3.640508779908610677e+02 7.785645943723495943e-02 9271 31743 25202 60008
-2.367473137436862629e+01 -3.640506902512526040e+02 8.643573790276333213e-01 9030 31751 23596 56295
-2.455078619420845243e+01 -3.640505899821192202e+02 9.624153405884339207e-01 8806 31915 11630 54866
-2.606279534747982041e+01 -3.640505144263199213e+02 5.872815138998381812e-01 8245 31590 20407 42554
-2.681392934800950556e+01 -3.640504991050955255e+02 1.005882035096289651e-01 7949 31611 15049 51401
-2.802751915404294891e+01 -3.640504847827179447e+02 6.643961921231709145e-01 7589 31638 9827 46045
-2.952654791141755553e+01 -3.640504775262882049e+02 4.344412833619214487e-01 7070 31355 19576 40546
-3.027205175623269895e+01 -3.640504758834734957e+02 8.317764373285281287e-01 6827 31110 0 0
