# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32571 32571 10366 32571
-1.131188666098492224e+00 -1.178878216606017304e+04 7.257404747761921904e-01 27839 32461 16414 41859
-2.071713126572015895e+00 -3.081533977181849878e+03 9.809710700378593273e-01 25194 32457 20610 47576
-2.917706809644136978e+00 -1.542603631082497486e+03 8.381569420787933211e-01 23690 32384 17535 51778
-3.995519367003422584e+00 -7.615056057657216115e+02 2.538220715639185610e-01 21952 32277 15838 48937
-5.115379145420725138e+00 -5.075581175602862345e+02 5.659341312233875376e-01 20904 32338 15219 47102
-6.236470757154640054e+00 -4.217532850330816245e+02 7.867281373206964634e-01 19751 32250 12853 46361
-7.498691679442921476e+00 -3.912499730042035821e+02 6.591270701504634566e-01 18285 32319 15397 44335
-8.552353903417337477e+00 -3.837215784312361393e+02 7.467983792073563665e-01 16273 32429 13585 46803
-9.772553263158817671e+00 -3.779705411689737389e+02 5.900846222158608878e-01 14485 32236 18070 44925
-1.068892537205288917e+01 -3.750573369031692437e+02 4.045420580501760122e-01 13704 32056 18402 49025
-1.167000453752573641e+01 -3.728019274197022241e+02 9.143271202127110087e-01 12799 32107 16566 49247
-1.275386790955899841e+01 -3.708438558423241034e+02 3.811113875552479269e-01 12146 32201 16011 47674
-1.383906239100099178e+01 -3.693161470586125006e+02 7.608904539658640775e-01 11406 32030 15414 47140
-1.494907687262502449e+01 -3.681671250772685084e+02 4.770518775667653699e-02 11041 31939 15330 46550
-1.605237294099372747e+01 -3.672028634073803914e+02 1.985188713995754695e-01 10451 31911 18677 46715
-1.697422097953988995e+01 -3.665895432794447970e+02 1.750908354698816893e-01 9787 31816 19640 49416
-1.790141026733272867e+01 -3.660673763544565418e+02 9.172941818728408414e-01 9758 31895 14869 50243
-1.910471327180820822e+01 -3.654980410723394471e+02 2.471329891174710650e-02 9410 32058 31916 46570
-1.951245612302474086e+01 -3.653445898016861406e+02 6.403555761056636264e-01 9162 32092 34599 62247
-2.011622354413516689e+01 -3.651371513534122073e+02 7.474501730616039952e-01 9005 32183 23122 65056
-2.114906345979832025e+01 -3.647876164413358424e+02 8.030808032473878144e-02 8903 32171 24000 54331
-2.197534266861386953e+01 -3.645381844264163078e+02 1.875188744182367806e-01 8653 31954 17014 55393
-2.314513917652329411e+01 -3.642548088025979496e+02 3.767650285588436398e-02 8394 31949 22053 48432
-2.394369275367693817e+01 -3.640946728602253870e+02 9.430762789273321456e-01 8098 31727 17376 53124
-2.505424930406469386e+01 -3.638987146568341586e+02 5.711095640905525794e-01 7763 31279 19350 48006
-2.596829336322392123e+01 -3.637487453967257807e+02 7.751431874400616095e-01 7564 31199 18826 49894
-2.694444745444766198e+01 -3.636085562218426048e+02 5.514062811887541216e-01 7496 31269 9746 49468
-2.851812409455977715e+01 -3.634157723539661902e+02 9.870100387507928508e-01 7211 31450 19513 40566
-2.926712776065376431e+01 -3.633364063488696729e+02 4.943995076589983162e-01 7167 31375 0 0
