# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 27497 27497 9804 27497
-1.028014084532951733e+00 -1.589147990282957835e+04 9.532242567654466425e-01 24135 27543 11919 36183
-2.129127799352295014e+00 -3.356098559533638308e+03 8.248225911546485101e-01 21563 27658 14248 38531
-3.124364272906179796e+00 -1.488758029505615241e+03 6.140678775909838016e-01 19574 27697 12550 40786
-4.289009979946737161e+00 -6.965562705117160931e+02 3.080811501993352408e-01 17411 27680 16604 39269
-5.159533188029799433e+00 -4.928151830509273736e+02 7.401084403387829802e-01 15997 27687 13401 43064
-6.314506746738267395e+00 -3.945014186951586908e+02 5.980575332283217804e-01 14336 27621 12228 40044
-7.485885748232524506e+00 -3.630555716141169569e+02 9.139979047190500694e-01 13061 27624 15570 38879
-8.407134231681277825e+00 -3.547076733998657119e+02 4.254381134129077702e-01 12462 27608 17472 41996
-9.292247550580718496e+00 -3.508626850085280466e+02 6.368998420931293314e-01 11953 27717 20188 43872
-1.008200872127618730e+01 -3.488469893116952107e+02 7.872135574227290267e-01 11451 27862 18291 46651
-1.102221994190634646e+01 -3.475242687787707041e+02 8.864432098277789107e-01 11168 27965 16245 45028
-1.204042811432756999e+01 -3.467616909193175161e+02 1.571810519960266106e-01 10617 28125 20917 43334
-1.278511154662286309e+01 -3.464791363447830008e+02 9.224416698077220200e-01 10218 28102 8360 47521
-1.445696751500554100e+01 -3.461586273314383106e+02 4.124222562361761213e-01 9504 28033 6940 35893
-1.602967508495272497e+01 -3.460693826803459956e+02 1.594040986509757118e-01 8793 27682 14410 33925
-1.689738786652096891e+01 -3.460477393931140568e+02 1.248255860806690848e-01 8488 27611 10616 40523
-1.820805444230821379e+01 -3.460311819562596156e+02 2.307331541096431238e-01 7966 27855 3115 37403
-2.045741957518059095e+01 -3.460213002413910317e+02 5.763433133170217104e-01 7074 27253 5633 30058
-2.204420292745006549e+01 -3.460196139988019013e+02 8.559510648726209592e-02 6760 27495 14886 32510
-2.284290782278536369e+01 -3.460192839845390154e+02 1.987241689256668276e-01 6528 27496 16389 41127
-2.376846288156885123e+01 -3.460190768384168791e+02 7.985004292734922959e-01 6432 27405 5488 42455
-2.569394081504518113e+01 -3.460188347963089655e+02 3.252358441210822515e-01 5609 26659 4127 31676
-2.757878693090818345e+01 -3.460187715811655949e+02 2.516220988758908761e-01 4968 25649 5366 29411
-2.918598090214597107e+01 -3.460187522351808411e+02 2.698151977327800100e-01 4820 24990 9432 29784
-3.032044640746135045e+01 -3.460187458284210607e+02 5.337643361167683231e-01 4616 25052 15612 33834
-3.111135252679243024e+01 -3.460187434854670983e+02 4.496654149379262361e-02 4511 25033 6718 39986
-3.281150400209465801e+01 -3.460187405675188757e+02 1.253020720996145254e-01 4029 23988 2081 30078
-3.513837846083254846e+01 -3.460187395022057899e+02 1.795060819145582742e-01 3719 22823 7362 24271
-3.630709456461602969e+01 -3.460187392931185286e+02 6.312975628186945354e-01 3437 23004 0 0
