# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 30462 30462 10260 30462
-1.079590676755862511e+00 -1.350053139489613932e+04 9.605706952586346992e-01 26523 30529 10665 39703
-2.367156866485990996e+00 -3.113407275087319249e+03 5.030857930959928837e-01 23183 30662 12770 40548
-3.510456796797490231e+00 -1.685603318704038429e+03 4.427534018707169339e-01 20771 30785 16906 42565
-4.438934972977685689e+00 -1.049417799648033451e+03 9.309881990802293394e-01 18998 30792 18339 46511
-5.373867435132493320e+00 -6.778049900027043577e+02 2.249314731659528832e-01 18013 30900 14528 47985
-6.555469011773750410e+00 -4.720395306199492325e+02 9.441318727195386895e-01 16304 30810 15705 44307
-7.590113622958963191e+00 -3.990369313138470488e+02 2.744010174967659310e-01 15634 30796 19234 45390
-8.457349669193515496e+00 -3.728916398500963396e+02 2.955464578571802559e-01 14573 30796 24286 48593
-9.167185039558036763e+00 -3.616145468562477845e+02 2.276135452128738024e-01 14184 30804 22007 53546
-1.006223186192958252e+01 -3.544174073092689810e+02 6.914581391112548658e-01 13405 30787 25490 51390
-1.077847571330233123e+01 -3.513675717772143798e+02 8.612553776002678241e-01 13063 30853 13002 55026
-1.219136415249596617e+01 -3.480408126941027831e+02 2.224304557738825128e-01 12101 30811 14796 43201
-1.325782823426107271e+01 -3.470693386654340884e+02 7.391444810863314618e-01 11643 30660 13256 44472
-1.445281196145711355e+01 -3.465331764276433546e+02 9.762604045207952108e-01 10960 30262 24631 42818
-1.503086747147123070e+01 -3.463877966875702441e+02 4.286545658814794324e-01 10417 30282 24210 53310
-1.583091754143070240e+01 -3.462664579532083735e+02 6.582014049979197923e-01 10193 30417 21230 53560
-1.676032078888984245e+01 -3.461847691725936897e+02 3.228240701742863816e-01 10114 30456 10677 50584
-1.827308657477600207e+01 -3.461134959947875700e+02 3.532315557633201181e-02 9353 30552 9092 40816
-1.972898779692625837e+01 -3.460884116403952930e+02 3.585409117270007551e-01 8821 30503 7455 38746
-2.131058425310801852e+01 -3.460780918749131843e+02 9.342226654606520242e-01 8323 30773 17956 37952
-2.207623806367655916e+01 -3.460757319469392428e+02 8.644481691126526535e-01 8258 30976 15937 48091
-2.317392002256902828e+01 -3.460734397215865670e+02 3.169984330163820863e-01 7975 31070 18117 46441
-2.411889087117421226e+01 -3.460725399741875208e+02 5.689616521339295740e-01 7500 31200 12272 48671
-2.546903716510415094e+01 -3.460718279607675072e+02 2.411646921559014445e-02 7409 31328 21559 42963
-2.617704831608189409e+01 -3.460716398705850452e+02 8.234999780925773560e-01 7103 31287 26464 52200
-2.687213969985688777e+01 -3.460715284830788505e+02 6.006508975765196823e-01 6904 31382 17297 57204
-2.805694678438781153e+01 -3.460714334075690317e+02 2.881012829021034616e-01 6636 31160 25171 47812
-2.871739268733841399e+01 -3.460714065167521767e+02 6.477277635384263155e-01 6400 30703 12210 55237
-3.019143614776077200e+01 -3.460713617157783801e+02 6.079196297936824145e-01 6065 30817 0 0
