# level_assignment log_likelihood tiebreaker ID
0 -9.019328685506547117e+03 9.313831178604086158e-01 3
1 -3.050551970477679788e+03 1.151328505268541837e-02 2
2 -1.722515567079738730e+03 6.215072192500604720e-01 0
1 -1.208403387914188352e+04 6.113269352624977060e-01 0
0 -4.555233316672421643e+04 7.870943039898861127e-01 0
0 -5.368462344288810709e+04 8.609901153947063790e-01 4
1 -3.385120269768550315e+03 7.360089973786466677e-01 0
4 -6.077585888901717226e+02 5.169652854805331099e-01 0
6 -4.496754934219591178e+02 4.187817270884846010e-01 0
4 -4.830171988933502689e+02 6.405664356688207661e-01 0
1 -1.329660234838200631e+04 3.734096446474171049e-01 2
7 -3.803010822692863826e+02 3.545429957059414994e-01 1
0 -8.344381839490227867e+04 5.797288037081216316e-01 1
2 -1.352230503588845977e+03 6.798730726408952485e-01 0
8 -3.566645348131459059e+02 8.681333918599994093e-02 1
4 -6.213102098223545227e+02 4.243482444823403199e-01 0
10 -3.525101759969422801e+02 6.370924860141236046e-01 2
8 -3.522216045388337307e+02 8.368568563374967351e-01 0
11 -3.472688418814867077e+02 2.252442903830947918e-01 4
5 -5.605973880491051204e+02 6.631452136728555047e-01 1
1 -6.758914125319986852e+03 5.804448607323031695e-01 4
10 -3.517513443478832187e+02 4.319540343465395615e-01 3
11 -3.481983226218510481e+02 6.553730584907553336e-01 2
4 -8.753519458864043372e+02 1.713057285930581486e-01 3
4 -7.870700873489225842e+02 7.191860909947813685e-01 1
10 -3.513252892450417448e+02 1.315462617679985791e-01 4
2 -3.049094737207271010e+03 3.411947178274181702e-01 2
5 -4.523169689988527580e+02 4.033900421203764908e-01 1
7 -3.623511304955489436e+02 5.401379444675982189e-01 1
0 -2.699403711111895609e+04 9.930175607384001957e-01 1
12 -3.471952237728318096e+02 9.157713697754518711e-03 3
13 -3.469598416580216735e+02 3.288930116810191984e-01 4
13 -3.464376959256616146e+02 8.933423772071487357e-02 3
13 -3.469084634574591064e+02 8.096427204833716029e-01 3
13 -3.467893416859204763e+02 4.317783454054222037e-01 1
11 -3.501196182568511972e+02 7.551153770082930095e-01 3
4 -9.763088988508923194e+02 1.398701888834541773e-01 1
3 -1.081112423649572293e+03 9.598460199134200010e-01 0
1 -4.074836879287774991e+03 8.338342811887119455e-01 1
0 -1.164051532640104415e+05 4.713780908001685699e-01 4
1 -2.393224503515723882e+03 6.942121869873757456e-01 0
13 -3.470004887765999229e+02 1.433124508077169568e-01 1
12 -3.475443132659229377e+02 9.739850028378677083e-01 3
1 -7.838361697458566596e+03 6.854432258957595669e-01 2
10 -3.482158996126107695e+02 1.094457462828262173e-01 1
3 -1.112783712553852638e+03 3.321200754820908263e-01 2
15 -3.463116935859098930e+02 3.351794793695694885e-02 3
16 -3.462486258836435695e+02 6.479062078435074978e-01 0
11 -3.472260881850608598e+02 6.241451093937153694e-01 1
13 -3.468730666119357693e+02 3.883940278151041814e-01 1
13 -3.470269004971207210e+02 6.810099238019911017e-01 0
2 -2.383034611525307810e+03 5.570651732671629830e-01 2
6 -4.184221208298442889e+02 6.563345237842553859e-01 4
5 -4.368954841625960626e+02 8.277838985106842351e-01 0
2 -2.534062768624777163e+03 3.955184244173866048e-01 2
10 -3.524437868718765685e+02 5.102356093687019367e-01 3
9 -3.556904400962444015e+02 9.033991147003250788e-01 3
8 -3.635701562206776885e+02 3.922229932831146071e-01 1
9 -3.598180182842203862e+02 6.213914284417189071e-01 0
2 -2.280172711344771869e+03 7.446578045134510937e-01 0
1 -3.968221623857637496e+03 2.814834497081817877e-01 0
10 -3.531935030804734197e+02 3.126931107976229640e-01 2
1 -8.678594275524339537e+03 6.348812916410825347e-01 1
10 -3.504451990237205337e+02 1.029759755773240748e-02 4
2 -2.698079405266912090e+03 9.860032648051308968e-01 2
2 -1.532452187991670144e+03 7.283283745518964736e-01 1
2 -1.436519314694974128e+03 7.809520635151058210e-01 1
12 -3.474544911983975908e+02 7.705244589668829303e-01 3
5 -4.593052813905376865e+02 4.927993711199375459e-01 2
12 -3.468638066902504988e+02 2.683149324334389574e-01 3
12 -3.468850653554138717e+02 9.065620281572971395e-01 3
17 -3.461594584486878148e+02 5.647286057851585994e-01 0
2 -1.955195836182762832e+03 3.297178086542216363e-02 4
1 -5.128996989727086202e+02 2.057284057515929021e-02 4
3 -8.292769001526399961e+02 4.469050866266219835e-01 1
13 -3.467669437568565058e+02 3.160905663017553047e-01 3
13 -3.470226664446603877e+02 3.639291200816501259e-01 4
16 -3.462558281908907247e+02 4.421455337407285135e-01 2
7 -3.916253635837601905e+02 7.545356277518067145e-02 0
12 -3.468410000177883603e+02 1.819972800442481997e-01 2
15 -3.463571844424076289e+02 8.710276981348479275e-01 3
16 -3.462368599711918478e+02 6.084111166750894029e-03 2
16 -3.462221476710814159e+02 6.249916105450145087e-01 2
16 -3.462122483867924529e+02 1.086479089822138533e-02 2
15 -3.462107778912068170e+02 7.609634008853130016e-01 3
15 -3.462050087669427398e+02 5.102980602703600654e-01 3
14 -3.464167412981689722e+02 7.071612067555929082e-01 2
6 -4.281802271828626090e+02 8.492069246031190843e-01 0
15 -3.463647551966911351e+02 5.483899623893370157e-01 2
15 -3.462813322111109073e+02 3.054943570757435722e-01 3
15 -3.463075520172337747e+02 5.289527021437649967e-01 3
16 -3.462533734310790123e+02 4.625926683005019968e-01 2
17 -3.461675436025356021e+02 3.533941683087027386e-01 3
4 -8.510294629109630478e+02 4.022338742674879675e-01 0
8 -3.589700796910591976e+02 1.782452579220063504e-01 1
13 -3.468388628161336555e+02 2.814288069860778133e-02 0
10 -3.515131197413326163e+02 8.679029205668423730e-01 4
9 -3.526142295872875820e+02 7.529439188351220169e-01 4
13 -3.468908368184298752e+02 6.356385320658588522e-01 3
16 -3.461901004952478615e+02 6.567344772061401992e-01 2
8 -3.697977496674585609e+02 2.272606733985540473e-01 1
15 -3.463874197815669049e+02 1.184831916510731276e-01 0
18 -3.461013184714515205e+02 3.949015992540217540e-02 2
14 -3.463598475239530217e+02 4.272486244154914403e-01 2
11 -3.475058725065523504e+02 6.669366834234963237e-01 4
16 -3.461685169922037630e+02 5.045795147860172580e-01 3
13 -3.469307730802224796e+02 3.600903013222792048e-01 2
3 -1.001557602823420780e+03 9.220985661423628521e-01 1
6 -4.520576922385371859e+02 7.147047683454037514e-01 1
6 -4.281122825927969302e+02 2.619685737287252847e-01 4
5 -4.076158092546829153e+02 1.227625371664246845e-01 4
2 -2.219065000636018340e+03 1.576878101037552105e-01 1
0 -6.388003706425661949e+04 7.579756912569219907e-01 1
17 -3.461742415017798749e+02 1.702233858503205965e-01 0
18 -3.460998948368898027e+02 8.893125758324162966e-01 0
3 -1.192406651023645736e+03 1.946222847149729485e-01 4
19 -3.460768658179595150e+02 5.295221820209800034e-01 3
21 -3.460750988593814554e+02 4.785455700464591455e-01 3
18 -3.460958877243658662e+02 9.534568289207033809e-01 2
20 -3.460735580689520816e+02 8.399483294498298891e-01 2
15 -3.461736954312190164e+02 6.451306186012586430e-01 3
14 -3.463582215124446293e+02 1.608487371766695873e-01 3
11 -3.491557721635266489e+02 5.972034148433491563e-01 1
20 -3.460760494920647830e+02 3.801776462681172863e-01 2
14 -3.464607281123934399e+02 9.283581774946112475e-01 1
14 -3.462907705906976616e+02 3.430135885293452702e-01 1
14 -3.463320565066577501e+02 7.727715850365559636e-01 1
17 -3.461684529536826744e+02 1.589447518067998999e-02 3
21 -3.460750535005418556e+02 3.838011542704060086e-01 0
21 -3.460725097822754037e+02 4.119894767067489028e-02 0
15 -3.461238779483702501e+02 9.960253709262716360e-01 3
15 -3.463548368283535410e+02 5.120316068959150924e-01 4
18 -3.460821895794648526e+02 5.218787640525057725e-01 3
22 -3.460722841252219268e+02 5.752037354392094404e-01 2
18 -3.460793005807805116e+02 1.118638687478396010e-01 3
13 -3.465845491929035234e+02 9.339731694521922201e-01 4
18 -3.460814704952355783e+02 2.646215253677203227e-01 3
17 -3.461815108128412248e+02 9.293304027662088185e-01 1
22 -3.460718029957650970e+02 4.032696638120526478e-01 2
23 -3.460722114388903492e+02 1.260270301253032799e-01 0
19 -3.460833744432248409e+02 2.790534838208419410e-01 3
22 -3.460726760218315121e+02 9.437712673144325048e-01 2
22 -3.460724878746642048e+02 3.939586528914217900e-01 2
26 -3.460714155511793706e+02 5.542738614421773846e-01 0
19 -3.460752672236876037e+02 6.273753605107663667e-01 2
26 -3.460715173362252699e+02 4.372908075454535748e-01 0
27 -3.460714202250497920e+02 9.064533851833437295e-01 0
17 -3.461564479633195219e+02 8.217186944023109341e-01 4
24 -3.460714623044821110e+02 9.306618822051460072e-01 0
24 -3.460717263095081648e+02 8.872063105154559537e-02 2
15 -3.462605053624369020e+02 6.832126340736184578e-02 4
15 -3.460737306703363174e+02 4.999941557123318558e-01 1
28 -3.460714003629912554e+02 7.845049518327615878e-01 0
15 -3.462887530235887539e+02 3.112779471534662390e-01 3
29 -3.460713352595826677e+02 5.459178080941415878e-01 0
29 -3.460713616693363974e+02 9.402523147404865389e-01 0
21 -3.460729353726044906e+02 7.521134207270917527e-01 1
28 -3.460713557930895377e+02 2.226602890893583375e-01 0
29 -3.460713616846616105e+02 8.781556611417232761e-01 0
6 -4.209789745304340158e+02 5.993623817273521226e-01 3
7 -3.593380868046226624e+02 7.977020574235589301e-01 3
9 -3.577638081260254239e+02 1.479276040671868853e-01 3
1 -1.041638201699368074e+04 7.845781207532358525e-01 4
24 -3.460718137694771031e+02 6.229969053177977223e-01 0
20 -3.460744692563729359e+02 9.554042652563898841e-01 1
22 -3.460732959826699471e+02 5.266305897564880212e-01 1
5 -5.018335691132811007e+02 4.399316892622131547e-01 4
17 -3.461730602835532409e+02 6.027529541189218243e-01 1
24 -3.460716586350598618e+02 7.819533815412471611e-01 0
19 -3.460824933384478186e+02 1.542255365376927756e-01 1
28 -3.460713972522380573e+02 7.410652502864351066e-01 2
24 -3.460715127781165847e+02 4.667549646365686811e-01 2
29 -3.460713542201888799e+02 7.558381516801657707e-01 1
12 -3.473322872947318842e+02 7.774275211641821226e-01 3
26 -3.460714807032082376e+02 1.319768541585968624e-01 0
29 -3.460713494706049005e+02 1.668475042155986854e-01 2
26 -3.460713730099648728e+02 9.802765046762483836e-01 2
28 -3.460713792913235238e+02 7.387244288309916529e-01 1
24 -3.460714758866325269e+02 2.297616123431479029e-01 1
10 -3.508984490728859100e+02 1.240675914864224350e-01 4
6 -4.243929040531161831e+02 4.071013734258954742e-02 3
28 -3.460713774672509544e+02 4.697645500404157293e-01 0
26 -3.460713748780473225e+02 7.232298474620245665e-01 0
1 -1.225154657346969179e+04 1.687600098507409108e-01 4
2 -2.491505831185706938e+03 3.038528031355630654e-01 3
4 -7.972252026176138315e+02 7.676986200893139989e-01 3
3 -1.261613749634583201e+03 2.174423770655931065e-02 3
25 -3.460715466190741836e+02 8.137198976546358153e-01 1
28 -3.460713720432959235e+02 3.163929699584629995e-01 0
29 -3.460713587425514675e+02 3.107222177619046732e-01 0
19 -3.460849382941883619e+02 5.087655738828047447e-01 2
27 -3.460713582391657042e+02 3.643705269403163527e-01 0
8 -3.488533425218367370e+02 7.057334792371641186e-01 3
25 -3.460715775487895485e+02 3.094701281168781293e-01 0
25 -3.460714390008847658e+02 6.084000566760170425e-01 0
7 -3.849802993128542994e+02 1.157415890837128758e-01 3
16 -3.461531469977447841e+02 1.025336908286014342e-01 1
21 -3.460751534227348998e+02 4.401223055132231360e-02 4
15 -3.463347647666519720e+02 2.290868316621830492e-01 4
14 -3.462888163546462010e+02 8.930173052464923655e-01 4
17 -3.461533260517464896e+02 6.673488711888220237e-02 1
26 -3.460714047498981927e+02 1.621876509917273557e-01 0
7 -3.845608507568338723e+02 7.483946021468051990e-02 3
8 -3.500450029909106320e+02 8.437077143559212900e-02 4
17 -3.461641536180524668e+02 2.800393472830806640e-01 2
21 -3.460718376089590720e+02 5.274211628689577935e-01 0
10 -3.525280393450669862e+02 7.053669040541513668e-01 1
22 -3.460723185547898311e+02 9.374958917336495556e-01 0
15 -3.463058349613376663e+02 1.974646630625299382e-01 2
20 -3.460720894932967440e+02 5.947410553574804526e-01 0
