# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32617 32617 13767 32617
-8.739727914331431036e-01 -2.033695984511693314e+04 9.997082270935403470e-01 27011 32659 17565 45115
-1.820895781088198273e+00 -4.516635393826861218e+03 5.533857457990988271e-01 22865 32672 16725 49013
-2.891356011439060403e+00 -1.801515754158128857e+03 2.658066066723971943e-01 19658 32456 14505 48145
-4.077547805346579679e+00 -8.205353224648557671e+02 5.685128888930713886e-01 17436 32424 19420 45918
-4.946522525746161136e+00 -5.519278993317556115e+02 8.028452750555636896e-01 16034 32425 11677 50404
-6.374853480040776788e+00 -4.061186748132934667e+02 3.445860431643446575e-01 14237 32329 19843 43297
-7.168604394697020155e+00 -3.827101319981047141e+02 9.043149403254793217e-01 13567 32257 17204 50804
-8.246390253851954455e+00 -3.690854102710596862e+02 3.145780376831419645e-01 12501 32328 20500 48532
-9.116115399961044474e+00 -3.650230196495572841e+02 6.280842695077808457e-01 11637 32334 13860 51242
-1.040295509167210319e+01 -3.630601747907674053e+02 6.957950251803254327e-01 10973 32428 12166 45409
-1.169602200899317523e+01 -3.624338586841298593e+02 5.063380397178529613e-02 9985 32470 20926 43875
-1.245186615863381796e+01 -3.623096652749131863e+02 4.631685513063285020e-01 9409 32470 15946 51832
-1.361947188289696165e+01 -3.622368151924477502e+02 5.252773090709045301e-01 8910 32489 14793 47383
-1.477248626254025510e+01 -3.622151616209093845e+02 6.130803200702601430e-01 8219 32481 18172 46253
-1.571081121596502328e+01 -3.622097314548834674e+02 9.374939077506465601e-01 7729 32474 21361 49468
-1.655950568386799659e+01 -3.622075406687014834e+02 2.578155954823126983e-01 7431 32514 22172 52817
-1.743451786308414597e+01 -3.622065455055371217e+02 4.675619182125467788e-01 7065 32412 20862 53363
-1.837701204918835884e+01 -3.622061359251562180e+02 7.114848868237964863e-02 6680 32511 15760 52218
-1.956254304940753030e+01 -3.622059490643934510e+02 2.767948194122240579e-01 6354 32367 13580 47773
-2.080230903998230474e+01 -3.622058861050040832e+02 6.589380404085289911e-01 5946 32256 22074 45195
-2.153516408897210610e+01 -3.622058744018876268e+02 1.394109273669964510e-01 5516 32210 15112 53218
-2.277763396006325536e+01 -3.622058662515881906e+02 4.285311400008620097e-01 5173 32321 22772 46910
-2.351574429728060167e+01 -3.622058646437956213e+02 6.761258641572155670e-02 5024 32239 17330 54377
-2.465080229769971609e+01 -3.622058634109484956e+02 2.699582798738924816e-01 4766 32121 35799 48816
-2.499172613971209600e+01 -3.622058632836798324e+02 7.562843329897142031e-01 4672 32218 46490 67386
-2.538406895459776536e+01 -3.622058631639895339e+02 1.466362725626137453e-01 4525 32213 34022 78060
-2.622062857253434132e+01 -3.622058630050752299e+02 8.141172311216295920e-01 4418 32281 24974 65668
-2.718890735085122401e+01 -3.622058629283775417e+02 1.501535668100607568e-01 4247 32292 30408 56621
-2.782738227579105228e+01 -3.622058629070825759e+02 5.677556798512958247e-01 4216 32372 0 0
