# level_assignment log_likelihood tiebreaker ID
0 -2.115222584856095636e+04 7.922023512834370784e-01 4
1 -2.012604696320381481e+04 1.539241840362848279e-01 2
2 -1.330516298751268005e+04 3.161231225073765638e-01 4
0 -6.001745705834809633e+04 1.756821744819904163e-01 3
3 -9.146115483759433118e+03 5.607909321589188423e-02 1
1 -1.292665859087351419e+04 6.829573283501724212e-01 1
3 -5.474394052221539823e+03 2.795221164594843266e-01 2
1 -1.416577813284570220e+04 2.736958199814691906e-01 1
5 -3.826867025305291463e+03 9.680008828060753245e-01 3
1 -1.578992908499515397e+04 1.089629802036595485e-01 1
6 -1.780750849850882560e+03 3.508033970089563525e-02 4
4 -5.154957974286868193e+03 9.174528296370603186e-01 1
1 -1.870946242351695764e+04 4.212765352532710228e-02 2
5 -5.724549142173663313e+03 3.342298185676961797e-01 3
0 -1.823003444839760050e+04 3.996317070470316035e-01 1
2 -1.184512892115981413e+04 1.132640496868297583e-02 3
9 -1.316781196464675304e+03 9.713547404585187728e-02 3
7 -3.160443291514738576e+03 6.665494808517138381e-01 2
2 -1.156242631802698452e+04 5.556182576152414176e-01 3
9 -1.711497703358846138e+03 2.803115134911893236e-01 1
4 -4.028584205329567340e+03 1.713946403514476913e-01 4
10 -1.321209380133375817e+03 2.406129702379747881e-01 3
11 -9.808879280460050722e+02 9.750083101518310924e-01 1
10 -1.194048315842432658e+03 9.765373429896651025e-02 3
10 -1.315305863798940436e+03 6.868231284934669945e-02 3
10 -6.894961658448505659e+02 9.087821576568572146e-01 1
4 -6.213667798894395673e+03 5.034413556593435590e-01 1
1 -1.529099550549499509e+04 6.024360425827157695e-01 2
7 -3.066414397999417815e+03 8.147816988783528336e-01 0
2 -1.176241395152318000e+04 1.915820035643246988e-01 2
2 -9.015943977043178165e+03 1.746757211129514875e-01 3
12 -7.815760930363628631e+02 9.312127126084837059e-01 2
14 -5.063995551910647919e+02 3.573878429194330963e-01 1
11 -4.971654211192685011e+02 3.640292835195850785e-01 1
11 -9.675174352181102222e+02 3.777435855006547882e-01 0
12 -6.538106005764927886e+02 3.764303919989870906e-01 0
14 -4.859081378157811741e+02 4.276915315455900868e-02 1
14 -5.115447637228562598e+02 5.335951992984379055e-01 4
3 -7.102583378396042463e+03 7.334145573786381433e-01 2
12 -6.010265159095082481e+02 5.048790908442334358e-01 0
12 -6.817102461758685195e+02 1.508157950233579847e-01 1
14 -4.322281978950067014e+02 9.372496816253299556e-01 1
16 -4.176846715138112245e+02 4.556098766607162565e-02 1
14 -5.194033219646828456e+02 4.089749307909524845e-01 3
18 -3.857791818617215540e+02 9.460501548033238839e-01 0
18 -3.839135561433803332e+02 7.407119016812644396e-01 0
17 -3.773003344112855757e+02 8.893378766455259932e-01 0
19 -3.770704605738704345e+02 2.951584609605983900e-01 0
20 -3.740866324964119940e+02 9.783020041538676992e-01 4
15 -4.522414840304984978e+02 8.602391363915898870e-01 3
18 -3.892395736415138572e+02 5.064482939535444039e-01 0
20 -3.734651660256622563e+02 1.484771395592012488e-01 2
21 -3.637365285644457344e+02 5.441898517236154476e-01 4
18 -3.787745505422479937e+02 4.051951074217150506e-01 1
18 -3.893256607122081050e+02 9.250573632555919579e-01 3
13 -4.656461752864061623e+02 5.517795421257756239e-01 1
19 -3.694112728205877829e+02 7.184039678106952653e-01 3
22 -3.631251617943649421e+02 8.903890980212754158e-01 3
24 -3.571840909568861662e+02 8.857335622451492085e-01 2
8 -2.038339919735733929e+03 1.821764702383130707e-01 1
24 -3.586525039125521630e+02 3.134605527978415740e-01 4
25 -3.565207058009227126e+02 5.456462196548094168e-01 3
22 -3.657069668484188583e+02 8.986593901285292452e-01 3
3 -8.602065741940356020e+03 2.495068922644065879e-01 1
6 -3.909793756685267908e+03 3.710931498816529839e-01 1
26 -3.519387288594525671e+02 5.535187428297140277e-01 3
15 -4.283940027272715270e+02 9.035838819940362754e-01 4
25 -3.571576061371632136e+02 2.166103988986452233e-01 2
28 -3.507479674936014931e+02 2.406694669988531377e-01 0
26 -3.512397060308305186e+02 2.860363769964001657e-01 0
25 -3.565841961022023270e+02 3.968573669706518814e-01 1
22 -3.646013853284628112e+02 6.757249941356315848e-01 1
16 -3.838782686051166024e+02 5.891468870444920292e-01 1
29 -3.493600257420077924e+02 1.693124895872479690e-02 3
27 -3.507116187318097218e+02 5.657915769412271700e-01 3
14 -4.284843665142178679e+02 5.298574841642338384e-01 1
22 -3.634683998836421779e+02 3.429309361935425904e-01 2
25 -3.556599149756487463e+02 9.579955003658383594e-01 3
14 -4.856003928432745056e+02 1.326253657529541385e-01 1
26 -3.539307329189366556e+02 9.075948422697521778e-02 2
31 -3.477233768705036141e+02 8.891547527248853111e-01 3
32 -3.464935010461759930e+02 6.544880026863642009e-01 0
33 -3.469021871171530620e+02 7.672217069077752472e-01 0
25 -3.563463135286814349e+02 5.137301091407591169e-01 2
31 -3.475676694270473490e+02 3.505948918379280244e-01 0
30 -3.480267445008412324e+02 5.317527574583830186e-01 0
31 -3.472237698647622324e+02 9.012689005238252449e-01 3
19 -3.789724426770112018e+02 6.268620747287825812e-02 4
18 -3.860732929893666778e+02 8.090824179107483083e-01 4
28 -3.500215736645724860e+02 9.668339949305480019e-01 0
30 -3.484810367781366836e+02 5.236203481017567274e-01 2
27 -3.494907274219532951e+02 5.893290126687640296e-01 2
25 -3.562119688639185711e+02 1.227029879526160272e-01 4
26 -3.543361623470665336e+02 9.360175248520490321e-01 2
14 -3.693500517690511629e+02 7.522991573524654418e-01 0
22 -3.564106700125175848e+02 6.302172850583488417e-01 2
23 -3.600459514074915433e+02 3.180533040890234364e-01 3
27 -3.516664272358684116e+02 3.803711443097518297e-01 4
23 -3.616097852346390482e+02 9.287689718829522656e-01 1
26 -3.554524130352563702e+02 9.909692824246654208e-01 2
25 -3.530443668576729124e+02 2.098550574401620850e-01 3
24 -3.591821176294263296e+02 7.231210729878958521e-01 1
25 -3.568339002140754701e+02 4.550812559287642500e-02 1
23 -3.581559277808294155e+02 8.692816723058939266e-01 4
26 -3.526023491034216022e+02 3.118057993973298858e-01 2
25 -3.555332407721373897e+02 8.098278658805240227e-01 0
27 -3.532663838931497367e+02 9.930708125692009336e-01 3
27 -3.506642094741218330e+02 5.170232965083698673e-02 1
31 -3.470967022885732831e+02 7.019137657254592710e-01 0
18 -3.703103812470869798e+02 5.379367836440721584e-01 3
23 -3.628512695088406304e+02 9.891638267425932884e-01 2
25 -3.526532430009469863e+02 6.881033386731765233e-01 1
33 -3.467775740103454041e+02 4.857663207356223700e-01 0
27 -3.523798911663747049e+02 8.828951198513977638e-02 4
31 -3.471820299401852026e+02 8.372725245045794518e-01 1
19 -3.641115009891916543e+02 6.075729618356803252e-01 2
29 -3.470779103388088629e+02 3.776147348843770235e-01 1
32 -3.472074704004394334e+02 7.070732172474336608e-01 1
23 -3.628379555919338486e+02 7.090485173550202802e-01 3
32 -3.472638717037499987e+02 3.226417188401420333e-01 0
34 -3.465483065788318413e+02 4.315238263253063367e-01 0
26 -3.544688755009948977e+02 1.696587255541049666e-01 2
22 -3.622844762742575995e+02 9.473506864920450132e-01 3
25 -3.561093897485202433e+02 3.576188288696628970e-01 0
26 -3.545404869453012680e+02 7.549330860546277222e-01 2
28 -3.515054052931483852e+02 2.216719561830814422e-01 0
30 -3.483502389222607007e+02 7.966750042526129505e-01 4
30 -3.482226263817245808e+02 7.956927185404714109e-01 1
27 -3.528838696140648494e+02 7.877339919601045182e-02 1
31 -3.473094579827937878e+02 7.518464368483350757e-01 4
26 -3.553416118254251614e+02 8.683297235523025348e-01 2
35 -3.464040869641899576e+02 7.426456307273360258e-01 4
25 -3.550792719698305859e+02 9.269046180256601541e-01 1
28 -3.501568084989340832e+02 7.903320519199539262e-01 0
29 -3.485244304336684991e+02 5.086443102326644317e-01 0
27 -3.518459336858031179e+02 2.599509009934630188e-01 1
24 -3.564819100196588124e+02 4.477493432240732263e-01 2
36 -3.463937276591257728e+02 2.121564583672114757e-01 4
27 -3.523915984316411141e+02 1.400503078372324905e-01 0
37 -3.462569247940148216e+02 6.624253304091384242e-01 4
36 -3.463486940496342186e+02 7.564142819711965338e-01 1
29 -3.481258497539379277e+02 8.733700588304542656e-01 3
32 -3.472956493679770347e+02 4.407933684650338080e-01 3
25 -3.572967025744013654e+02 1.278655582096668297e-01 2
12 -7.490125141780168860e+02 7.742219285266261908e-01 2
39 -3.461318284357376456e+02 5.658923529536057373e-01 4
38 -3.461312758013740449e+02 5.858568887407625825e-01 4
12 -4.129976905047679452e+02 4.769643366257712569e-01 2
37 -3.461948886799073080e+02 7.790658688859379843e-01 3
37 -3.462854502309291433e+02 9.548081145544123904e-02 1
25 -3.555207299479239396e+02 4.725314829148539175e-01 2
1 -2.246473452530099894e+04 6.717212408466544105e-02 0
16 -3.776935771746104820e+02 8.185733013506697464e-01 2
37 -3.462826073280957075e+02 4.509104448160959344e-01 4
37 -3.462832275095884143e+02 4.766743548971846267e-01 3
0 -2.834220090077063287e+04 4.945580224345240694e-01 0
36 -3.464161837961879655e+02 3.764520903798287410e-01 1
35 -3.464346428372726336e+02 3.432925994206463827e-01 3
1 -2.057650449689782545e+04 7.768306416311012708e-01 2
5 -5.390251798952615900e+03 2.488701514580313467e-01 0
34 -3.466800830552227808e+02 8.217165581025582810e-01 4
38 -3.460243494944345457e+02 3.712250853406545703e-02 4
8 -1.834479706337004473e+03 7.372957276778465685e-01 0
1 -7.275674034013331038e+03 4.205373021961127389e-01 0
36 -3.461194248172356538e+02 2.994030020067848241e-01 4
38 -3.461126870675616942e+02 3.902988629854336478e-01 3
35 -3.464321095709510132e+02 1.421830499411968762e-01 3
37 -3.460895860129404582e+02 1.481060581567028578e-01 4
37 -3.461578859751784307e+02 9.990218927010870997e-01 3
29 -3.484116890303654372e+02 4.354091688636598789e-01 2
35 -3.464975856208491223e+02 1.060060423175520766e-01 3
