# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 326407 326407 107000 326407
-1.104578589198513594e+00 -2.302375112801997602e+04 5.772724831936885126e-01 297932 326489 157395 422756
-2.093443163150084274e+00 -1.170362287347311394e+04 8.028868070172086036e-01 276558 326920 194165 472740
-2.989841915534413808e+00 -7.546190946591390457e+03 1.653984040441524028e-01 264627 326560 197321 507848
-3.938314559083911259e+00 -4.621848084198101787e+03 5.961226210327715824e-01 254594 326028 192933 511705
-4.915134836802926621e+00 -2.460813157125327052e+03 5.507578745506194196e-01 246380 325756 201142 506857
-5.843647672741242971e+00 -9.591841825097312721e+02 9.360515021326136775e-01 239233 325148 185418 514582
-6.863177201890772849e+00 1.450792085512145491e+02 9.809627968888112726e-01 231692 324678 192654 499225
-7.818124768472910269e+00 7.474227621918535078e+02 8.650846713688663536e-01 225279 324553 180786 505505
-8.844683613205008399e+00 1.065486301111504645e+03 4.274328090007163405e-01 217916 324491 193198 494111
-9.787291435032759779e+00 1.193077237348382141e+03 6.284686035036125551e-01 210098 324863 190077 505400
-1.076649905983568090e+01 1.247589458669710439e+03 3.080603643221714316e-01 201500 325127 187837 504070
-1.175439416024169681e+01 1.270818610096287102e+03 8.313593762540456567e-01 194221 325285 195613 502173
-1.270049913308356260e+01 1.281317273269962925e+03 9.717526835355133619e-01 188354 326146 180918 508684
-1.373227329047857381e+01 1.287052417549271468e+03 9.659599464307893069e-01 181946 326590 144035 495814
-1.495257474956908617e+01 1.290123884627494590e+03 9.475291296824954745e-01 175108 327231 143037 461803
-1.611265126508013168e+01 1.291397613429614466e+03 6.740365086801225480e-01 167948 327654 152781 459207
-1.720635891721667221e+01 1.291947785837375250e+03 2.815911101957269125e-02 161870 327287 183489 468868
-1.814832110289022182e+01 1.292184776548447644e+03 3.315170263108357940e-01 157457 327459 193383 497669
-1.909677104494097577e+01 1.292319217497037243e+03 5.257012004157469720e-01 153807 328060 181504 508466
-2.012510291922860262e+01 1.292401962538107455e+03 5.507354685714936915e-01 150154 328774 104602 497581
-2.164086029650791332e+01 1.292463578071493885e+03 1.990476268053251729e-01 145257 330141 81064 428547
-2.324311709741537157e+01 1.292496434338540439e+03 6.204641616739373644e-01 140937 329143 113384 405140
-2.449405512425100895e+01 1.292513599662211163e+03 9.709629825537846592e-01 140730 328654 152433 435707
-2.554081933468313537e+01 1.292524050477757328e+03 5.385206828033624327e-02 138340 329502 195068 475603
-2.643850031732877071e+01 1.292530437839023762e+03 1.604798978535402487e-01 135043 330453 269162 519188
-2.711226507566143340e+01 1.292533900216685197e+03 1.328471765772683000e-01 133429 331143 277494 593969
-2.788409555119573824e+01 1.292536966266478885e+03 4.524003849675318212e-01 131039 331425 330857 602593
-2.850024086031564252e+01 1.292538693642047974e+03 9.526156310706674901e-01 128881 331716 409517 656255
-2.899086163972021879e+01 1.292539726373901885e+03 9.757890884961335498e-01 126983 331934 0 0
