# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31903 31903 9023 31903
-1.236166203234090100e+00 -1.640645511289960268e+04 5.107852172023252812e-01 27485 31871 15150 40024
-2.209705843037669037e+00 -8.899931291156128282e+03 5.136801923261060665e-01 25609 31886 16099 45783
-3.251881906320685189e+00 -4.535935795676205998e+03 6.910851704960071507e-01 24238 31934 20109 46986
-4.109457848040273475e+00 -2.197938351899378176e+03 5.438669588568401103e-02 23424 31916 9917 50815
-5.692853006149256601e+00 2.544414701784044155e+02 9.672768668493586519e-01 21963 31916 13972 41302
-6.770507423549662285e+00 8.679664934594064789e+02 8.112926827108277728e-01 20964 31950 21155 44874
-7.537054105298316209e+00 1.068835657805351275e+03 5.921552119464202901e-01 20112 31864 13960 51489
-8.821789328810986319e+00 1.212982374238182501e+03 1.846801480165062015e-01 19077 31751 15015 44967
-9.912007427254355463e+00 1.253846661768771355e+03 8.798192343401146642e-01 18281 31638 17832 45392
-1.085049586054575954e+01 1.270661810559620790e+03 1.699786056915813526e-01 17801 31455 20317 48124
-1.172078047064085204e+01 1.280318444981280663e+03 9.560565033943773106e-01 17261 31285 33009 50556
-1.217311514533791339e+01 1.283259845617527844e+03 1.439375096012490141e-01 16863 31286 24858 62594
-1.310015313949320337e+01 1.287346463904909797e+03 5.347547042007092521e-01 16686 31277 18679 55098
-1.417725615473585243e+01 1.289774302501298962e+03 8.048949001665199887e-01 15949 31388 14805 49169
-1.536424366100435357e+01 1.291092049023895470e+03 5.005355702605004398e-01 15822 31403 21487 45633
-1.613170129158629962e+01 1.291579012593706466e+03 9.037018660697864192e-01 15363 31312 32677 52018
-1.662065138733453296e+01 1.291763832571358989e+03 3.027544116473803171e-01 15228 31371 30665 62515
-1.734504639301081141e+01 1.291972087991017361e+03 6.713513179697261357e-03 15103 31541 32716 61077
-1.798485461217751435e+01 1.292096127915291163e+03 4.642964451742805920e-01 14738 31541 37955 63902
-1.852391327824325273e+01 1.292175212520962305e+03 3.575809929733505458e-04 14771 31652 60838 68967
-1.867521515994316061e+01 1.292192664915823116e+03 6.135114668796904924e-01 14903 31691 72739 91895
-1.892694880334765983e+01 1.292219469564913197e+03 4.705657217492521527e-01 14505 31737 88962 103843
-1.909862416489543335e+01 1.292235153032667540e+03 1.592200792460544134e-01 14714 31707 109377 120031
-1.920699682574146294e+01 1.292243796987530004e+03 5.200358259949702244e-01 15039 31776 109053 139223
-1.946308727505377689e+01 1.292268628288913305e+03 4.022726716228997579e-01 14960 31841 76681 140620
-2.007667569844002031e+01 1.292322938553130825e+03 5.095302621887078942e-01 15224 31908 84856 107950
-2.033264346842515025e+01 1.292342433226831417e+03 8.135853160195356537e-01 15225 31904 103832 116101
-2.046005964072325867e+01 1.292350530555441765e+03 9.653953716126437712e-01 15442 31928 123997 135134
-2.055986116160215715e+01 1.292356211498077300e+03 5.015057175511108412e-01 15215 31978 0 0
