# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33344 33344 11971 32462
-9.977974036794721169e-01 -1.466471702542734602e+04 1.410173212249103969e-01 27522 33352 17588 44650
-1.933814451821354474e+00 -3.223929365285216136e+03 6.216707562395346054e-01 24518 33464 23604 50419
-2.705487377500181090e+00 -1.162205658253539923e+03 3.339269669898720649e-01 22765 33365 24375 56293
-3.550530368562158312e+00 1.431248875530850171e+02 1.310943434659851969e-01 20999 33297 19584 56191
-4.601620061131649564e+00 8.568583331970145309e+02 8.858537600062209583e-01 19356 33237 21049 52047
-5.512102790732587465e+00 1.111120285539395354e+03 2.618733670675066350e-02 17838 33304 22689 53032
-6.369034865410472257e+00 1.209231682238656049e+03 4.088727175941498926e-01 16535 33356 24917 54878
-7.168989553610061627e+00 1.249824530714052344e+03 5.518912853984359046e-01 15580 33351 26914 56850
-7.928574997559630688e+00 1.267087552473891265e+03 6.621153123653521488e-01 14956 33366 23490 59008
-8.853539445037634792e+00 1.279102548781146425e+03 8.798166214347347136e-02 14214 33359 23192 55748
-9.736803492916404679e+00 1.285245948190184436e+03 1.477824223105272949e-01 13344 33399 30321 55760
-1.036353109048015853e+01 1.287704147834402647e+03 5.508622630736584869e-01 13160 33287 37566 62050
-1.088457985570132358e+01 1.289004088856379212e+03 1.106766723516986461e-01 12825 33311 28969 69294
-1.176196381469352659e+01 1.290532696860544320e+03 4.684974645233739299e-01 12332 33301 35927 61067
-1.231106491495367550e+01 1.291100095339146719e+03 9.717551477447142760e-01 12065 33281 34957 68253
-1.299271961738113923e+01 1.291645501968773715e+03 5.413800466533721378e-01 11769 33337 32353 67258
-1.373516698898161259e+01 1.292002372192560870e+03 8.673454227404958639e-01 11340 33255 28377 64153
-1.455879685803432366e+01 1.292220525814546363e+03 9.002498339556552764e-01 10924 33444 16160 60377
-1.585840209659992439e+01 1.292374295782590480e+03 7.062114234254680545e-01 10253 33160 20579 48814
-1.672992749740286200e+01 1.292421805526073967e+03 4.320614224257894320e-01 9762 33141 27081 53338
-1.742327877691403870e+01 1.292441933158921302e+03 9.094479676979528859e-01 9686 33000 30418 59432
-1.810738509524356843e+01 1.292457094935299665e+03 7.779975113462899161e-01 9326 32908 22633 61940
-1.911381299976567050e+01 1.292471870634899460e+03 6.747083698368909754e-01 9005 32724 37123 54774
-1.952806152608669166e+01 1.292475544883202701e+03 4.298892579832071931e-02 8914 32805 17288 68314
-2.088229196040704139e+01 1.292483342667434044e+03 1.590289649205463007e-01 8451 32674 15000 49477
-2.206301004438895674e+01 1.292485910942759119e+03 1.622791006449348927e-01 7577 31626 11858 45983
-2.339120368595315824e+01 1.292487134647793710e+03 6.515671906242612721e-01 7137 31706 17956 42915
-2.427082271051981976e+01 1.292487520807381088e+03 3.101598833628791962e-01 6952 31732 24846 49045
-2.496758763673072323e+01 1.292487679148825464e+03 9.531880394950456026e-01 7004 31672 0 0
