# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 29346 29346 11600 29346
-9.349174566807001430e-01 -5.584425013027622481e+04 4.460925292679998044e-01 25762 29411 10748 39799
-2.217728129091896427e+00 -1.046373833616378943e+04 9.955371595235148474e-01 21280 29491 16415 39473
-3.103742164025693473e+00 -4.642048116389458301e+03 2.633218719475149960e-01 19449 29477 19427 44740
-3.948082496996431878e+00 -1.610077734531922033e+03 2.547414238965223787e-01 17921 29421 10493 47631
-5.419999834590746524e+00 5.539392223143578349e+02 5.630972900441099105e-01 15800 29349 11055 39182
-6.662897078129847550e+00 1.032537433442457086e+03 8.703660150568612863e-01 14367 29363 12074 39356
-7.829790917606223033e+00 1.174228890277498522e+03 7.145147694608368072e-01 13721 29446 19575 40625
-8.577148799336615781e+00 1.219866479126064405e+03 8.560536525299389243e-01 13226 29425 14083 47532
-9.778623785987203831e+00 1.260099289854683320e+03 6.018360190099966145e-01 12159 28951 13523 42019
-1.090238978402989645e+01 1.277055752757584742e+03 2.026386011702790424e-01 11612 28952 20221 41366
-1.163585403019309084e+01 1.282240786296180886e+03 9.649241832706767497e-01 11204 28987 27292 47331
-1.220935659960537301e+01 1.284822867185139785e+03 8.690588042043733141e-01 10951 28981 21016 54119
-1.315816909874430429e+01 1.287995214838344509e+03 9.183483972815860152e-01 10801 29073 35824 48620
-1.349463884975241257e+01 1.288680893373615163e+03 4.423004233918605421e-01 10538 28919 21994 62352
-1.453459546024827986e+01 1.290420315065255181e+03 1.982890527857776031e-01 10072 28936 9802 49794
-1.610932704573424701e+01 1.291712375522251705e+03 8.766257490639031147e-01 9378 28953 6562 38129
-1.778547938804246087e+01 1.292183256033677253e+03 9.367878367938566875e-01 9069 29023 6818 34990
-1.934996443358411966e+01 1.292378938283468869e+03 5.201783881135102483e-01 8323 29090 10421 35366
-2.055170457910115900e+01 1.292437728621025371e+03 3.118977981148116640e-01 8051 29145 12236 38903
-2.169572301977881068e+01 1.292467397084571530e+03 3.628527048518848663e-01 7726 29292 21736 41256
-2.235826431761946509e+01 1.292474550122479286e+03 3.182876171872051074e-01 7544 29309 43506 50946
-2.254996136185108924e+01 1.292475707188952583e+03 2.841299056574604909e-01 7615 29313 38027 70376
-2.317933603793174413e+01 1.292480513216344434e+03 7.838752228868620664e-01 7303 29321 43560 66805
-2.362686657965239689e+01 1.292482588811408505e+03 1.697182155434902029e-01 7135 29202 52362 72252
-2.396970629275293518e+01 1.292483826444127999e+03 7.268528492239578753e-03 7206 29227 71021 80942
-2.412253875363834510e+01 1.292484260971818458e+03 1.033375964664508123e-01 7009 29244 30793 97983
-2.527472658051679133e+01 1.292487061618951429e+03 5.310041442076318674e-01 6730 29107 10166 59612
-2.698688102089630547e+01 1.292489177153436685e+03 9.805796545171077128e-01 6320 29333 20258 38869
-2.766090575207006097e+01 1.292489436214887519e+03 2.530087219500181672e-01 6163 29495 0 0
