# level_assignment log_likelihood tiebreaker ID
0 -1.084812585485318850e+05 1.440075494667957812e-01 0
1 8.500211861123846120e+02 4.613999800118546712e-01 0
2 -3.722133926385351515e+03 3.756412425215830964e-01 4
1 -1.348510713907486206e+04 1.508276979468362866e-01 1
2 -3.760338140843962265e+02 4.073495409717756144e-01 0
2 2.048578899235108395e+02 8.273244613472172659e-01 4
2 -3.587436196172627206e+03 7.323925860502280560e-01 3
4 4.714029166544033274e+02 1.525323948255179474e-01 1
4 1.151451557014468563e+03 8.210402211426064412e-01 0
5 8.140788865649531090e+02 7.688667667628497071e-01 2
5 1.175941744335663543e+03 2.970887965593835833e-01 4
3 9.841516672923553415e+02 6.669306933654344238e-01 4
5 1.015971853491051661e+03 5.267485922138822607e-01 0
3 -5.387408855576119322e+02 6.142291251749298908e-01 2
7 1.168765565732805044e+03 1.229924431099198578e-01 2
5 9.253302636539838204e+02 4.696735454700844414e-01 0
5 1.027044004608032083e+03 2.375089874133475276e-01 1
7 1.171524423238020518e+03 1.334731176399142072e-01 2
9 1.266607942577374160e+03 6.553838038838933899e-01 4
7 1.206811880340099833e+03 5.043072035413905807e-01 4
7 1.238118244811885006e+03 9.908075034781076429e-01 3
5 1.077147740272242572e+03 4.528304226359627371e-01 1
8 1.220362680388172066e+03 4.406603846629462140e-01 0
11 1.281910071239547051e+03 5.331982162952039195e-01 2
12 1.288062229928494389e+03 4.234292962361734247e-01 2
7 1.178460633311530273e+03 3.031704468584393020e-01 2
5 1.081069622277620510e+03 9.580081981775532274e-01 2
8 1.270397165932192365e+03 7.795002376243136410e-01 2
10 1.268996485674700580e+03 8.533261173538891908e-01 1
11 1.278597570988475127e+03 6.643516977653924904e-01 3
6 1.044428568627215554e+03 8.423961696268023047e-02 3
13 1.289002192669046508e+03 2.822514786784939278e-01 3
13 1.289423699066113159e+03 9.120539053836721477e-01 3
14 1.291276861817813597e+03 3.523530161914278369e-01 1
13 1.291075680292086417e+03 3.120841765313090987e-01 1
13 1.290396665744393204e+03 7.386842170504088756e-01 3
14 1.291681164738261486e+03 4.967795446057425290e-01 1
14 1.291136241179322496e+03 3.474660350943433174e-01 4
13 1.289091958086848081e+03 3.306673044387333227e-01 1
2 -7.657699072157809042e+02 4.801860658497376089e-01 2
10 1.268460549895208715e+03 5.719357062213330511e-01 4
11 1.282843740160678180e+03 5.682163164667388688e-01 1
10 1.285581600888483990e+03 9.154185356998824075e-01 0
14 1.290855605849489621e+03 9.743065302115018200e-01 1
10 1.263566352318334339e+03 8.869361410412085478e-01 1
12 1.290579851759153826e+03 1.792749757670488719e-01 0
1 -1.678144126723675299e+03 2.036033633799219089e-01 2
15 1.292256605170898638e+03 9.067759463884098592e-01 4
15 1.292184362693644289e+03 4.288594122941233877e-01 3
13 1.288854005883869604e+03 4.528983885856182612e-01 2
12 1.286864847751277011e+03 8.319851529182475947e-01 0
17 1.292316471360406922e+03 8.789506188701933231e-01 1
16 1.292076511588187259e+03 2.836452615382426337e-02 3
15 1.292224010459461169e+03 2.285841276647975207e-01 4
15 1.292151710717177593e+03 4.285698562954347590e-01 4
13 1.289248259129192547e+03 2.098247423116497146e-01 0
19 1.292392001138567139e+03 5.191979224155525152e-01 1
9 1.280058012678301793e+03 6.390954323148525518e-01 2
8 1.270472083744736210e+03 1.379457347407791468e-01 2
17 1.292424050124272526e+03 9.658518977741099576e-01 1
20 1.292449238947408958e+03 4.753786646242696423e-01 4
21 1.292470775515213518e+03 9.348249222531670455e-01 0
15 1.291830110171471915e+03 2.162471511584868750e-02 3
20 1.292446151960146608e+03 5.908174401387285002e-01 0
14 1.291993511230193690e+03 1.744660877423287459e-01 3
14 1.291381068867153772e+03 1.582938779808926999e-01 3
19 1.292389273074927132e+03 5.130155888464950076e-01 1
20 1.292456264365574953e+03 3.394390827099940111e-01 4
21 1.292482214753418702e+03 5.817909834654781953e-01 1
19 1.292391503736541381e+03 6.809030552118930935e-01 0
18 1.292327439807978635e+03 8.494395794796254506e-01 3
18 1.292314238393364576e+03 2.298359239820460531e-01 0
14 1.291651601022638488e+03 3.463161102491384424e-01 3
23 1.292481156742384883e+03 9.158923314672690053e-01 1
19 1.292412429401173767e+03 6.834087563984769798e-01 0
23 1.292478161013662884e+03 4.112109337996017189e-01 1
21 1.292456434136550342e+03 7.145351333943498195e-01 3
20 1.292442483958201819e+03 3.287168674259532963e-02 3
5 9.549211965985797406e+02 1.838021304300010428e-01 2
12 1.290061682269677704e+03 1.269909547046609022e-01 2
21 1.292459145323660550e+03 1.098745789890082231e-01 4
22 1.292472868226582705e+03 3.377041244317637858e-01 0
18 1.292391190585284676e+03 4.847730526778411542e-01 3
19 1.292387556948448946e+03 6.202379072076000810e-01 3
18 1.292359699630869045e+03 5.423808000845705690e-01 2
18 1.292478118570185870e+03 7.313486134491783419e-01 1
23 1.292479493492305664e+03 7.977971138634907255e-01 4
24 1.292481502469365751e+03 3.450964889853480599e-01 4
22 1.292481416480845837e+03 8.966892437620167522e-01 0
23 1.292481362942802434e+03 5.789665103875805130e-01 0
20 1.292464157229111379e+03 3.345815596756098742e-01 2
21 1.292461064439130496e+03 1.747003601991714561e-01 4
25 1.292483212093493194e+03 6.699065696598809350e-01 1
26 1.292483466738778134e+03 9.613462181339609280e-01 1
20 1.292443041610596310e+03 1.840987405295205770e-01 2
22 1.292471593868223863e+03 4.612121583058990670e-01 2
21 1.292459719611793616e+03 3.692708430631294614e-01 0
23 1.292483030343448718e+03 3.155563617144208632e-01 1
22 1.292476852086386771e+03 2.280175825123102462e-01 0
20 1.292454408321758365e+03 9.112667799669025293e-01 3
19 1.292417478120121359e+03 1.652289923667483729e-01 3
22 1.292471071960953623e+03 9.247197737634174075e-01 2
21 1.292465806241809105e+03 7.549945720093980128e-01 4
27 1.292483265788989684e+03 8.006574313278103094e-02 1
23 1.292482997758092097e+03 5.510607979601587214e-01 4
26 1.292483110403168666e+03 8.140729496728233983e-01 2
22 1.292474034418617975e+03 7.873450887294221046e-01 0
15 1.291902882167117241e+03 1.674535068785432124e-02 3
22 1.292478712961222300e+03 7.961990432475403168e-01 0
25 1.292482720046259374e+03 5.145268496882877685e-01 1
21 1.292474234954370786e+03 2.937559517298651279e-01 0
27 1.292483242771345886e+03 6.902693602965404018e-01 1
23 1.292480719450618835e+03 9.089707803552613541e-01 1
13 1.289684133543214557e+03 1.911450551720928481e-01 3
4 9.381586627118194883e+02 5.181321962740671472e-01 3
29 1.292483620571696974e+03 7.886787148300304917e-01 1
27 1.292483240053794816e+03 8.691792144329362202e-01 2
27 1.292483287006147521e+03 1.445109031977452885e-01 2
29 1.292483627467376209e+03 5.785546547825252128e-01 1
10 1.273673775684336761e+03 4.955546067607296545e-01 3
2 -5.803962424430613964e+02 8.883855851347568500e-01 3
28 1.292483435270525206e+03 9.627484140868672324e-02 2
1 1.145589645112319204e+03 6.988845419678322290e-01 3
29 1.292483667894463451e+03 9.806924087485167085e-01 1
10 1.285416952144021025e+03 4.048033177899308388e-01 0
