# level_assignment log_likelihood tiebreaker ID
0 -1.787800030464818119e+05 1.440075494667957812e-01 0
0 -8.946522842018079245e+03 5.840944562540738572e-01 1
1 -3.105987217169850283e+03 8.992012093482837365e-01 4
1 -2.403657969747255720e+03 1.951166174170556600e-01 3
4 1.145243092199031935e+03 4.662821643085495182e-01 4
3 2.517290589099036993e+02 8.566787795128131267e-01 2
2 -2.770914223578233305e+03 2.024157304548784564e-01 0
4 1.121880284829710035e+03 7.010305117396328223e-01 1
2 3.468296871755101165e+02 8.646661778625118755e-01 2
3 8.545729885746361560e+02 4.749885330056793364e-01 0
0 -3.476494297559533152e+04 3.707716319890946299e-01 0
6 1.258483103783800289e+03 4.290352939983961278e-01 2
3 1.244380668349804182e+03 1.829683383521517881e-01 2
3 -1.517662467469497187e+02 5.147485896465703314e-01 4
0 -5.152358453919370731e+03 7.497999494633259543e-01 1
4 1.019111903843589403e+03 3.335331355650836826e-01 4
7 1.271875522024195561e+03 4.235014819934457275e-01 0
7 1.265386471564738713e+03 2.497047050740199836e-01 4
8 1.287848938928690586e+03 5.655893883358140695e-01 1
6 1.288413314642996511e+03 7.476770975272017949e-01 1
8 1.282723903585406333e+03 1.033518378326299114e-01 2
9 1.286301167434875879e+03 3.680260515294979662e-01 1
10 1.288815418564417314e+03 1.844099554238702865e-01 0
7 1.271429543427566841e+03 8.948674510018150841e-02 0
9 1.285409218714546569e+03 8.886004313779274355e-01 0
6 1.254739546028030190e+03 3.388524929438107014e-01 2
7 1.275050716924753033e+03 9.056621190639241314e-01 2
10 1.290441836714641340e+03 8.615614374989717383e-01 1
12 1.291396035515816493e+03 6.685710792595713770e-01 4
8 1.289109802990299841e+03 2.984151514420511075e-01 2
8 1.283891872335804237e+03 3.161240025462674907e-01 4
10 1.289305479873241893e+03 1.076849018738794267e-01 2
3 4.820936966948162308e+02 3.886833611895816887e-01 4
9 1.286002185422772982e+03 2.834107119486167226e-01 3
8 1.282370279364409498e+03 5.060209415300676028e-02 0
11 1.291509637606153319e+03 7.001576972399159438e-02 1
7 1.283978096220991119e+03 9.652589302721299447e-01 4
8 1.287277091295537957e+03 8.802167565260598592e-04 3
12 1.291403200037966371e+03 9.823603772137765588e-01 0
5 1.188153773905582966e+03 7.241426999984199586e-01 4
7 1.276191832979550327e+03 3.008416384435521618e-01 4
