# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 25742 25742 8103 25742
-1.137602867976565735e+00 -1.144891272187849245e+04 3.885883315400263660e-01 21167 25632 14895 32747
-1.942369039216587101e+00 -3.031959219300340010e+03 7.397606780211625210e-01 18751 25596 14781 39077
-2.916615695186997481e+00 -5.077004841528720931e+02 9.850457179524312323e-01 16827 25550 16473 39356
-3.796587630180043860e+00 4.822675415039531686e+02 4.348153304243533301e-01 15108 25476 15290 40618
-4.775242620444865693e+00 9.508509155147676211e+02 6.171520739711877646e-01 13887 25357 14287 39409
-5.788791690545007640e+00 1.153471766417838126e+03 5.563159622851916453e-01 12673 25436 14705 38421
-6.752163821267983757e+00 1.230499209755004358e+03 3.621129420925406350e-02 11863 25605 16863 39116
-7.604602492171651740e+00 1.258419154514373076e+03 2.960618940288107237e-01 11483 25582 21659 41047
-8.265795609466648486e+00 1.270651819764707170e+03 9.664441743053919787e-01 10900 25600 21116 45798
-9.053144178220106753e+00 1.279446803756437475e+03 1.284998156991468965e-01 10366 25711 19279 45612
-9.922738468558931046e+00 1.284740524817218557e+03 9.256149152468302610e-01 10204 25655 14282 44023
-1.103951398590062816e+01 1.288505911707941323e+03 2.025798514633994074e-01 9552 25661 16922 39239
-1.189159008469903966e+01 1.290097434551150855e+03 2.114212839407462186e-01 9441 25698 14886 41333
-1.291130573601798659e+01 1.291310992371239081e+03 3.379277024474338642e-01 8930 25826 16145 39805
-1.382055572737050575e+01 1.291839574633706889e+03 1.170325616325555984e-01 8609 25885 13821 40814
-1.489720112333001900e+01 1.292149667465109133e+03 5.654443107755683373e-01 8278 25851 11133 38450
-1.611629660941440534e+01 1.292327090057180612e+03 3.180182418389341237e-01 7817 25841 10177 35616
-1.734579268198926982e+01 1.292422225538221028e+03 1.866878432245085428e-01 7501 25834 10384 34904
-1.853866818081350232e+01 1.292461401497549105e+03 3.014704126063985079e-01 7044 25862 11608 35440
-1.964477690921332353e+01 1.292475522465990480e+03 4.092758462254728613e-01 6880 25563 11710 36379
-2.076696468378798599e+01 1.292483645341737429e+03 4.429121968006366483e-01 6304 25206 10723 36169
-2.196359670530009112e+01 1.292487697265174347e+03 1.962156489602904230e-01 5964 25045 14574 35021
-2.284995754836782922e+01 1.292489039190038056e+03 5.927784875966472800e-02 5951 25064 30235 38612
-2.313548001025091594e+01 1.292489314509906762e+03 4.929970042119199980e-01 5775 24972 25754 52591
-2.386364445073053986e+01 1.292489833574898967e+03 7.409968472471728518e-02 5230 23640 4423 47613
-2.607074305915775270e+01 1.292490618885214417e+03 6.428519762671409676e-01 4805 23097 7007 27371
-2.738905347818925051e+01 1.292490754399320622e+03 2.354902105144187630e-01 4496 23021 2454 29382
-2.958593663345597236e+01 1.292490848335702822e+03 3.135513686575128744e-01 4316 23152 7201 25053
-3.080182553185102634e+01 1.292490867597784927e+03 8.942371457371610655e-01 4128 23441 0 0
