# level_assignment log_likelihood tiebreaker ID
0 -3.630871532230720914e+04 3.798980599434820249e-02 2
0 -1.781338872870011983e+04 2.888473485570796639e-01 3
1 -1.137728484924305121e+04 4.878338784411226925e-01 1
3 -4.274819356528536218e+02 6.318283647593929686e-01 3
4 9.625353562316781790e+02 7.854705080796797745e-01 4
2 -1.940372424296448344e+03 8.681546354115425856e-01 4
4 1.234431349359726028e+03 6.685633000509183521e-02 2
5 1.033159402349540869e+03 3.043905055688939099e-02 4
1 -1.098652344438108958e+04 3.401131338462710652e-01 3
5 1.089218278282881329e+03 7.713135800273771547e-01 4
5 1.122428589689416185e+03 5.392483916388098875e-01 1
6 1.219152998187796811e+03 4.707398652831241703e-01 1
0 -1.095089163552016998e+03 8.687315325859081838e-01 1
6 1.237494321417311767e+03 7.361574247248279246e-01 0
1 -7.965218671476521195e+03 4.538269303145048283e-01 0
8 1.270494547588707519e+03 2.702565225159316298e-01 2
10 1.280586645679793037e+03 9.967447626578330722e-01 2
6 1.275090296149283859e+03 5.637941490074513951e-01 0
3 -5.070986853227852862e+02 3.446985671939550300e-01 0
11 1.290097434551150855e+03 2.114212839407462186e-01 1
9 1.274969649754527154e+03 1.234377852241953649e-01 2
3 9.776411287423093199e+02 2.604084057898385929e-01 3
2 8.909428829267155834e+02 3.984603241671091922e-01 3
13 1.290609614382671225e+03 9.423303894025013561e-01 2
12 1.290507276966720383e+03 1.699713959528539320e-01 2
14 1.291379370882730200e+03 1.873951689200482051e-01 0
8 1.263246167187706305e+03 5.174081223744060321e-01 4
7 1.257960309644724703e+03 9.267077013659826834e-01 4
13 1.291908735551712198e+03 8.226511628316862668e-01 0
9 1.288693296710679988e+03 2.401745369763632343e-01 1
12 1.291278724533155355e+03 3.934069179275159200e-01 1
16 1.292399672301326518e+03 4.753714957129049901e-01 0
11 1.287318505248242673e+03 5.375060055496619915e-01 4
8 1.264172976172176959e+03 8.893553943758454317e-01 3
9 1.279706673119366769e+03 8.374507390964787135e-01 2
10 1.280451400034969083e+03 8.149095499404518383e-01 4
9 1.283060298000839794e+03 6.712963337432178434e-01 4
8 1.261745252244663334e+03 3.905069420740527875e-01 3
10 1.281292000388313227e+03 1.339974220897115487e-01 2
9 1.280895679357598056e+03 1.590906056218370779e-01 2
16 1.292390033794826422e+03 2.714713331225747650e-01 0
13 1.290785234181718806e+03 9.684622821516342128e-02 1
18 1.292436663696222013e+03 9.365179006650345972e-01 0
12 1.290703077283514176e+03 9.509833520793229411e-01 4
