# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32792 32792 10795 32792
-1.100820198554450124e+00 -1.282890934107772046e+04 6.262672261784982819e-01 23915 32862 17803 42622
-1.982094601597755190e+00 -3.181730647716886779e+03 1.616197506215062418e-01 20587 32720 18398 49115
-2.965101314296886503e+00 -5.043888259987778611e+02 3.416442597185416208e-01 18233 32566 16900 49727
-4.039418046404563256e+00 6.477995594610599710e+02 9.359952217008348230e-01 16533 32614 24678 48521
-4.732575489850827211e+00 9.452326203313186852e+02 3.111641377528814312e-01 15739 32595 23435 55728
-5.605572102826362091e+00 1.141542978251907471e+03 8.661049288440907379e-01 14769 32632 31722 54885
-6.173801363500333927e+00 1.203350855451545613e+03 3.493285206828266043e-01 14191 32628 16748 62473
-7.472482295727748358e+00 1.267726936615291379e+03 6.874044059332680146e-01 13092 32654 19362 48701
-8.399432827578667826e+00 1.282762466225567096e+03 7.280197894933775060e-02 11999 32745 18165 51164
-9.432868791788550311e+00 1.288953774199143936e+03 3.891862069446152539e-01 11329 32788 17650 50294
-1.047716707689335536e+01 1.291269805112185395e+03 1.282548400184729126e-02 10615 32811 22778 49335
-1.126232082454707495e+01 1.291920769928671234e+03 6.312931305630942180e-01 9873 32708 17694 54055
-1.237227523266933460e+01 1.292291832864064418e+03 6.615649976920985331e-01 9287 32536 20418 49241
-1.325941489675016349e+01 1.292396560107660207e+03 4.228910656248962008e-01 8801 32541 24141 51783
-1.403477581680066777e+01 1.292443961448525442e+03 7.636600679181713147e-01 8598 32624 16871 55405
-1.521267533037373099e+01 1.292470694204039319e+03 1.454528315475656086e-03 8085 32820 14942 48666
-1.638146151257584648e+01 1.292479489416028400e+03 7.850645972197611844e-01 7589 32724 22812 46715
-1.711400007326865946e+01 1.292481732414431917e+03 9.579636913882247917e-01 7119 32775 30625 53940
-1.769974296932184288e+01 1.292482561049617289e+03 4.840666245386693878e-01 7009 32806 27304 61899
-1.852631449114998574e+01 1.292483182804448006e+03 6.294991983901823129e-01 6560 32787 17363 59104
-1.973854219712869451e+01 1.292483534097927532e+03 1.092178385846862554e-01 6207 32777 15778 49651
-2.087554899094166672e+01 1.292483631215638070e+03 4.482266468607312010e-02 5804 32905 27183 48123
-2.146845309288246639e+01 1.292483650362950812e+03 8.288161571118918269e-01 5743 32875 34738 59403
-2.202388741894901258e+01 1.292483663344317165e+03 5.451562296570623412e-01 5521 32996 34308 67104
-2.270745337873765024e+01 1.292483671504644008e+03 8.810579218159163561e-01 5411 33081 18932 66759
-2.395433670005975202e+01 1.292483677890479839e+03 5.924586855043898481e-01 5193 32928 15423 51219
-2.514177840618528492e+01 1.292483679971523543e+03 2.069988542721348523e-01 4822 32590 13219 47376
-2.639851018472433708e+01 1.292483680623653072e+03 5.197635132121112278e-01 4476 32936 9871 45523
-2.788287846548607263e+01 1.292483680807433302e+03 8.715664991824838559e-01 4178 33064 0 0
