# level_assignment log_likelihood tiebreaker ID
0 -5.847669317162362131e+04 1.596773640228092150e-01 1
1 -1.210682787799821199e+04 3.615914000318687371e-01 4
0 -4.838873614973968506e+04 7.720719377755176360e-01 0
3 2.758887435872735523e+02 3.572000379656196656e-01 0
1 -2.032473737983896854e+03 4.467529406217058963e-01 4
4 1.119530694741135449e+03 4.153009895762469483e-01 0
0 -4.036972449437278556e+04 3.560723204002543829e-01 0
5 1.002139748936215028e+03 8.432439944961129807e-01 1
5 1.087360271451117569e+03 2.283911133797910387e-01 2
0 -1.055629732567227256e+04 6.975571464000260846e-01 1
3 -1.425359593020995419e+02 9.288247944700551983e-02 1
6 1.275948376440978336e+03 7.895882730101289049e-01 3
8 1.271170944060650754e+03 5.462267424137298155e-01 3
3 -2.969971124320639433e+02 9.322297522885214516e-01 1
8 1.292304617780627950e+03 7.271383174531905746e-01 3
2 7.412421088959541748e+01 8.730642385405686934e-01 0
9 1.283988513270828889e+03 3.712200473391917832e-01 2
7 1.233630832643986651e+03 3.047296808436663063e-01 3
3 4.207051822979908593e+02 8.299830942691386326e-01 2
10 1.289741934678040252e+03 9.441404577640426510e-01 1
7 1.227012176630101294e+03 8.512541377264501996e-01 4
9 1.286492621171666542e+03 3.069409284741679844e-01 4
11 1.292243882724781997e+03 1.773849712114083654e-01 1
3 2.608220350987211305e+02 6.556047631371761941e-01 1
6 1.209302633418098139e+03 7.623366600911384294e-01 0
8 1.273379488627722139e+03 4.789712853290665207e-01 3
7 1.265662870464841262e+03 3.131665657625476995e-01 1
7 1.222297710239144180e+03 3.327551303169664076e-01 0
8 1.280540085309473852e+03 7.458704137106207943e-01 1
2 7.524865449719958406e+02 6.278011944368611097e-01 4
3 -8.031472529287717066e+01 9.979088694212889799e-01 4
12 1.292415401232385420e+03 5.746178020938882414e-01 0
3 -1.863375515463879992e+02 3.986050244457195468e-01 2
3 4.487472652536257556e+01 4.645115031933642058e-01 2
4 7.983660803143163776e+02 3.281762684273009656e-01 4
9 1.285820447123709073e+03 8.662032044570699973e-01 3
5 1.195327051871605818e+03 2.612583735739583135e-01 4
11 1.291620700599864449e+03 9.066065797616543742e-01 0
8 1.268653003926133806e+03 8.006232025059842883e-01 1
5 1.112107378219874136e+03 8.395246372033700055e-01 3
10 1.292161098607967460e+03 4.728419166256365713e-01 0
9 1.286241236718429263e+03 9.222968576672135876e-01 1
10 1.290819495410902618e+03 7.810520426212291811e-01 1
11 1.291644388122127339e+03 3.766789383026859506e-01 0
14 1.292407406595721113e+03 6.758892246208461074e-01 4
0 1.465237071683861814e+02 1.271116930627655961e-01 3
11 1.291424532504798663e+03 8.157922349957988928e-01 0
0 -2.204861921557097958e+04 1.773321957343587663e-02 3
12 1.292110649339893371e+03 8.509175114631895021e-01 0
12 1.292262776555694018e+03 5.083503325529701300e-01 2
11 1.291399688103896096e+03 9.102896379784066738e-01 4
10 1.289848437645207014e+03 3.105339105042440595e-01 4
5 1.129090510690262818e+03 9.297406765821862873e-01 3
15 1.292482290656967052e+03 8.442138199278907962e-01 1
12 1.292165188034368839e+03 7.215354213507197967e-01 1
14 1.292410822090779675e+03 4.773257911300272105e-01 0
13 1.292408666138676381e+03 9.972600966697837688e-01 3
