# level_assignment log_likelihood tiebreaker ID
0 -2.363301495251027809e+05 1.596773640228092150e-01 1
1 -2.273301002315549340e+04 6.294493051628056168e-01 2
0 -5.080821322590512864e+03 4.037028260759948917e-01 1
3 -2.828510382582161583e+03 5.752295993069032054e-01 0
4 -1.108789793333100306e+03 2.916862779823501395e-01 1
3 -3.882871284403865957e+02 6.208595212754239867e-01 3
3 -3.133019420914705734e+03 5.137340304466537777e-01 3
3 -1.453172691895401840e+03 9.248735702037821915e-02 0
3 -2.148630949730713382e+03 4.328445944693903868e-02 0
3 -2.635063586813829261e+03 7.055444408603026574e-01 4
0 -2.080773850936212693e+05 1.662892092703186220e-01 4
5 7.309561935921906297e+02 1.060289956150916590e-01 2
2 -9.956424828134997369e+03 5.614044744704465018e-01 0
4 5.469889011970120691e+02 3.862180460578139574e-01 2
0 -7.894066315097305051e+03 2.114351794324971223e-01 0
2 -9.550289959067360542e+03 3.864201832046053053e-01 2
2 -8.736069968488820450e+03 6.162272373816808368e-01 0
4 -1.540090701887231262e+03 6.481697077555446107e-01 3
8 1.248332919210678028e+03 6.857598253877976724e-01 0
8 1.249814445437391896e+03 7.336757428870299691e-01 1
4 -3.687362939532786186e+02 9.954559014003373507e-01 3
1 -1.330511848774709506e+04 2.649713213528315930e-02 3
6 1.197114963802783222e+03 1.139987383079557048e-01 3
4 -1.033079919801485630e+03 1.055586070737078858e-01 2
9 1.270797876695417926e+03 9.844344126965599573e-01 4
7 1.221008570378382046e+03 4.524166871327875428e-01 1
7 1.229363190988950919e+03 8.086215844971640365e-01 4
7 1.183587415312047142e+03 6.258440175762615132e-01 4
2 -6.445385859772713957e+03 7.623506165250246713e-01 0
5 1.241518317803718219e+03 9.619201945480811977e-01 4
0 -1.388357593293505852e+04 9.839869903080137314e-01 0
10 1.281273610267976437e+03 3.537230930033695708e-01 4
6 9.693005026372532029e+02 7.656990040801735509e-01 2
8 1.255456275972785988e+03 5.404935830539336905e-01 0
11 1.287832671693853854e+03 4.372699663967679617e-01 1
9 1.271693241348798438e+03 8.736020373624596713e-01 3
10 1.285814957674012931e+03 5.443391853333151564e-01 4
10 1.278879231422551584e+03 2.225014050146061351e-01 3
9 1.268232812223979408e+03 9.126192841510760712e-01 3
10 1.284240578117418409e+03 9.875952240764673817e-02 2
13 1.289758632076406911e+03 8.072973164405056190e-02 4
11 1.283959324310394095e+03 4.612626840540028084e-02 2
11 1.287213398000840471e+03 7.244432234280175908e-01 2
8 1.252704548938186463e+03 6.319907078978914683e-01 3
8 1.256626271767583148e+03 1.638168484667888447e-01 2
6 1.053339437526228721e+03 3.351232117881332573e-01 0
11 1.287819985866006391e+03 5.066270953848024394e-01 4
7 1.205127225686492693e+03 6.963489117350880608e-01 2
7 1.250286002972235110e+03 4.127027469236795865e-01 2
2 -9.115719329774052312e+03 3.207973106495285442e-01 0
14 1.290514587293258046e+03 4.976919177642233905e-01 1
13 1.290030857254646435e+03 8.373839365123989520e-01 1
14 1.289814536022506218e+03 5.120045033323886718e-01 4
2 -9.623327484891256972e+03 8.017551436675010024e-01 2
14 1.290594547412694510e+03 9.275626035827050364e-01 1
11 1.284887713706729983e+03 1.472023927824386291e-01 3
2 -3.286557119324753330e+03 7.982128660724899794e-01 4
15 1.290467259776603214e+03 2.733929308741451791e-01 1
2 -3.830600176205547086e+03 1.354476294509723289e-01 2
10 1.284193872224668212e+03 4.401532437189729086e-01 3
3 -3.663132395422009267e+03 5.785110734429153023e-01 2
0 -1.049288732518279576e+05 4.534192828144683052e-01 0
16 1.291026562640377051e+03 1.739259260353839820e-02 1
16 1.291426413859444210e+03 6.289268938027410272e-01 1
0 -2.685850002741777571e+05 6.971463531762847055e-01 2
18 1.291628354799695899e+03 3.208615228034936151e-01 3
9 1.277642396118338183e+03 3.059929519849582391e-01 4
8 1.267491583535859036e+03 6.440085736015409568e-01 4
9 1.273104884430778384e+03 9.323731869840470310e-01 4
19 1.292337802982970061e+03 7.050240038189787839e-01 1
17 1.291445983749210427e+03 6.350126173036871879e-01 3
7 1.202373984070876759e+03 6.240285340112065038e-01 0
4 7.676314780913462528e+02 3.340046693176032533e-01 0
12 1.290807030647419197e+03 9.505537863424886602e-01 4
0 -1.513712395480969572e+05 2.480904933901949272e-01 0
20 1.291761206045217477e+03 8.256362540159267738e-01 3
4 6.354829648501829524e+02 9.822573595593020457e-01 2
11 1.285529773406912227e+03 7.056938429744918917e-01 2
20 1.291685944435992724e+03 4.256920944031747922e-01 3
15 1.291515697090408139e+03 1.631149065746289040e-01 3
6 1.154957715817609824e+03 2.468822387791592132e-01 0
13 1.290161648609016538e+03 8.115636806407546811e-01 2
18 1.291623694047626941e+03 5.193472171225990142e-01 3
20 1.291683404416148733e+03 4.973228894302604841e-01 3
19 1.291602102293186135e+03 3.767404150612134184e-01 3
9 1.282294109792187555e+03 4.201481871077005215e-01 0
18 1.291832517923396153e+03 6.060609249229802487e-01 4
11 1.284973760060878249e+03 5.491744347729533571e-01 0
20 1.291912865853150151e+03 5.989167766540992588e-01 4
19 1.291566802776441591e+03 4.767430872248846208e-01 3
19 1.291577343658735117e+03 6.840661856002343555e-01 3
20 1.291697396777992253e+03 8.945157391964464466e-01 4
19 1.291565134877824221e+03 2.870574161801768276e-01 3
19 1.291589157730129045e+03 9.946073035112820149e-01 3
20 1.291721705859747772e+03 2.220197072976882458e-01 1
22 1.292379789839505065e+03 7.188972125650252565e-01 0
20 1.291696035223184936e+03 3.234463911553676213e-03 3
