# level_assignment log_likelihood tiebreaker ID
0 -4.725555161198101814e+03 4.513768526463266539e-01 2
0 -5.304504686171738285e+04 5.001346856761169635e-01 3
2 -2.246287348364120589e+03 1.097094087209166818e-01 1
3 -2.024178468028002499e+03 7.511992252652203161e-01 1
0 -1.920184910208444853e+04 3.299203102037280844e-01 0
4 -1.570273625326482943e+03 8.008445797688299450e-01 0
2 -1.267096271687478520e+03 7.871828143651250498e-01 1
5 -3.223291664612135321e+01 4.935367031478798960e-01 1
3 -2.002220913074491591e+03 3.635653725099181610e-01 2
4 -1.560112214062475687e+03 7.414675228559846065e-01 3
4 -1.483416628455042655e+03 1.909085278858117241e-01 4
5 -4.365669438176285553e+02 3.636591071920072249e-01 0
4 -1.294426842075784634e+03 6.053093864430213467e-01 2
6 -4.129029628958915055e+02 6.851662853402746833e-01 4
7 1.648165694376147883e+02 3.776982949761874264e-02 1
8 1.763366008767297615e+02 4.396017645509606858e-02 2
1 -7.266092891555685128e+03 2.816405530533561685e-01 1
1 -5.472179087682433419e+03 9.781771380055651610e-01 2
8 2.935370321470295494e+02 2.890230110224230042e-01 2
7 -2.619322651795025081e+01 5.805155468992051482e-01 0
5 -9.371661266328463853e+02 1.112245579326215095e-01 3
4 -8.752265670224119276e+02 4.521894144734552867e-01 2
11 4.526857967641647065e+02 8.385324891175718331e-01 1
11 4.564643959581079571e+02 6.368302981852406175e-01 1
12 4.628141617594717445e+02 7.670271223864104648e-01 1
12 4.479261160425993467e+02 2.974693237323242090e-01 4
8 1.325654181711078934e+02 7.443951912143842442e-01 0
12 4.490508524869396751e+02 8.350695160858947474e-01 0
10 3.978325114584944231e+02 4.987419924155161999e-01 0
11 4.573109532495777785e+02 7.721552182691588939e-01 4
6 -4.552843880986793010e+02 6.167510350548416342e-01 2
10 4.026191480257980402e+02 9.517184811593921712e-01 4
14 4.621682963827605590e+02 4.358071774980736834e-01 1
13 4.590551105304071484e+02 6.502310843471996726e-01 3
13 4.586212530508063310e+02 5.508998419652478828e-01 4
7 2.305715339503197470e+01 8.064495070100130558e-01 0
5 -2.742702279403017087e+02 1.924615901457873424e-01 4
0 -6.781737781443697713e+03 6.675091693681652061e-02 2
3 -9.961675740906366627e+02 4.003391554302595523e-01 3
8 3.864512711192069219e+02 6.520438930422578494e-01 1
8 2.726377091330879239e+02 6.570682885072658130e-02 0
15 4.671448521968345631e+02 3.776404399940336276e-02 2
7 4.535171796114110521e+01 7.539628750379312461e-01 1
10 4.066339781716205835e+02 7.699221791972572504e-01 0
14 4.661476928616391433e+02 2.040475414987385772e-01 2
16 4.659522382124496289e+02 2.485504964311431308e-01 4
13 4.559118034787119313e+02 3.980363641239756944e-01 4
17 4.695666229254595692e+02 4.404968740569407126e-01 3
16 4.692471722763094704e+02 5.842014335860783447e-01 3
18 4.684180046784255751e+02 4.258971914635797384e-01 2
14 4.605731120004808758e+02 3.396513812915568087e-01 0
19 4.705861296154161550e+02 3.157172466519142517e-01 3
15 4.656375772734438101e+02 6.719411929784584459e-01 0
11 4.572344659269468252e+02 7.517392229943333781e-01 0
1 -5.402611577845407737e+03 7.175791001810734038e-01 1
7 3.051517185965034287e+02 8.192162333164235699e-01 1
19 4.704108870343120543e+02 1.686271233873918862e-01 3
15 4.688308438351359086e+02 8.131583695839498249e-01 2
15 4.643225073872941948e+02 8.286433671392561262e-01 4
22 4.708207063531328913e+02 6.034395562508563238e-01 3
15 4.672514973823456899e+02 3.069101911152038453e-01 2
16 4.668580224186736132e+02 1.762321593475341119e-02 2
21 4.706133171800816513e+02 2.814613272597656368e-01 3
17 4.692044026330968336e+02 6.829580607715806106e-01 3
10 3.950557997029070521e+02 4.905045056801071723e-02 1
23 4.712510131526811392e+02 4.373000612406475751e-01 0
21 4.705011852893063633e+02 3.054582023054892015e-01 3
17 4.697540732540589374e+02 4.987305598515678895e-02 3
17 4.682964953188711661e+02 2.570154435815419358e-02 3
13 4.586872126813955219e+02 8.004505860307489229e-01 4
15 4.632833800225960204e+02 3.011048959861928886e-01 2
12 4.479513323364309372e+02 9.751865728133157774e-01 4
23 4.713546063093258454e+02 5.308565894253918227e-01 0
20 4.703028115958398985e+02 2.290677166393373376e-01 0
19 4.693316215045775834e+02 2.641865734076549732e-03 0
23 4.709888222587517248e+02 3.668955248276590808e-01 2
20 4.703923701447804433e+02 7.908916900735208921e-01 0
25 4.712976567353337600e+02 5.183626487072590105e-01 3
25 4.712780174502852333e+02 7.084080683886476715e-01 3
21 4.708425350716246385e+02 2.031001967930018415e-01 2
11 4.409828716228491885e+02 4.179056486818191196e-01 4
25 4.713925713709390948e+02 2.582306549037456378e-01 1
