# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 323783 323783 111514 323783
-1.059878540959024340e+00 -7.998728385800357501e+03 9.926527697391409610e-01 301226 323343 169980 423922
-1.979492339823804681e+00 -3.827080616076643764e+03 9.022118847582062395e-01 285106 323586 175163 481057
-2.989124697837904687e+00 -2.169582187996987614e+03 3.111464281170633339e-01 271506 323521 178229 486882
-3.993774506776034627e+00 -1.167643901888644450e+03 4.038104945865914619e-01 260828 323453 178925 490042
-5.000841159901071364e+00 -5.109232710272384566e+02 1.051352542626965286e-01 252579 323541 157191 491212
-6.131247926100799717e+00 -2.358587796953005622e+01 5.489702250633984315e-01 243463 323642 171559 471263
-7.141074201830205581e+00 2.275588485319838696e+02 4.572829154132129759e-02 236802 323369 194493 483959
-8.057880583644099204e+00 3.537675545354746305e+02 1.835753799877372361e-01 230633 323077 201112 504715
-8.982548619699091574e+00 4.184617171651998433e+02 3.136268827511977386e-02 224049 323175 204713 511141
-9.902342015498602379e+00 4.471005070935349863e+02 2.542639855826231976e-01 218952 323282 204461 515547
-1.083138584267245008e+01 4.596127995832463284e+02 3.824755644680544187e-01 212533 323334 188229 515396
-1.183824000419625300e+01 4.651819405504081715e+02 3.201297274016852157e-01 206941 323679 194946 501042
-1.278544752463970191e+01 4.676628155233498774e+02 3.309780565771163197e-01 203200 323977 129927 506277
-1.412039408816940878e+01 4.696442072194097364e+02 5.593714916794775283e-01 198983 324011 155518 445387
-1.516903135062850971e+01 4.704529164641375587e+02 1.299189342952707382e-01 194836 323341 178176 467230
-1.613532206490439691e+01 4.709001695709484352e+02 8.257881351370804923e-01 191247 323140 230431 490181
-1.690340968718758319e+01 4.711193720790598718e+02 8.488017006193333547e-01 189542 322779 207619 540229
-1.786206602020507717e+01 4.712947089173644599e+02 7.328738570873892799e-01 185743 322937 195491 520919
-1.884327560720460681e+01 4.713959198295506212e+02 7.174526538668887787e-02 182072 323523 196098 509789
-1.980120992552652126e+01 4.714529750984654015e+02 8.236564072649341650e-01 177684 323617 204918 512309
-2.072220585411950466e+01 4.714843825824685837e+02 9.405801309908973229e-01 174635 323730 224210 522516
-2.157645292306231966e+01 4.715026047055721392e+02 6.062262116583596594e-01 170979 323504 239015 540605
-2.240193879055045301e+01 4.715133709246319995e+02 8.413668959647250256e-01 166663 322809 215449 552314
-2.334641862406019897e+01 4.715208128653255244e+02 8.365649003928599114e-01 160568 323187 178498 533596
-2.443591637306692022e+01 4.715258607745561790e+02 6.300444969506993620e-02 152513 323813 242235 495967
-2.516741916801408863e+01 4.715279736883620672e+02 5.623938492233211406e-01 147856 324626 266312 560542
-2.592377923807136142e+01 4.715297288474752122e+02 3.754511941604956049e-01 143505 325817 281236 585805
-2.666961438514446670e+01 4.715312680232376579e+02 9.976219602977710599e-01 142042 326647 308937 601544
-2.735024609388325700e+01 4.715325690870085396e+02 5.700206417572227791e-01 140052 326795 0 0
