# level_assignment log_likelihood tiebreaker ID
0 -4.145700839056298719e+04 8.173102352296803819e-01 1
2 -1.622554115308419796e+03 3.041926934125285809e-01 4
2 -3.362914277345735627e+03 2.666531162940058430e-02 0
1 -7.282800343816396889e+03 2.996684343463582589e-01 0
4 -6.836043247092090951e+02 7.958184977526578940e-01 0
3 -1.152351765128913485e+03 8.401783064621771713e-01 3
0 -5.894646203944626905e+03 1.154405830150908446e-01 2
2 -1.741381709790782224e+03 1.253264216574776491e-01 3
6 -3.824746186050134611e+00 7.505344766466243156e-01 3
2 -3.454619562790913733e+03 6.988269950819616660e-01 3
0 -1.006409660481477113e+04 1.365588504954189375e-01 2
0 -6.874946895889026564e+03 6.827499789791737772e-01 4
1 -5.195428989073217963e+03 6.706683722621146204e-01 2
3 -1.769066046654622369e+03 9.951286509463619367e-02 3
5 -3.012140502160033861e+02 4.752623378149903877e-01 3
5 -3.758020013079085402e+02 3.258161781293588133e-01 1
6 -8.042817527285905044e+00 7.601412261582916052e-01 0
5 -2.680222605681825598e+02 4.373971636853098977e-01 0
8 4.250924604273211571e+02 3.932488032734428596e-01 2
10 4.515857382901866686e+02 6.199360006764411679e-01 4
2 -4.880497046858563976e+02 2.481138811724458715e-01 2
0 -1.255518486929459687e+04 7.012850462314137445e-01 0
9 4.433520055965950633e+02 3.019703367017635975e-01 1
0 -1.340636364350850727e+03 9.934262608650140658e-01 2
1 -2.365874972524619807e+03 7.350642547000990623e-01 0
10 4.483461209385255870e+02 6.151142470429417086e-01 4
7 3.336947406382908525e+02 8.882930125444999936e-01 0
5 -4.628182390690801071e+02 6.293512873804403274e-01 3
12 4.685328263531226867e+02 7.109462603133114289e-01 0
12 4.668269506993698315e+02 1.099023146062555883e-01 2
10 4.591746061207161347e+02 1.866566628300782016e-01 3
3 -1.220074790846984797e+03 6.649009773751117791e-01 2
14 4.700011255897333058e+02 5.417257285629285546e-01 3
9 4.669418909674734550e+02 2.474364361941168156e-01 1
9 4.445184171208682073e+02 3.447164457770424129e-01 0
0 -3.389544800210692756e+03 5.443587810696643992e-01 3
1 -3.372888874361846774e+03 6.836406930403775561e-01 4
10 4.697924705093916486e+02 4.887725343547897339e-01 1
14 4.698448899747201608e+02 2.294193941071868970e-01 1
14 4.699095233637930278e+02 9.390487051129627893e-01 2
12 4.666419377777352224e+02 9.505836460011067857e-01 4
9 4.460302814749849745e+02 6.008417146840825396e-01 1
11 4.691686969460155296e+02 8.013455939207969614e-02 1
14 4.702469488850970265e+02 8.792895428437201844e-01 0
17 4.714329242071781323e+02 5.480370189620764609e-02 3
17 4.711677603876212856e+02 4.707993907464774752e-01 0
16 4.712567827181775328e+02 2.956963180119451806e-01 1
18 4.714098838319609968e+02 9.256828746297538490e-01 1
12 4.691445489039524546e+02 5.288477299684151145e-01 3
18 4.714628803285089020e+02 8.432854841576045146e-01 0
1 -2.730932106833847683e+03 7.202139554820343736e-01 3
12 4.691944353290541585e+02 6.155570903766105495e-01 0
19 4.713967703367167701e+02 5.664631335596174155e-01 2
3 -9.637774454287009007e+01 9.181398591935823195e-01 4
15 4.709739482975548981e+02 7.373214356394353075e-02 0
8 3.955759619605686908e+02 3.900279443750236941e-01 4
21 4.715194185477441806e+02 1.056631632165810214e-01 0
11 4.604255561550967855e+02 1.802469401743871935e-01 4
13 4.699644738078193313e+02 3.679577036865726569e-01 2
14 4.697152754966796238e+02 4.383354025950915167e-01 2
13 4.683219697447984800e+02 4.672276903863196718e-01 2
16 4.711318434391629353e+02 5.673782649903476027e-01 3
16 4.713000865389464025e+02 9.222554543029569674e-01 0
19 4.714066643937634353e+02 4.832910298925622294e-01 0
16 4.710579726416099788e+02 8.013572291083392862e-01 0
4 1.376563971638429962e+02 6.559622886869611591e-01 4
22 4.715130045991264183e+02 5.648011610174846070e-03 0
12 4.695695249334092409e+02 8.468934432892458730e-01 1
18 4.713857526181801632e+02 6.680874334144131232e-01 2
12 4.691378366482957176e+02 4.492151318734660670e-01 3
10 4.608713430622906344e+02 6.810946958539326745e-01 1
18 4.713261257277065965e+02 4.096751414867618735e-01 0
14 4.710820709490234321e+02 3.209439615642851185e-01 0
15 4.711418335513703255e+02 6.464584584868831030e-01 0
17 4.711661469545360887e+02 7.974089461880379259e-01 4
5 -4.682000151999620243e+02 6.810793973803854762e-01 3
20 4.714624049655615750e+02 1.517409001138401159e-01 4
16 4.710169033054815486e+02 6.164856883992625436e-02 2
10 4.672555460582947831e+02 3.450046239744732901e-01 1
21 4.714917155082978297e+02 1.847154404826983065e-01 0
21 4.714916863072775755e+02 1.013005362503719003e-01 0
19 4.713967059511429625e+02 2.399720517253734475e-01 2
20 4.714723130895986287e+02 5.512297411511873912e-01 3
13 4.707365087899427181e+02 5.186018831189234124e-01 4
11 4.648245141572563170e+02 1.509542592800352523e-01 4
14 4.697287652276398262e+02 2.440837975320959419e-01 4
23 4.715318367477442507e+02 4.113509834296347756e-01 0
14 4.710970405903386791e+02 6.898903603835628839e-01 1
10 4.617876238740894905e+02 9.563480087315731071e-01 4
24 4.715256826642566921e+02 2.381167729665944477e-01 3
15 4.707982819678482542e+02 5.235471241041911306e-02 1
21 4.715043644529778248e+02 3.291324820139128748e-01 3
11 4.701795804195156734e+02 1.766302793157072115e-01 1
20 4.715032012963184229e+02 7.610126882777011881e-01 0
22 4.715034349020377249e+02 8.678140302308072762e-01 4
22 4.715290883886298161e+02 5.851032118608479049e-01 2
13 4.685257693508622765e+02 4.223912159136522515e-01 1
22 4.715075861205928618e+02 3.897238258683426437e-01 4
14 4.707511495712243459e+02 8.001104562311658341e-01 0
23 4.715158132735895151e+02 2.485697660155732625e-01 3
19 4.714260105697835002e+02 8.605639801448128345e-01 0
7 2.308305424416891185e+02 5.430967041361147718e-01 1
15 4.705662212965627873e+02 4.309327219838171574e-01 0
13 4.690067457775531921e+02 4.129875649689648820e-01 1
26 4.715287964044934483e+02 5.142286335809984621e-01 4
20 4.714913095148568800e+02 3.641847012866079036e-01 3
22 4.715161100602180113e+02 6.669076114803777766e-02 2
28 4.715315221004944419e+02 5.174656072625943848e-01 4
24 4.715242513223319634e+02 3.654929948364091241e-01 0
29 4.715333050665922769e+02 8.567235173079603694e-01 4
29 4.715329209589663151e+02 8.723004243264526059e-01 0
29 4.715336293190061951e+02 9.742188495953283400e-01 4
25 4.715265450185528948e+02 6.071820869483326444e-01 3
27 4.715309566793459908e+02 4.467715715127748566e-02 2
27 4.715300796029582671e+02 7.319927412726285887e-01 2
28 4.715318184065358764e+02 9.056168861328856012e-02 0
26 4.715286357320086381e+02 3.411406819543554292e-01 1
27 4.715299022409000713e+02 6.501743972149880424e-01 2
25 4.715263698606764251e+02 4.952372129891484120e-01 3
24 4.715262523596540518e+02 7.544259763569289845e-01 2
29 4.715334730007541566e+02 6.101738850986944129e-01 1
24 4.715227437422679486e+02 6.455081999811908000e-01 2
27 4.715322766316209027e+02 4.841493609992022495e-01 4
27 4.715318423112681216e+02 1.531991423740795832e-01 4
18 4.714130981743780922e+02 7.166658913086427773e-01 1
21 4.715098558278276641e+02 9.927410422489213460e-02 0
24 4.715305340626836710e+02 5.615749701216832257e-01 4
23 4.715160607296622857e+02 2.811821450649865106e-01 4
5 -2.292960601775518512e+02 2.699074413603091971e-01 2
2 -2.080276883355896189e+03 2.119270482933955924e-01 3
3 -7.115017171681870423e+02 9.641652432723203381e-01 2
1 -4.931821522273941810e+03 8.993015310382759253e-01 3
9 4.601209842796419025e+02 4.493139151930438668e-01 2
14 4.702728329220950627e+02 1.748269638499344580e-01 1
16 4.709325738840546478e+02 8.721953409840712546e-01 1
24 4.715304783451625781e+02 4.735740994422410477e-01 0
1 -1.567760726755238920e+03 4.120009737722352128e-01 3
13 4.687334233229527740e+02 1.248343802197184882e-01 3
3 -1.164014535111864916e+03 2.083134943882027912e-01 4
21 4.714937414103156925e+02 3.657727580907779164e-01 0
4 8.878295226491871972e+00 2.305179697110033843e-01 1
28 4.715316619371847651e+02 2.207880472817346229e-01 0
6 4.277751055015367001e+02 1.033359116451748605e-03 4
21 4.714892554081740741e+02 4.135859447210874507e-01 0
15 4.707053092401658319e+02 3.503493679225595514e-01 2
3 -2.020184437015108870e+03 7.761528820055652034e-03 4
0 -4.282848908574894267e+03 8.606662027750494603e-01 4
17 4.712181554108315140e+02 7.533761720287130981e-01 2
25 4.715273551048483114e+02 8.758817209274418758e-01 0
25 4.715273466280549428e+02 8.614880447536636954e-01 3
26 4.715313358768486864e+02 8.931061996303928385e-01 2
29 4.715359860085762307e+02 8.759731428991806013e-01 2
4 -6.451533142956468510e+02 1.770209043416055839e-02 1
14 4.708515516607305358e+02 3.948963415373079600e-01 0
16 4.710439777105749499e+02 3.396890810261510296e-02 1
18 4.714915672825538877e+02 2.797643979206351772e-01 0
14 4.702415769498994678e+02 9.424544671018924014e-01 0
10 4.627771859298027266e+02 4.196233941242913934e-01 1
28 4.715322018041563297e+02 2.518421261019043733e-02 2
6 1.876968470241219507e+02 6.308799023556737051e-01 1
5 2.608353241612431930e+02 8.352181899890946948e-01 1
29 4.715355742950964100e+02 1.293513573199498445e-01 2
10 4.543169778810761841e+02 6.016357338931711540e-01 1
16 4.709484485802014433e+02 2.838094296961828356e-01 3
8 4.206399363915535332e+02 6.075354494499994873e-01 2
16 4.709239083632771781e+02 7.434876259440157398e-01 4
17 4.711346557331244185e+02 4.946747418788715600e-01 4
9 4.458306073695493978e+02 6.842953646463811879e-01 1
12 4.690018065320556957e+02 4.069235076261232265e-01 2
9 4.679652995670228393e+02 8.089891457614184489e-01 0
1 -3.486319151005278059e+02 6.711663465642256909e-01 1
24 4.715264706317022387e+02 6.364117145824828015e-01 3
5 3.075135841847959455e+02 6.675340738167447885e-01 2
7 2.651675138832719654e+02 3.951331399689453905e-01 1
26 4.715283504812101683e+02 1.731766084180468568e-01 3
12 4.671877063165935624e+02 9.732137733693805304e-01 1
11 4.660913447323237051e+02 8.220012182601899031e-01 1
17 4.712732605659318779e+02 1.486970159692759808e-01 0
11 4.609166882694197511e+02 3.095450226840053276e-03 4
6 2.839902094678530489e+02 3.383399526600228135e-01 4
17 4.711361633868160084e+02 4.896850007783708492e-01 4
3 -2.109034326413759118e+03 8.719889694848098616e-01 1
7 2.622401016262454618e+02 3.745889676375568911e-03 1
16 4.709689171268877317e+02 5.926566723176576179e-01 4
23 4.715138491031973444e+02 5.687056007922626222e-01 4
29 4.715329792542043492e+02 2.137083658309373579e-01 1
12 4.655810034678021907e+02 9.539210639739668096e-01 2
28 4.715317578667491034e+02 6.835687567812932519e-01 0
27 4.715338166531295201e+02 4.855069651359154026e-01 0
12 4.662941358301968648e+02 8.187605779268101180e-01 2
14 4.700071359147888188e+02 4.751129373204385775e-01 2
16 4.713503833182586504e+02 9.137577570019494999e-01 0
16 4.714848312321141179e+02 7.912429500920148406e-01 3
7 3.538112625233413837e+02 1.822434714409401080e-01 2
25 4.715309329193374310e+02 7.639830399455840304e-01 0
21 4.715110026574237168e+02 2.758153563608131131e-01 1
8 3.978799285738879234e+02 8.643074921421729506e-01 0
6 9.683118680694860814e+01 5.575215971244696922e-01 0
5 -2.229022470533786873e+02 4.095545012975607690e-01 2
24 4.715270899433298268e+02 5.135665424548683244e-01 1
24 4.715314360428055807e+02 1.572404938294222065e-01 3
8 3.770022800178320495e+02 1.768866528170975894e-01 2
5 1.378308518548923303e+02 9.316212610587661924e-01 2
9 4.306530599687885115e+02 5.760204751909925314e-01 0
3 -3.281872506625464325e+01 3.117699194716374578e-01 2
3 -1.827855840490853325e+03 1.672990678160114486e-01 0
2 -3.248246624599751158e+03 3.529877657169144811e-01 0
16 4.709806610353210772e+02 3.540002811138162064e-01 0
5 2.875381108392747933e+02 6.258957139982153084e-01 3
4 -6.722215786796190287e+02 5.367589216394303975e-01 4
18 4.713103287380341158e+02 9.234355708520962658e-01 0
3 -2.005719780135068049e+03 5.790196834897263223e-01 4
17 4.713412390090799704e+02 1.938391443157438943e-02 1
28 4.715315879144357609e+02 6.894310797098714971e-01 1
9 4.513794067518190900e+02 6.605959681726132349e-01 2
27 4.715316705823521488e+02 5.856697801766371780e-01 1
19 4.714201894951796135e+02 3.618980132580839060e-01 0
26 4.715318130132233136e+02 5.828426974915774661e-01 1
19 4.714156515842976205e+02 2.734870123732939251e-01 0
3 -1.253363865946352689e+03 7.654370893545672239e-01 2
20 4.714545938839480641e+02 6.741297524136768970e-01 4
