# level_assignment log_likelihood tiebreaker ID
0 -2.616329488007703912e+04 9.313831178604086158e-01 3
0 -7.642097745015700639e+04 8.503960548521710683e-01 4
1 -2.779272737077223610e+03 7.346036215309436068e-01 4
1 -3.379459811660169180e+03 2.143453678322366218e-01 4
3 -1.019652323763738650e+03 1.247792992679349205e-01 3
3 -8.718213559073426495e+02 7.678620260626529692e-01 3
1 -1.055549112265279973e+03 9.119491100907222147e-01 1
3 -7.605095399398485370e+02 5.620758209795728710e-01 1
3 3.257572131879823019e+02 3.473821237460980038e-01 1
1 -3.047233906844295234e+03 7.850983785024643336e-01 2
6 3.396869519892447897e+02 5.843465660547747520e-01 4
4 2.155597851034843586e+02 8.651878220135014175e-01 3
7 4.468115556612907540e+02 6.724015449180316129e-01 4
7 4.159928301069865029e+02 5.357434862039025525e-01 4
8 4.477295799065598771e+02 3.038642681971311377e-01 3
6 3.541564647028631043e+02 7.692514717672007674e-01 1
4 8.356113131129504268e+01 2.399036716760930277e-01 2
5 3.942555938066875569e+02 8.101237753352030779e-01 4
10 4.631445842183408104e+02 3.744774221449289620e-01 0
11 4.674103974361420342e+02 2.795708704128648664e-02 3
9 4.593996708664576545e+02 4.289660867822453483e-02 0
9 4.686074873742884392e+02 1.265867465681154158e-01 1
11 4.708197026838755050e+02 4.600596499949904383e-01 3
4 2.368516280194211276e+02 8.526574222538790826e-01 4
9 4.595604171514925156e+02 5.700009588560424056e-01 3
13 4.710213953488973857e+02 2.760717176929182726e-01 3
9 4.547025554099274132e+02 1.743192375041542341e-01 4
14 4.713284947419674609e+02 1.295383364781111379e-01 2
10 4.661941569350157124e+02 4.194722889990101788e-01 4
11 4.697776702822196739e+02 1.026637588839556803e-01 0
9 4.689586696723114301e+02 8.407402654300399902e-01 0
10 4.638914474394443914e+02 6.337307582803812789e-01 4
11 4.691197478594169752e+02 8.646524513139475232e-01 4
9 4.674224445521209645e+02 9.142190945049604167e-01 1
11 4.684039300115864535e+02 1.515973486350978838e-01 2
12 4.698774561573128494e+02 9.898022456703183813e-01 1
8 4.674358424362722531e+02 2.150141077356033936e-01 4
10 4.651358735811078304e+02 4.150717076838290054e-01 4
14 4.711981803693843176e+02 1.337922441358250225e-01 3
15 4.713906047476957610e+02 4.089646287054024554e-01 2
12 4.703608335204548894e+02 3.697498076597697803e-01 4
14 4.711722107206355759e+02 9.062681376090839791e-01 2
17 4.714014480069936894e+02 9.853329798293344322e-01 2
11 4.674279792449986530e+02 8.590325337630313474e-01 0
7 4.682062182427262655e+02 3.067277510320618461e-01 3
17 4.714056578486737408e+02 4.922648510021033208e-01 0
2 -1.828234043937067327e+03 5.342685757259260093e-01 3
12 4.703274363843321453e+02 1.773499654499541833e-01 3
6 4.382218051792814890e+02 7.703892187728852425e-01 4
5 4.547285315595318025e+02 8.408190376747537442e-01 2
12 4.697907728783482071e+02 8.605240561715916670e-01 3
20 4.714941995380714843e+02 1.311674603717452869e-01 0
17 4.713890665948110268e+02 6.356501896095148041e-01 1
18 4.714569533536042627e+02 9.363506252552915576e-01 0
11 4.674011638911417776e+02 9.907642142927213236e-01 2
18 4.714419309990653346e+02 4.876096694576990132e-01 3
17 4.713945987583876445e+02 8.684421178638856986e-01 3
15 4.713246136258086949e+02 2.608633194035836489e-01 1
17 4.714698168034395280e+02 7.352455703433049550e-01 3
6 4.520177653516727787e+02 9.724696055404594142e-02 2
11 4.681430804268399015e+02 6.095189630723663043e-01 2
9 4.631683583010102438e+02 5.729760680858541066e-01 2
22 4.715125451483842198e+02 7.179444228930806915e-01 0
18 4.714490689228557585e+02 2.313896313687102690e-01 4
19 4.714715554733958243e+02 3.456963958226033640e-01 4
17 4.715163790110415221e+02 2.921182720826119295e-01 0
20 4.714976338514188683e+02 9.409672128703072680e-01 2
19 4.714908187568373705e+02 4.031798644066956205e-01 2
16 4.714167316071411165e+02 6.070381088239362732e-02 1
20 4.714987249402892076e+02 5.491045369103524365e-01 2
9 4.664222223638442983e+02 2.742945263584832816e-01 3
19 4.714727560613180231e+02 7.632467871824262229e-01 1
12 4.699615180983888649e+02 4.792981596497180030e-01 3
14 4.710599435781413149e+02 6.174723754851120239e-01 1
11 4.676315369406578384e+02 2.227324179524798886e-01 2
14 4.710657472453114565e+02 6.474798212374264228e-01 1
14 4.713751216341573240e+02 6.047006825410328190e-01 2
16 4.714407305633779401e+02 5.230887311243525017e-01 2
20 4.714948520484272194e+02 7.789767718099909199e-01 0
15 4.712547242549112525e+02 5.821494120760051239e-01 1
19 4.714541270982081755e+02 6.293431867072634134e-01 4
10 4.685951549609580411e+02 9.303920065109994031e-01 1
18 4.714343600615802075e+02 5.757311679696660578e-01 4
18 4.714493793702951621e+02 8.205090045876943794e-01 2
17 4.713934148219192366e+02 7.876718488226330805e-02 3
