# level_assignment log_likelihood tiebreaker ID
0 -5.804877165905103539e+03 1.596773640228092150e-01 1
1 -8.422537672287785426e+02 5.947863791640866094e-01 3
1 -1.588484837239477201e+03 4.240299426562363361e-01 4
1 -2.431837523278553363e+03 2.926175560229266059e-02 0
0 -9.328681522733466409e+03 5.632077809602760166e-01 0
4 2.940515035482258099e+02 9.082912463072184694e-02 3
3 3.983688293483389771e+02 4.107899689310966496e-01 1
2 -7.707535804757388860e+02 7.468149946280004947e-01 1
2 1.755394224980904028e+02 6.317922553537029806e-01 1
0 -2.279197294542613963e+04 9.964464398597059347e-01 4
4 1.798341841635285903e+02 5.166342292279260118e-01 4
2 -3.195277050237748426e+02 3.601238149150007839e-01 3
3 -3.010358209981051232e+02 2.592419539979947118e-01 3
6 4.503781594176553540e+02 8.618000334800779427e-01 2
4 4.706702056118903101e+02 8.976458631178259040e-01 0
4 3.097591336236765187e+02 3.515802372893722105e-01 2
8 4.650486569383313054e+02 8.100938915669093632e-01 2
2 -8.472830035085794975e+01 6.156170006407370998e-01 0
2 2.387084990532813151e+02 7.592072619773890807e-01 2
7 4.627805937438278079e+02 7.229785760139494366e-01 4
9 4.705729037740247804e+02 8.311098828461709331e-01 1
5 4.149840082068199649e+02 6.539037814699987239e-01 2
6 4.243742883565741408e+02 4.383999962138744877e-01 2
9 4.681134986587222784e+02 8.781487457691703469e-01 3
9 4.676795198027612628e+02 7.962699590872311939e-01 1
9 4.690378098564130482e+02 4.979548776550108968e-01 1
3 7.103479120194276675e+01 9.067808251829915234e-01 2
5 4.304512809260178301e+02 2.296003276763770029e-01 4
2 -2.617890037672458448e+02 3.465167252499249395e-01 1
9 4.699521220245197810e+02 6.336473022634692143e-01 2
7 4.669114684296401947e+02 8.428700687456744944e-01 1
7 4.604819383294590125e+02 6.518357423129977901e-01 2
3 -8.782982300280006882e+01 9.257016609923560679e-01 4
10 4.706480885445315039e+02 4.337908302996843490e-01 2
7 4.581320168210550605e+02 5.710439328205242360e-01 3
8 4.637036601593974865e+02 7.754781335846105961e-01 1
11 4.708557760675714690e+02 1.605784309785878439e-01 3
4 3.507768996361916720e+02 8.579571794126010786e-01 4
9 4.675245572891222992e+02 2.330309681516933851e-01 1
8 4.656559336120245689e+02 2.698328823768839091e-01 1
12 4.708724079077181273e+02 5.240659373283955702e-01 0
12 4.708810398870120366e+02 6.988756061363357031e-01 0
6 4.258741671386644043e+02 4.861835363857477388e-01 1
8 4.688316237785666658e+02 9.490972937882009575e-01 3
9 4.672701756980794698e+02 3.840162811101014984e-01 4
12 4.707839733220667995e+02 6.585955354975137066e-01 0
12 4.708200495722414871e+02 5.388644570626288655e-01 0
9 4.670885438312395763e+02 8.658515083670275114e-01 1
14 4.709072812533503338e+02 1.128866666428194332e-01 0
9 4.679343863047757281e+02 3.363317490648964903e-01 4
14 4.709746636798076906e+02 4.139134359596923218e-01 2
15 4.709605559314182983e+02 6.902591034824869798e-01 2
4 4.212261812664422678e+02 2.473219796501034129e-01 4
7 4.663256663985233672e+02 1.772128447735655254e-01 0
0 -1.575371707183465560e+03 4.181380407087724738e-01 4
8 4.640015870157353675e+02 4.488217265301837622e-01 0
5 4.187553696746245464e+02 3.535270165637989237e-01 0
5 4.217458664334985770e+02 3.561315161466050982e-01 3
9 4.691853857116059316e+02 3.855479353454198677e-01 1
9 4.698306381620335515e+02 6.197073522332878781e-01 3
0 -6.194544399647646969e+03 5.867097425917634501e-01 0
3 -8.557227155444479649e+01 5.504989254519719877e-01 1
8 4.636315895660118258e+02 8.373118436896478389e-01 0
6 4.440400696196608124e+02 6.268547472274120791e-01 1
6 4.425583707179495718e+02 7.775098578819168438e-01 4
14 4.709824772063899445e+02 6.715506427383628463e-01 2
1 -3.167350250323625005e+03 3.281356083799654155e-01 0
3 -2.899943843257198637e+02 5.170270887520811431e-01 0
16 4.709665072711035236e+02 1.833768828983650678e-01 3
13 4.708809394959357633e+02 1.997946059177820588e-01 4
1 1.863414896544377086e+02 4.730551710762678219e-01 0
16 4.709813520170816901e+02 1.956579938894180692e-01 2
14 4.709504667074766076e+02 8.551425383938107139e-01 1
13 4.709562299509417471e+02 9.636519516116561768e-01 2
19 4.709911123983775951e+02 5.643779739619168012e-01 4
14 4.709127095990008911e+02 3.517078329214724519e-01 2
20 4.709908608774936170e+02 7.496634153297051517e-01 1
21 4.709915404824098459e+02 8.760263821408924567e-01 4
21 4.709914748399861537e+02 8.967317091069643142e-01 4
10 4.698274375545003636e+02 5.172828416997395928e-01 0
19 4.709890586936610362e+02 2.363237390284762540e-01 3
13 4.708823355901822083e+02 5.877248314829688902e-02 2
12 4.708861428358674175e+02 5.238330518592720919e-01 1
22 4.709918335959482647e+02 2.880509426081934166e-01 4
15 4.709570854162568025e+02 2.172076420034462496e-01 1
21 4.709915778980183632e+02 6.086087282762916995e-02 3
10 4.703021420220198365e+02 5.053736313844338079e-01 1
19 4.709892120907041999e+02 4.207816568402769075e-01 3
24 4.709918557466420452e+02 8.194604724420317954e-01 4
24 4.709919131530890013e+02 3.154209927815440628e-01 2
25 4.709919580818942109e+02 9.896168462992273041e-01 4
3 -1.675977180975693841e+02 4.353705726472467674e-02 1
25 4.709919387962344786e+02 6.564279451741299454e-01 2
22 4.709916576390106684e+02 7.760979714619189451e-01 3
25 4.709919131177733789e+02 9.963138781619897966e-01 2
7 4.642092547035160806e+02 2.419851810869627917e-01 1
17 4.709849874206043978e+02 6.785633850048018445e-01 0
25 4.709919420731501987e+02 7.893638720617924820e-01 2
5 4.027241002898675788e+02 2.088623928766246696e-01 1
0 -3.944754386046714353e+04 6.356181482410190320e-01 1
18 4.709877209718328004e+02 3.657232016671769226e-01 4
10 4.701003289179221838e+02 3.311178070339177992e-01 1
18 4.709880801203216265e+02 8.346680879580112844e-01 4
18 4.709858279541896309e+02 6.375637866804595433e-01 4
18 4.709874994205994199e+02 6.140586946484433151e-01 3
25 4.709919281471642307e+02 1.047577789322078345e-01 2
25 4.709919182590328433e+02 3.558571614467931910e-01 2
17 4.709891781755557076e+02 7.151977921804568428e-02 0
17 4.709820661754501430e+02 3.168044785428634214e-01 3
20 4.709910070877577937e+02 1.458816314714859175e-01 0
20 4.709912046938411549e+02 9.419870272033420422e-01 0
26 4.709919373715890742e+02 4.799266799746987333e-01 3
22 4.709916182005785004e+02 1.219992299340247333e-02 3
24 4.709919143196636924e+02 3.675235431847796441e-01 3
22 4.709915989019309563e+02 9.514714244346532401e-02 4
26 4.709919465446263871e+02 4.888260672753779179e-01 3
25 4.709919308136218774e+02 2.329657033737220218e-01 0
23 4.709917515938060433e+02 3.103963703217393899e-02 3
21 4.709916310604004934e+02 7.059393768827814108e-01 2
25 4.709919342158988229e+02 8.514902915774058556e-02 0
12 4.707792411329412516e+02 9.054228689175720657e-01 1
29 4.709919667028282220e+02 3.119824930319952117e-01 3
13 4.709008844201788406e+02 1.910774177926018724e-01 4
16 4.709663855055554222e+02 2.745605739151973923e-01 4
29 4.709919648787799247e+02 9.142575433332312818e-01 3
1 -1.912282319416850896e+03 5.469049840117692907e-02 1
2 -3.718191184240357074e+02 1.591261336863108999e-01 1
29 4.709919772934629236e+02 7.711576733108088666e-01 3
4 3.382769932785682840e+02 5.789634423951137698e-01 4
7 4.606017273355927273e+02 9.653243492086516220e-02 1
25 4.709919572511283263e+02 8.121940205683371161e-01 3
25 4.709919140178874954e+02 4.432355394624177825e-01 2
29 4.709919624012169947e+02 4.017582025971340176e-01 3
16 4.709866827387043031e+02 9.781871746294292791e-01 1
28 4.709919662883519891e+02 5.386466411551342759e-01 3
29 4.709919662223977070e+02 9.300398747635885144e-02 3
14 4.709070545393075804e+02 1.848098012424757020e-01 1
26 4.709919384953852841e+02 8.516632349428028270e-01 2
24 4.709918358463416439e+02 3.026740927010131421e-01 3
26 4.709919364249039972e+02 9.001456537067077379e-01 2
27 4.709919474973472688e+02 8.825633292368344485e-01 3
27 4.709919545694884278e+02 2.965786122847466344e-01 2
22 4.709916151187294417e+02 4.810417642593726728e-01 2
0 -1.498268744506077564e+04 9.901355552991739639e-01 4
1 3.466993699696606654e+02 6.072364398888592252e-01 4
29 4.709919710392503021e+02 8.042842030735446457e-01 0
25 4.709919207605454403e+02 6.213072550925786697e-01 3
2 -1.285864280739470814e+03 3.978065939911799020e-01 4
15 4.709883632937273319e+02 9.322630682514494449e-01 1
25 4.709919210034842081e+02 7.620722254231047099e-01 0
9 4.688695790739236600e+02 6.070051195409432720e-01 2
4 4.227103193336095615e+02 4.874511967538145418e-01 1
2 -5.109691548131197578e+02 2.240083288238192694e-01 4
8 4.635174053681360533e+02 3.817412756884502878e-01 4
7 4.618455388343413688e+02 5.771246934697085162e-01 4
17 4.709912179404271910e+02 4.909844760169539413e-01 0
10 4.703832682260897968e+02 8.041956433778452151e-01 4
9 4.679424472132058099e+02 8.265657598329837485e-01 4
11 4.707002138282242072e+02 2.580286639855540187e-01 2
2 8.805766954867084451e+01 9.390609150515909498e-01 1
17 4.709834912476537170e+02 1.366813286585845943e-01 0
11 4.707421131727913348e+02 9.424881414839494376e-01 3
4 3.101059298855874431e+02 4.366085885244903597e-01 4
13 4.708978854555585940e+02 4.868934482947593345e-01 0
16 4.709728190301597692e+02 4.005678575498849980e-01 0
22 4.709916264510102906e+02 8.883878093729359327e-01 0
5 4.682904966328759429e+02 2.925285991902455973e-01 3
6 4.296076502912864044e+02 7.029124808634537036e-01 3
3 -2.790792315385156996e+01 2.192669589027804733e-01 4
2 -4.733039820946049758e+01 9.588040071777160778e-01 4
23 4.709918135623552189e+02 1.018409107001390784e-01 0
7 4.575858954924756290e+02 5.046831195421699334e-01 4
16 4.709870721674722631e+02 7.902229885482843219e-01 3
10 4.707348099732288347e+02 1.165499811400156904e-01 3
3 3.557368123667700957e+02 6.791959126559096172e-01 4
9 4.695783908163901970e+02 9.142162996459875235e-02 3
25 4.709919154802175285e+02 7.444471091376376748e-01 0
9 4.680526572554832683e+02 2.313680489790806080e-02 1
10 4.700570977849285441e+02 1.732791926263852200e-01 3
4 3.507268884348929987e+02 3.069918500188080213e-01 4
24 4.709919106102361752e+02 2.914825194185777235e-02 0
6 4.333887245505469537e+02 6.804686685186469575e-01 1
19 4.709902294629935682e+02 7.438835266687237047e-01 0
1 -3.550015842004080696e+03 5.959944633592683533e-02 3
3 -2.355235011039229676e+02 8.115677224241921728e-01 1
12 4.708234702847099697e+02 7.097719634999067884e-01 4
7 4.592565259594638292e+02 7.017003264686021424e-01 3
19 4.709891155035566044e+02 2.301606300701992680e-01 2
1 -4.341852052742251544e+03 3.744863494026713369e-01 3
0 -6.458471356549560369e+03 5.862544006156635845e-01 4
26 4.709919602213441294e+02 5.976356116874337321e-01 0
13 4.708631878417062353e+02 1.373749998303894770e-01 2
10 4.699443045437791966e+02 7.005254527951451093e-01 1
11 4.704612863834368568e+02 7.928948982130383794e-01 4
14 4.709168563767273099e+02 8.191703099127236598e-01 1
4 3.197964344983043361e+02 7.234556525039269603e-01 4
