# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32928 32928 10101 32928
-1.164383174908660834e+00 -4.154735184539669717e+03 9.812636578939795684e-02 28122 33082 17152 42284
-2.073174766999909213e+00 -9.152211380193973582e+02 6.566809166715049662e-01 25140 33092 15769 49133
-3.200856341824323437e+00 -4.070020733818665803e+00 7.432858345621407015e-01 22936 33098 22017 47861
-3.989832886300161086e+00 2.502963081859944907e+02 9.373117373292767507e-01 21148 32979 19660 53612
-4.992841940132543677e+00 3.854853219835769664e+02 9.180726744347733614e-02 19678 32948 21120 51454
-5.889334227533248090e+00 4.342931549776594693e+02 6.432442050172534342e-01 18161 32915 18228 52791
-6.949025130981078213e+00 4.565171443312501651e+02 3.450181464934404252e-01 16575 32957 14009 50183
-8.206338284503402747e+00 4.653198262086976911e+02 5.165802790462640237e-01 14974 32890 17621 46082
-9.170107874094709288e+00 4.680208782342746758e+02 4.887271689359546922e-01 14148 32905 15912 49240
-1.029142347658273593e+01 4.695873069791902026e+02 2.643019445299295000e-01 13490 32792 15222 47778
-1.142569133433408624e+01 4.703843865684692105e+02 8.833942885764362041e-01 12609 32634 26704 46965
-1.201279950089143256e+01 4.706227260007443647e+02 3.276831875691605944e-01 12275 32605 19854 57512
-1.307297196555819596e+01 4.708953657695625452e+02 1.898999883856911097e-01 11589 32598 19639 51737
-1.404340667606535220e+01 4.710290641515213110e+02 1.388290777347531701e-01 11230 32783 23754 51977
-1.483770422144288936e+01 4.710912059035664470e+02 6.357336386463713351e-02 10749 32553 28263 55661
-1.553035053998481274e+01 4.711223397864873164e+02 5.583985068405838970e-01 10556 32648 23499 60217
-1.647420999843654243e+01 4.711484633229628116e+02 9.036511001128925136e-01 10211 32672 26322 55228
-1.722770569686956676e+01 4.711602332433095626e+02 7.110688074684325954e-01 9819 32767 24845 57549
-1.807541738694471434e+01 4.711685825719135892e+02 1.673062652788484539e-01 9495 32788 20375 56608
-1.909609153159717465e+01 4.711742960463108147e+02 7.217818796297249540e-01 9069 32719 26180 52660
-1.980979044699150293e+01 4.711763373308131122e+02 8.739126861271397928e-01 8624 32873 27981 57898
-2.054939031831835550e+01 4.711774936812996657e+02 7.819521191750515854e-01 8626 32872 27449 60397
-2.134752451038334442e+01 4.711783038816074054e+02 9.864005188313385020e-01 8343 32863 24625 59648
-2.223772043470468773e+01 4.711788530080864348e+02 4.985265485954097353e-01 8063 32646 21846 56644
-2.319293077699335015e+01 4.711791954145438694e+02 9.136593014435474558e-01 7704 32681 15311 53884
-2.443499110415464770e+01 4.711794115155958025e+02 4.763834436690674301e-01 7365 32754 19334 47422
-2.533833643601193941e+01 4.711794882670633342e+02 5.552807355735294159e-01 7205 32892 26548 51579
-2.601911148847544197e+01 4.711795253060410005e+02 1.729750061743706435e-01 7110 32738 17013 58641
-2.724294843524708654e+01 4.711795672266318888e+02 6.140318654633769579e-01 6643 32772 0 0
