# level_assignment log_likelihood tiebreaker ID
0 -4.470465787461801665e+04 1.596773640228092150e-01 1
0 -4.648394012817899784e+04 2.959571124794361796e-01 0
0 -2.118324804188122471e+03 7.777250463434823846e-01 1
3 -1.406248811525948383e+01 5.119920489844895783e-01 0
1 -7.842579436776217335e+03 4.297151115228857732e-01 1
3 -1.866095298420144957e+02 9.728244676720887441e-02 1
5 4.561081599733940379e+02 5.909496072478823692e-01 4
6 4.523998123122947277e+02 9.809359696510620008e-01 4
6 4.554400400830335229e+02 5.041296526968501723e-01 0
7 4.522587768553925116e+02 9.374060259823875363e-01 3
3 2.540312353498107711e+01 1.906140861582855117e-01 3
2 1.742740795711342798e+02 5.050396207460907672e-01 4
7 4.535973709815008306e+02 7.911942035326435807e-01 0
6 4.079955725808465559e+02 7.590734682621704810e-01 1
7 4.619289550895081788e+02 7.971294133443782570e-01 1
8 4.574507624575312548e+02 3.388451402572556503e-02 4
7 4.601822262592315838e+02 2.263769543263194350e-01 4
5 3.462322129822360921e+02 4.223131222551135266e-01 3
3 -4.844354543964456639e+02 7.020677484473754060e-01 4
1 -4.330339803351855153e+03 5.031848323173428346e-03 3
11 4.683106700100521493e+02 8.489786503231293580e-01 2
11 4.647774967274425535e+02 3.286748104240094781e-01 1
3 -6.252054238434466242e+02 3.573391176400886327e-01 0
1 -1.024051304596481714e+04 6.803954606184369203e-01 0
1 -9.903881005415236359e+03 9.917946776110742046e-01 0
4 2.809379029675203014e+02 8.351670963148296600e-01 1
13 4.675390088160270352e+02 9.317349957433751495e-01 2
13 4.675617414749004865e+02 4.733784289590890482e-01 0
8 4.639769854542422536e+02 6.970038997380813006e-01 1
5 3.593581297491148234e+02 1.045424033746031878e-01 4
15 4.682184634310093543e+02 3.831894065652854398e-01 2
12 4.659847094172296806e+02 1.032555731059089932e-01 0
9 4.642406230103007942e+02 4.231135700730815352e-01 1
11 4.654921002099297311e+02 5.979668837420537564e-02 1
12 4.662662387633429262e+02 1.342734364748894293e-01 3
14 4.683178761121446882e+02 6.650971468866568870e-01 2
9 4.623763045721229901e+02 9.514973130332478046e-01 3
16 4.685991267153837612e+02 1.999925825425684922e-01 2
17 4.686099769791591712e+02 6.475241857841049775e-01 2
16 4.684138432948881245e+02 2.244523938610118730e-01 2
18 4.686215639811083520e+02 7.355447362094488239e-01 1
4 3.149046952621613968e+02 1.808702047572807725e-01 4
10 4.640067160425597876e+02 4.088007981282602565e-01 3
