# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32786 32786 14929 32357
-7.917309199282280829e-01 -9.293968262937432883e+03 1.285248103169941425e-01 29381 32749 19098 46500
-1.688261528762352803e+00 -1.591460246102902829e+03 6.615668975570769827e-01 26607 32838 20340 50669
-2.605907658860382448e+00 -3.230383248525660633e+02 9.538026172246025780e-01 24482 32910 19835 52026
-3.572214820492721543e+00 1.611388631836678655e+02 7.172742268828935508e-01 22918 32911 18586 51492
-4.590122479545945211e+00 3.583037107651030055e+02 1.534089075699304472e-01 21379 32789 24479 50047
-5.320109245850730417e+00 4.151754180226951121e+02 3.756999185607633462e-01 20529 32848 18793 55901
-6.405172301214368424e+00 4.506532693982030651e+02 2.684933490990781824e-01 18756 32540 19394 50201
-7.359076986093297634e+00 4.618240084109918939e+02 6.497891820991026357e-01 17554 32517 13687 50611
-8.645832792452655013e+00 4.668725634809537723e+02 8.744091185767803864e-01 16596 32550 16757 45146
-9.637499461117775112e+00 4.688140141784293746e+02 2.315548470443026807e-01 15654 32550 14630 48135
-1.081555006137288188e+01 4.699875786300690379e+02 9.750532156577529364e-01 14905 32420 12680 46157
-1.208606281301706353e+01 4.705508017274051440e+02 1.132727816072147675e-01 13957 32332 17762 44132
-1.300195004482947958e+01 4.707410019545477553e+02 5.126447671646843229e-01 13439 32391 12155 48933
-1.436588488641258010e+01 4.708860936463364055e+02 3.569068167720028661e-01 12840 32495 11618 43863
-1.566858619814828124e+01 4.709424986321249662e+02 8.581110833296018425e-01 11996 32419 19853 43159
-1.645888639569940182e+01 4.709575904263361963e+02 3.315939043581549450e-01 11669 32569 20396 51112
-1.738212743317061637e+01 4.709679292649448143e+02 7.420484504669921932e-04 11205 32279 18047 51377
-1.842560027611194329e+01 4.709738794247597298e+02 4.435260953141360041e-01 10440 31895 15495 49017
-1.956737571488385541e+01 4.709768640196880369e+02 5.938314329253753243e-01 9867 31618 19840 46123
-2.042031902637928553e+01 4.709780512303632918e+02 8.795059740017414640e-01 9433 31516 17473 49911
-2.146687955796492631e+01 4.709788550728658265e+02 5.092975982538683333e-01 9153 31328 22411 47880
-2.223937401160399929e+01 4.709791935032849324e+02 4.144237646015028198e-01 8864 31444 22179 52750
-2.311288866601892522e+01 4.709794113425328987e+02 9.514229844334135544e-01 8439 31481 11750 52568
-2.457515452921827404e+01 4.709796004033721601e+02 6.897401081247619969e-02 8114 31373 13527 42719
-2.571402264398863835e+01 4.709796633782606250e+02 7.225143754805993801e-01 7767 31403 17464 44287
-2.664905334805431636e+01 4.709796900654292813e+02 8.198199011399655012e-01 7386 31252 15286 48078
-2.778529486609724941e+01 4.709797050253513930e+02 8.667423197161099324e-01 7060 31335 18155 45971
-2.871877631511344831e+01 4.709797110540508811e+02 5.591770349159652653e-02 6769 31448 26513 48950
-2.935159746841529227e+01 4.709797133709182617e+02 1.816792755582204155e-01 6657 31470 0 0
