# level_assignment log_likelihood tiebreaker ID
0 -3.130014945190278013e+04 4.030932871328706257e-01 4
1 -5.271586543992680163e+01 1.871846794555313553e-01 3
0 -6.919250087240927314e+03 6.528357110102134264e-03 1
1 -6.367895008470349239e+03 1.265859378346171349e-01 4
0 -5.479722011456247128e+04 7.205824357804058167e-01 2
1 1.827808700399573070e+02 9.209175823610307177e-01 1
0 -5.396366373350893991e+04 3.944678392082495710e-01 0
1 -6.969973143419152620e+03 1.664520163848332568e-01 3
4 3.183113937334114780e+02 7.529781530125794209e-01 2
1 -5.417513544176608775e+02 2.337955088589034891e-01 1
1 -6.184545739425692773e+03 9.782201665777344735e-01 2
2 -8.165911543376873851e+02 7.353420870127858056e-02 1
2 -4.990784022317388349e+02 9.221735106515986935e-01 2
4 3.759996715516903123e+02 6.258228944797289417e-01 4
2 -7.828070989761661167e+02 1.401792449612819791e-01 2
7 4.556113900340875489e+02 7.795015973232000128e-01 2
3 1.706404912020248616e+02 4.740856806894923614e-01 1
4 3.416461337108965495e+02 6.894300728947690970e-01 4
8 4.619054514780242471e+02 2.563794665624974378e-01 4
9 4.624393904943583493e+02 1.646470962773887992e-01 2
3 -3.464220425613626730e+01 7.244454881290152137e-01 0
7 4.585888474095034439e+02 3.913973798588230579e-01 3
5 4.159537423497723694e+02 8.941392448190406128e-01 4
7 4.625758979209670656e+02 7.601443115726393973e-01 1
10 4.632692231963653171e+02 8.551464976501605975e-01 4
10 4.628965817613637910e+02 2.386024450368821881e-01 3
8 4.584785804202218173e+02 6.503198037722744684e-02 1
10 4.637165216235071057e+02 1.349013808625506849e-01 1
11 4.638200746130996777e+02 6.565985664794584675e-01 4
11 4.640415380719200584e+02 3.139724048533883982e-01 1
1 -1.769972743468779299e+03 9.702891981779018238e-01 3
13 4.640859766421516497e+02 2.025447683535252508e-01 4
11 4.635937202639947827e+02 4.187857158278716629e-01 0
13 4.640640473665847594e+02 4.697676660559203521e-01 1
14 4.641343141365011320e+02 7.190343576993141195e-01 2
7 4.619384310821282043e+02 3.476186241837689872e-01 2
8 4.612992601435890379e+02 1.112441859948348211e-01 3
4 3.236395788348323777e+02 2.675383336824926905e-01 1
12 4.640408725665233760e+02 1.629005952880859809e-01 3
13 4.640378351871750624e+02 2.644626810614562895e-02 0
11 4.637492991401741733e+02 6.435684289359242527e-01 0
13 4.640408487105055428e+02 2.310579296041127551e-01 2
11 4.636805861921462792e+02 9.705789117974203961e-01 4
11 4.635811827441105493e+02 9.606994855801982425e-01 4
7 4.605811503353966145e+02 2.320526054370191105e-01 2
1 -7.342434214271854216e+03 4.414060919336608713e-01 3
14 4.641271168004840320e+02 8.312595061750034375e-01 0
8 4.595750530219745542e+02 3.483546112881467094e-01 2
6 4.396892820787902565e+02 3.629618828372416228e-02 0
5 4.472251513371627993e+02 6.982330246188236389e-01 3
4 4.020261480038424224e+02 3.818637682388685839e-01 2
0 -2.196027022586281964e+04 3.061217936887983826e-01 0
4 3.200768733472532404e+02 4.898916477763245458e-01 0
18 4.641633408927154960e+02 6.166821840211265116e-01 1
15 4.641521611935684177e+02 7.942829829913601314e-01 4
18 4.641596751085111237e+02 8.820941821945449401e-01 2
18 4.641603826665982524e+02 7.928604883251479940e-01 4
17 4.641602834794979913e+02 5.110286543444791940e-01 4
18 4.641626370069139966e+02 9.870457805234959803e-02 4
14 4.641437372234512964e+02 9.694788195930968966e-01 2
18 4.641606478754929412e+02 9.185376109648317744e-01 4
10 4.628215042508037413e+02 8.675973401405162599e-01 0
9 4.618517559076253178e+02 7.786839651283231634e-01 1
6 4.593449888650823141e+02 3.717541923857048403e-01 0
15 4.641507186280792894e+02 5.730298887092803994e-01 2
7 4.535456375721812492e+02 5.871707809411930157e-02 1
16 4.641511793570525697e+02 1.444373861039163209e-01 4
8 4.590474616405592769e+02 3.441979771934208232e-01 1
17 4.641601105503733606e+02 8.044811584763477130e-01 2
15 4.641390479893521501e+02 2.844422297492626428e-01 1
20 4.641641394118951212e+02 2.334785644018756018e-02 2
8 4.629474689655734210e+02 3.025702791930117153e-01 3
16 4.641569958992137117e+02 7.751931648955334708e-01 0
10 4.631240649050894262e+02 4.537429471466847275e-01 3
18 4.641632895685447124e+02 6.652328053517184703e-01 4
13 4.641351187435897714e+02 3.152495264662379115e-02 0
17 4.641592636102643041e+02 4.917487940845921557e-01 4
20 4.641636797884992234e+02 7.119467766471895276e-01 1
19 4.641632185055418631e+02 5.410856616827139920e-01 4
