# level_assignment log_likelihood tiebreaker ID
0 -7.220499410902039381e+04 1.440075494667957812e-01 0
1 -3.016792678085548118e+02 9.893505671012269298e-01 4
0 -9.512884014563775054e+03 1.775811163994838182e-01 0
1 1.566081023328534343e+02 3.207850283779108969e-01 2
4 3.993385526599707873e+02 1.587875196913390852e-02 1
1 -8.885093163846479456e+02 9.589051458816726381e-01 4
0 -4.652706175655124389e+04 3.417054731830631020e-01 3
4 2.923479342773064218e+02 4.560372676898178379e-01 3
6 4.539100838142792327e+02 4.160443793245374167e-01 2
6 4.467001686612642288e+02 6.118346455600630618e-01 3
7 4.581571279027006653e+02 9.174089355805284951e-01 2
2 -4.794032217188084246e+02 4.992242386752482330e-01 1
1 -2.481388355596224756e+03 3.001067653791875678e-01 2
7 4.551100790222419619e+02 6.526231624874221371e-01 4
8 4.567908136851986001e+02 4.350097918421969023e-01 1
4 3.735672158997217593e+02 3.587606458656570907e-01 3
8 4.571081065562350432e+02 4.448874651577235384e-01 0
5 4.223026547017404937e+02 3.290345727979248069e-01 1
1 -7.456346261785224669e+02 1.170865985307942420e-01 0
10 4.599473416760705504e+02 7.225798436802346458e-01 4
11 4.623668549003420480e+02 1.656954499277922821e-01 4
3 2.463266746464086054e+02 2.549615969340339738e-01 3
8 4.562533552361913394e+02 9.119935104029295303e-01 2
6 4.404568006031260552e+02 7.251531191617354155e-01 4
12 4.604365233905492119e+02 8.422050333087032215e-01 0
12 4.607591474459121628e+02 2.517809889481723018e-01 4
13 4.611748316509328447e+02 2.393977583894442152e-01 1
11 4.610295887918592825e+02 9.128010969434133814e-01 1
12 4.607964635296605138e+02 7.188654124776693299e-01 1
13 4.615326243931667136e+02 4.388854434253651737e-01 1
10 4.582308561261378941e+02 1.320166987121164925e-01 3
13 4.617810082677198125e+02 8.226211117165598274e-01 2
2 3.265035041170557975e+02 6.088435553919069321e-01 1
12 4.606279808428064371e+02 3.843288283226540258e-01 2
12 4.602350807759995632e+02 8.788583263886176056e-01 4
7 4.574435767609298864e+02 8.118081619117010206e-01 2
14 4.616292469799562923e+02 5.092384975266142089e-01 1
5 3.929128757355196058e+02 9.505795238597894992e-01 2
13 4.607137516197674358e+02 4.979240690107964440e-01 3
15 4.625169101248392280e+02 5.790296330947577452e-01 4
13 4.613067270009466938e+02 8.909813255513174823e-01 3
15 4.618662639093273015e+02 8.983521462261964130e-01 3
13 4.615937007966924739e+02 3.548394025205912072e-01 4
9 4.576323331523025786e+02 2.378610737847557943e-01 2
