# level_assignment log_likelihood tiebreaker ID
0 -1.037810579409444836e+04 3.798980599434820249e-02 2
0 -2.478065032702047756e+04 2.520030361849136535e-01 0
0 4.253333259132617741e+02 3.996687537345504637e-01 2
2 -2.292099428906657295e+02 5.122506489949012476e-01 0
3 4.410441762923749138e+02 4.416381347525507595e-01 3
1 -3.153945261737356304e+03 6.602814747598066969e-01 0
3 2.776294230318339373e+02 9.682536769490157624e-01 4
3 9.776031028070296713e+01 2.160203961398646788e-01 3
5 4.393627524712884451e+02 2.821597302933974705e-01 2
0 -9.475422055770646693e+03 2.875408219197552739e-01 1
0 -2.471955812735715881e+04 6.385644484495085482e-01 0
6 4.517524412487483687e+02 1.439721207166841932e-01 2
4 3.747059949129766210e+02 2.272967697740472803e-01 3
8 4.694592999688334203e+02 1.876600085364337200e-01 4
7 4.687278505598210359e+02 4.097009808434965983e-01 1
3 3.607695442722331336e+01 9.909625508097766877e-01 2
5 4.666807832097735513e+02 2.821266284027732496e-01 4
6 4.557409439263907984e+02 2.756121565052734868e-01 0
1 -4.628725069307935200e+02 7.350303489771673471e-01 0
6 4.542359219219813440e+02 9.594809828991515133e-01 1
2 -6.525764483068770687e+02 2.796368936450051024e-01 0
2 -5.621319093344966404e+02 2.320870388981010612e-01 3
0 -2.575623815664644553e+03 3.855193991708797951e-01 3
0 -1.095568551810153986e+04 1.079895560326772086e-01 3
6 4.488656349870934719e+02 3.385029514361510561e-01 1
10 4.703754060016617586e+02 2.605659534805350175e-01 1
8 4.686742040980082606e+02 3.151490171575863641e-01 4
5 4.569201194422479375e+02 4.795563423925333635e-01 0
8 4.687405331162872244e+02 5.600361370612727541e-01 4
8 4.672824664050329488e+02 5.110828056589538093e-01 1
3 2.009306889736300832e+02 8.196803252733051437e-01 0
3 1.968748490005989140e+02 5.974333824954368710e-01 1
3 1.334060702085322703e+02 9.735905837835000520e-01 0
3 -3.778357379851426856e+01 7.423662203303003082e-01 1
4 4.055519415782536043e+02 5.503590782086278388e-01 0
5 4.616967913619648698e+02 9.948040511654879792e-01 3
10 4.708946015581675510e+02 6.497737618398380377e-01 1
5 4.241105159136276370e+02 4.614789498716526106e-01 4
1 -2.487329205541216197e+03 7.978882347439135714e-01 0
12 4.713442551775628431e+02 8.896838737287403598e-01 2
13 4.713083880789740761e+02 6.170183670458171399e-01 3
13 4.713609075737019225e+02 4.984208391091179968e-01 1
11 4.711244327083105077e+02 8.949089904671030382e-01 4
11 4.710052026300319312e+02 3.406552319525850692e-01 4
14 4.714024317150962133e+02 2.338421076302417134e-01 1
4 3.457080752228756637e+02 1.388259027357992559e-01 0
6 4.624666641889890570e+02 9.620799929690146968e-01 3
12 4.711789629474508843e+02 2.741208776885559195e-01 1
11 4.709042261604149644e+02 4.175411330626103701e-01 4
14 4.713671205304325440e+02 3.479355521192827039e-02 2
14 4.714075607029749335e+02 7.971504166960414750e-01 4
15 4.714432573557108981e+02 5.236026526426393879e-01 2
16 4.714532709910073436e+02 3.209257931870123093e-01 4
8 4.711851058476988783e+02 1.852557615204694086e-01 1
14 4.713861904292980398e+02 8.762821225550070370e-01 2
10 4.706279022502460521e+02 4.216247625310917679e-01 1
13 4.713247678217574617e+02 7.868269386654791475e-01 3
8 4.682361707392494736e+02 1.490313410873191913e-01 0
18 4.714573865559210617e+02 3.185288166058001247e-01 2
18 4.714610817210429445e+02 5.981932641335903078e-01 2
20 4.714635665505729207e+02 1.444845739494038384e-01 4
14 4.714022427886075093e+02 4.487073139299179725e-01 1
17 4.714557217396229021e+02 4.066741174591455010e-01 4
13 4.713160263469846996e+02 6.700773693528334907e-02 3
20 4.714617486498369772e+02 6.636172360906253953e-01 4
20 4.714619058007219792e+02 1.064909944871126335e-01 4
3 4.094661421607656848e+01 7.231976263711992203e-01 0
20 4.714645871356671023e+02 8.510572364345305729e-01 4
10 4.704942009480606657e+02 2.257183939446322229e-01 0
20 4.714615791569448220e+02 1.790782725473132331e-01 1
19 4.714591575336311280e+02 7.703783708145515163e-01 1
20 4.714615604739724404e+02 4.696616015655762921e-01 1
20 4.714624644313603881e+02 9.664959466790325193e-02 2
10 4.707130923946456278e+02 1.245297961917835039e-02 0
11 4.711662754583695119e+02 1.010326934402847598e-01 3
17 4.714575060882986008e+02 4.804988229938413902e-01 2
12 4.712008731329735838e+02 2.903889408727526877e-01 3
14 4.713660283190081373e+02 6.865239816424406616e-02 1
15 4.714204756194665151e+02 3.457289459191231207e-01 4
8 4.710258543036910623e+02 1.074740237757765456e-02 3
18 4.714549495028414867e+02 3.498044290251516308e-01 2
15 4.714220270645577102e+02 5.452555327107863059e-01 0
18 4.714555281587048512e+02 7.907835593766066040e-01 4
13 4.714367682342886496e+02 6.530639026247864187e-01 0
14 4.714280860658935239e+02 6.273409585298648228e-01 3
13 4.714092074129774801e+02 6.896543685473741636e-01 3
12 4.713986956181507821e+02 6.194739975912575414e-01 3
21 4.714648338685007616e+02 9.275439926357051945e-01 3
20 4.714613228617458276e+02 6.817891549811876395e-01 1
24 4.714659500937689813e+02 6.663447669207955837e-01 2
20 4.714630007995058349e+02 1.060883811089712303e-01 1
24 4.714658533744232045e+02 2.870776774485555016e-01 2
23 4.714654205458015781e+02 3.833015393812146954e-01 2
20 4.714642961150591418e+02 7.393304162812022184e-01 1
24 4.714657749460060927e+02 9.296092953995744868e-01 2
18 4.714593751918719136e+02 7.945993974147029792e-01 1
25 4.714665241366588475e+02 8.764894826230250624e-01 2
26 4.714665194383839548e+02 6.595121449819764115e-01 3
24 4.714661995792404809e+02 6.652023298724936140e-01 3
26 4.714664054689590671e+02 9.805536573446431703e-01 3
26 4.714664477067819917e+02 8.253744221058911812e-02 3
17 4.714546293309192606e+02 7.176313590716336677e-01 1
23 4.714661556715573170e+02 7.266347506066415107e-01 2
24 4.714664677953527416e+02 8.026042431818343204e-01 3
13 4.714132687229599128e+02 1.594460701963736071e-01 4
25 4.714663791768589363e+02 1.978865966112781649e-01 3
17 4.714513332584226077e+02 5.253917294713008612e-01 1
28 4.714665170576072342e+02 6.340293541560039214e-01 3
26 4.714664176930440362e+02 5.900538866567074381e-01 2
15 4.714162724142645402e+02 8.233328277109137616e-01 0
24 4.714660245781569756e+02 3.626449072061221912e-02 3
15 4.714509586807506594e+02 7.199117673173344167e-02 4
16 4.714471946915780904e+02 6.505408732281972028e-01 0
22 4.714658612962526831e+02 4.338004587084000052e-01 2
12 4.711179891789487328e+02 6.315701184881707952e-01 4
22 4.714652533718896166e+02 2.612139689114609808e-01 2
22 4.714657317244332830e+02 5.071854157171884481e-01 1
23 4.714656394897168639e+02 7.977807971012552679e-01 2
6 4.493582300931847726e+02 4.899687033368195777e-01 4
