# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33366 33366 14590 33366
-8.410333619226082469e-01 -1.020569173147366200e+04 7.490364693383595451e-01 29174 33344 18554 46517
-1.765122554658017373e+00 -3.479895333485441370e+03 5.562133810161394853e-01 25753 33370 16873 50656
-2.858347759866828319e+00 -1.380615183425495843e+03 6.179579791677503042e-01 22514 33441 20883 49353
-3.726304773317261620e+00 -5.440500206935234928e+02 6.511534125934523853e-01 20719 33489 19111 53116
-4.747257610446513176e+00 2.197001461331763039e+01 3.435911537318647180e-01 18924 33473 20351 51475
-5.679254119922386934e+00 2.691225653453481641e+02 6.618219979851306389e-01 17512 33271 15981 52377
-6.854677643175657309e+00 4.038932209750796574e+02 7.478034296962949856e-01 15942 33333 13956 48384
-8.081184495518542121e+00 4.498624579739762908e+02 3.662163172504850350e-01 14448 33302 17838 46462
-9.041155117030191590e+00 4.618950388939393292e+02 1.915955525639123636e-02 13603 33343 18758 49922
-1.002124444377029100e+01 4.667389597524385749e+02 3.467660048345251877e-01 12837 33079 18494 50826
-1.103156079001566603e+01 4.691571081584139620e+02 6.270264273212458050e-01 12143 33051 17795 50560
-1.207314500020279624e+01 4.703375817504379484e+02 5.265870130095149371e-01 11592 32983 13807 49942
-1.333933337263779961e+01 4.710391236793070675e+02 5.680177521501215132e-01 10808 32629 31977 46138
-1.373650935683128793e+01 4.711448608308541566e+02 2.492660749220529937e-01 10686 32693 38751 63996
-1.425682438696606447e+01 4.712681266703920073e+02 6.631297508003900498e-01 10525 32695 38236 69631
-1.487069778908205109e+01 4.713675140789129046e+02 2.940633522873898897e-01 10268 32683 18427 69145
-1.617658751513716098e+01 4.714744903614653140e+02 9.221023097923339851e-01 9309 32416 11638 50587
-1.761137094284600479e+01 4.715117164304467678e+02 8.465303969593360733e-01 8601 32521 19717 43585
-1.841731801757271825e+01 4.715192921263802646e+02 7.274627500616634990e-01 8422 32541 22080 51620
-1.927466557737065145e+01 4.715237910977324418e+02 6.807749707711343579e-01 8087 32487 22040 53907
-2.017463493973998823e+01 4.715261474480684001e+02 3.896173394597357564e-01 7708 32218 26513 53590
-2.089275174253922174e+01 4.715271663888545390e+02 1.322292110603910942e-01 7529 32202 13137 57096
-2.233111112995761260e+01 4.715285018473999230e+02 2.385519485879681878e-01 6992 31292 8676 43994
-2.389819444128782067e+01 4.715290850950808590e+02 6.428831912979502405e-01 6724 31207 23609 39237
-2.443559575715086396e+01 4.715292010463928136e+02 8.928422152149687596e-01 6445 31214 29824 54174
-2.505094911703384142e+01 4.715292846425031712e+02 4.973564497250890781e-01 6353 31148 32690 60339
-2.567997021347781939e+01 4.715293323798816232e+02 5.765435059000302287e-01 6029 30993 28878 63019
-2.646979269515168198e+01 4.715293684637337037e+02 7.628466088748311336e-01 5928 30711 27706 58956
-2.723605200910566992e+01 4.715293934583672240e+02 7.630879335296910648e-01 5734 29934 0 0
