# level_assignment log_likelihood tiebreaker ID
0 -4.976886660698074411e+04 9.313831178604086158e-01 3
1 -6.815745339949359732e+03 8.238230506832792122e-01 2
1 -9.267908013838419720e+03 6.787955901497566558e-01 4
1 -6.398614079274169626e+02 6.559523580629246231e-01 2
4 5.155079412213362389e+01 7.316091469787723289e-01 0
0 -2.269117778585646192e+03 6.692828246921127544e-01 1
3 -1.173541092644771425e+03 6.034288168672340413e-01 2
5 1.377694101719675075e+02 9.882238467805213311e-01 3
5 3.804913226580438845e+01 5.890674807492388698e-01 3
5 2.558600148461790695e+02 9.223090001654264958e-01 3
5 2.244638720251197128e+02 5.246468248514626342e-01 4
1 -3.838283997003305558e+03 3.809973858040024974e-01 2
6 2.768659394975701957e+02 4.483692970779413756e-01 0
5 2.997820961265167057e+02 6.407373590629590332e-01 0
8 4.648750470168802167e+02 6.378694288313710992e-01 2
8 4.515922325873943919e+02 4.656010986320406886e-01 4
1 -5.076414217628720507e+03 4.972286099355542888e-01 3
4 -2.532734959419611869e+02 4.396777470810171451e-01 4
3 -5.717100828397199166e+02 1.900366666385089331e-01 2
5 1.980592357855811088e+02 2.379214293585954487e-01 4
9 4.650276240487274890e+02 7.996527945995839382e-01 1
3 -7.995754701231498984e+02 2.616619300548990168e-01 4
2 -1.882740036131116085e+03 7.548393638881236711e-01 4
5 1.224216807605654935e+02 9.080377548180575964e-01 4
6 3.700154267715830656e+02 8.799934624744927270e-01 4
10 4.681647143335008536e+02 1.370468987985398179e-01 0
7 4.415027363432847096e+02 5.621294994033102510e-01 3
8 4.644893587478434256e+02 3.752796009750696271e-01 2
6 4.069382260633418582e+02 2.881869933659181315e-01 0
7 4.161957560521453843e+02 1.843863770648490608e-01 0
7 4.201175755577371547e+02 9.809370724550232623e-01 4
8 4.606722987896358745e+02 7.038706735403663650e-01 2
4 1.953719515657484749e+02 4.490554533054718633e-01 3
6 3.900383968565591886e+02 8.457181785920239170e-01 4
5 2.443104392465902492e+02 8.774240396003261111e-01 4
10 4.682775819420593280e+02 5.213476404471643205e-02 3
3 -1.358401327623829275e+03 8.158251303087604711e-01 2
2 -3.243748772475143141e+03 3.499100990930079785e-02 2
3 -3.361531925428479326e+02 9.724182629812376799e-01 2
9 4.640175866820261490e+02 4.024812728525771766e-01 4
7 4.256472725004702511e+02 9.882639776179633628e-01 0
12 4.705437716212552459e+02 2.073185376470876307e-01 3
11 4.698296992739352618e+02 7.910710768934715587e-01 1
5 3.717130494917240640e+02 4.073143003103834037e-01 2
10 4.685822026586814673e+02 9.558571494351654207e-01 4
7 4.148179666030638373e+02 3.120273257527261812e-01 3
7 4.156991919067104391e+02 4.992076981683641335e-01 0
1 -7.306218524747009724e+03 1.095353383194741514e-01 3
2 -3.090171482612395721e+03 1.371291103572391812e-02 0
10 4.693487506282531854e+02 3.198090321817003145e-01 2
13 4.712180444274818001e+02 5.528801402955461075e-01 2
11 4.708347108257077025e+02 8.487721627343733921e-01 1
16 4.714748628268442872e+02 5.721894854421883947e-01 2
13 4.711961668908405727e+02 9.615131543865546027e-01 2
8 4.688080697338128857e+02 9.661547805404533396e-01 3
8 4.616395321882329768e+02 5.330476776106602976e-01 1
10 4.674981120385621125e+02 6.080732324621518359e-01 3
14 4.712929584609443623e+02 9.231468596857835829e-01 0
