# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 236373 236373 85559 236373
-1.014279059002364036e+00 -1.034607998062310253e+04 7.165643060745354731e-01 230333 236778 124993 311407
-1.934846172386095464e+00 -6.010058193023851345e+03 4.081756213958533386e-01 225063 236784 128004 348766
-2.936991159297504872e+00 -4.333747420823952780e+03 9.076495969551796605e-01 219889 236465 117450 353041
-4.028902528942813532e+00 -3.179844812368712155e+03 2.537549306018092032e-01 214825 235884 142227 342618
-4.917756189820293500e+00 -2.485572151135227159e+03 2.087751267588067172e-02 211083 235803 121870 365554
-6.008011120839579000e+00 -1.821611007203939153e+03 8.176382883209052377e-01 207829 235601 114485 346675
-7.106472082020425241e+00 -1.290443672318055178e+03 8.064409919377698577e-01 204305 235327 122276 339087
-8.124728380530289229e+00 -9.000713605679776492e+02 8.307354718482173883e-01 201383 234890 129891 345882
-9.105839639842111310e+00 -5.834104486088635895e+02 1.463041552408628765e-01 198600 234975 126870 353376
-1.012818518903114473e+01 -3.170390530582161546e+02 8.978512469125732309e-01 196002 235026 133647 351502
-1.109788039469997045e+01 -1.202171274434535917e+02 2.274401920134163646e-01 194148 234936 124222 357234
-1.214950073332644820e+01 4.954400781353604089e+01 6.390647267215854299e-01 191088 234647 119071 347895
-1.321546426005146557e+01 1.808864924243197265e+02 1.568491009153842874e-01 189035 234890 122990 343563
-1.424040459676953851e+01 2.758030907756004808e+02 4.481124721923546161e-01 187031 235100 127443 347113
-1.524222020080009443e+01 3.400709081035880672e+02 5.088994627630469836e-01 184718 235253 119405 350492
-1.631245119807209321e+01 3.881352685363660271e+02 2.785067293187382109e-01 182047 235542 99940 344373
-1.752734720822885706e+01 4.211612097495550984e+02 2.398117315934518712e-01 177729 235015 119462 325813
-1.853037784605108129e+01 4.361057235399488263e+02 3.060845212649647151e-01 174822 235132 110391 343776
-1.965414621000317297e+01 4.456185577439449617e+02 9.661803977800245136e-01 172552 235310 82126 336954
-2.102306458905093578e+01 4.528222239742175361e+02 1.245918143764512820e-01 171058 236367 127800 312541
-2.192659517205252939e+01 4.561514469936689693e+02 3.347800666595513452e-01 170024 236535 117362 351187
-2.301435704963143536e+01 4.593408839831765249e+02 6.627019564902005833e-01 169304 237473 152494 345064
-2.384512797050135191e+01 4.612272148024953822e+02 3.563507974256558963e-01 168785 238081 181018 376446
-2.459568110145992748e+01 4.626385138937638430e+02 7.014952316879675687e-01 167916 238533 128349 404200
-2.573140056380069751e+01 4.643734036076001530e+02 2.320641359226606748e-01 167842 239094 138362 357931
-2.668579797359097583e+01 4.655967959059134955e+02 1.414862489888419894e-01 167704 239827 134048 366313
-2.769066677473342253e+01 4.667056085232178475e+02 3.054805551724903978e-01 166871 240467 144788 361335
-2.861181534063862841e+01 4.675124555741438712e+02 3.896157829078666923e-01 166954 241153 147892 372079
-2.954028867121516555e+01 4.682118610639831786e+02 4.057017717731215001e-01 166227 241789 75994 375344
-3.107592819039816590e+01 4.691003954678047307e+02 2.285290386215255987e-01 166184 243181 92054 310106
-3.226856573650221804e+01 4.696091308418734798e+02 4.839103912758565551e-01 164805 242789 79803 323431
-3.362519262134034648e+01 4.700726244633177657e+02 5.200573282998298685e-01 161869 239834 86285 311629
-3.487952333091249812e+01 4.704328674353315023e+02 5.306066563509620471e-01 160541 238913 104020 320544
-3.599303093395854347e+01 4.706638413969639032e+02 4.751737106025705204e-01 159711 239185 111585 336868
-3.708848868466214554e+01 4.708393420781380883e+02 6.381593158521366993e-01 159550 239677 164998 344945
-3.784552138640826513e+01 4.709392207290902093e+02 2.838011360562058272e-01 159014 239832 174208 398505
-3.868470998058141674e+01 4.710340297480796039e+02 5.236147160816162494e-02 157733 239165 142959 407045
-3.972766063395262393e+01 4.711270371732018702e+02 8.677941869134576658e-01 156889 239000 124706 375636
-4.082196248006409434e+01 4.712013019105580724e+02 7.052990970082078093e-01 155435 238008 0 0
