# level_assignment log_likelihood tiebreaker ID
0 -9.534528007704881020e+03 7.506710027502789817e-01 3
0 -9.214603356396728486e+02 6.059342954747294341e-01 4
2 -3.828269593519069531e+03 2.296809479395831577e-01 3
0 -1.704736005603000522e+05 8.368680588613629512e-01 3
0 -6.507077867580890597e+04 8.420874143621867036e-01 4
2 -4.437659162790000664e+03 8.872916533324882726e-01 4
4 -3.313972932781987311e+03 9.271946828800909923e-01 0
5 -1.992967814555420773e+03 2.768584932518547426e-02 1
4 -2.168163778299381192e+03 8.332115651240243892e-01 0
5 -1.680290023794025274e+03 1.109844943418835869e-02 3
1 -8.232605879575599829e+03 2.662805926293607683e-01 2
5 -2.435719672966703456e+03 9.318628402393948351e-02 3
2 -6.043819075144650924e+03 5.139909627076498788e-01 2
5 -1.933041191004161647e+03 9.578119139100920165e-01 2
4 -2.263896528971860334e+03 3.175610777558683928e-01 4
8 5.182735208358306522e+01 4.854279249106711602e-01 0
9 4.298968592592011078e+02 5.308186915975352527e-01 0
5 -2.262482354345300337e+03 6.071231730466970511e-01 4
0 -6.751154320542284404e+04 7.443606404401247323e-01 4
2 -4.630758458770305879e+03 5.489298561654321063e-01 3
4 -2.501372030425541197e+03 8.820718280403542222e-01 1
7 -6.428302626526824497e+02 9.643723477085616169e-01 3
7 -1.110039952345390475e+03 3.042788788759980267e-01 0
3 -1.484631634007433604e+03 5.654889175661126366e-01 2
6 -1.788586939424985303e+03 4.966589902518270816e-01 1
11 3.801314407222868681e+02 7.867138649957610141e-01 4
11 5.660110452975616226e+02 1.696747240021096725e-01 2
2 -4.599223767736008085e+03 6.927669113627077380e-03 1
12 6.805304755682236646e+02 8.962895882008906634e-01 3
4 -1.752213526433337393e+03 9.120431700400838393e-01 1
7 -1.046172837999130934e+03 3.503900991764475337e-01 1
3 -3.148897066057252232e+03 1.098501644165197216e-01 4
13 6.410786608433268157e+02 6.221776124558787702e-01 2
14 7.782049166686883837e+02 3.613039610178634398e-01 4
3 -4.119532186007065320e+03 5.989424317694340694e-01 2
14 7.107902158117241243e+02 1.494174233557270526e-01 0
