# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 235723 235723 86863 235723
-9.985231712616577937e-01 -1.669178330988127345e+04 8.291741598525774748e-01 228169 235640 116066 310249
-1.983280056673316416e+00 -5.915420800426734786e+03 4.724575263804292602e-01 217917 235243 126831 339058
-2.968008244941702678e+00 -4.008637499294668487e+03 2.157237621620216039e-01 212890 235275 148102 351024
-3.841601808668448026e+00 -2.910570667355533260e+03 5.273387443897685767e-01 209249 235700 143834 370809
-4.792691433506632848e+00 -1.978107861478969426e+03 4.781977055308281876e-01 204882 235759 114043 367039
-5.947095032713916041e+00 -1.136629110754990961e+03 9.892925113286814565e-01 200094 235798 136303 340526
-6.869606343813682514e+00 -6.267326718378227497e+02 2.021497087835086859e-01 197606 235716 153429 360135
-7.733926425517899439e+00 -2.296269135350805470e+02 8.643545832491960068e-01 194544 235190 153068 375558
-8.639049556698813248e+00 1.030916842203490376e+02 2.386718040793146534e-01 190502 234364 140628 374643
-9.620458509528656776e+00 3.764037704210160200e+02 1.248667938444967263e-01 187055 234235 175409 363070
-1.036723058543445752e+01 5.214101634646233379e+02 7.928170734446886581e-01 184397 233792 144759 394624
-1.136988101879474300e+01 6.653042556876636127e+02 8.631886377667317145e-01 180660 233792 148832 367147
-1.228018694886893769e+01 7.470593069630865557e+02 8.569038581909540486e-01 176697 233677 149243 370293
-1.319579317023526777e+01 7.910807948050560299e+02 8.065760725723336577e-01 173108 233671 123715 370449
-1.428457200240661962e+01 8.170384211112454977e+02 2.401727318932307398e-01 169288 233999 87875 346507
-1.561956852568091847e+01 8.313349349657710263e+02 1.519560871918290701e-01 164785 233812 94408 312827
-1.679768796354626303e+01 8.371628536751896945e+02 7.378255874915092827e-01 161336 233454 140249 318301
-1.763229663924720114e+01 8.393139868923344693e+02 7.896723547232638030e-01 159327 233121 165504 358565
-1.842199883370028601e+01 8.406709171654513284e+02 5.388621750825353107e-01 157306 232718 148559 384001
-1.937540381483196938e+01 8.416713116951233360e+02 1.770058958029392948e-01 154939 232244 150393 370196
-2.028364573192073550e+01 8.421976420714081542e+02 5.825384069440112805e-02 153048 232288 120378 372463
-2.140238509739122108e+01 8.425609194470520151e+02 2.609473229954441531e-01 151708 232657 134707 343251
-2.234303914600007701e+01 8.427190961193491603e+02 1.691474538560472918e-01 149559 232668 135015 355161
-2.331286723015696083e+01 8.428092851069275184e+02 5.812546506000906277e-01 148520 233306 118197 356289
-2.440741661505068194e+01 8.428731847589849622e+02 8.384592567148296816e-01 147583 233680 114173 342580
-2.549747067050904192e+01 8.429076058409320922e+02 9.132353797789626304e-01 145757 234085 208969 339649
-2.601804237235616313e+01 8.429172652032684709e+02 7.922826751203088103e-01 145966 234558 240345 425237
-2.661307506748697094e+01 8.429264813687818787e+02 5.217134708729013193e-01 144431 234626 219605 458863
-2.736502191991491628e+01 8.429353246009698069e+02 6.471873148159741351e-01 143426 234734 148312 443162
-2.845305135431080146e+01 8.429450298629500367e+02 6.600038713973033211e-01 143224 235059 159039 376084
-2.932385360449988099e+01 8.429503236468527803e+02 1.925676904055436678e-01 140582 233021 243921 384169
-2.981060226958236470e+01 8.429523940417119547e+02 8.709950773015928682e-01 138999 231713 357034 467794
-3.011414766078452132e+01 8.429534276362592209e+02 1.737119037648569286e-01 138858 231311 475262 577471
-3.033806996022582325e+01 8.429540479709214651e+02 8.725716353029664418e-01 138008 231506 539373 688408
-3.060561698776524153e+01 8.429547975015457268e+02 7.145406708597435985e-01 138441 231723 632759 761361
-3.081311140514264224e+01 8.429553647609088785e+02 5.403678309589139417e-01 138292 231815 724388 855638
-3.099999070275145741e+01 8.429558023692536608e+02 4.577295876168788746e-01 137209 231963 866135 951233
-3.111306988722961364e+01 8.429560100571873136e+02 5.523246364039087197e-01 136737 232150 1047008 1091965
-3.117261004431355076e+01 8.429560962491088958e+02 5.260978598938288453e-01 137653 232084 0 0
