# level_assignment log_likelihood tiebreaker ID
0 -7.672150305207041674e+04 1.440075494667957812e-01 0
0 -5.197295434034852224e+04 5.458724692201448736e-01 4
1 -6.528612945135329937e+03 3.034867252115955871e-01 2
2 5.231443993776759953e+02 3.734262690981289268e-01 3
1 -4.489883536632931282e+03 3.877540188337479932e-01 1
1 -1.612860961954344475e+03 1.908384530314952698e-01 1
4 2.024253056995758016e+02 6.839892874808952694e-01 2
3 -1.604446201985355174e+03 6.652913744818531594e-01 1
2 -3.127057570250882236e+03 5.896769327051032406e-02 4
2 -3.472760208428613623e+03 1.967128652256810994e-01 2
1 -5.004138197517022491e+03 9.223559835840868804e-01 3
5 -8.265660989695047078e+01 9.541122100341477008e-01 0
3 -2.572445596913631562e+03 8.834981938170397564e-01 3
4 -1.159404644612795607e+02 5.558217647528920224e-01 0
4 3.526432814329502889e+02 7.705799954809045005e-02 0
1 -6.784083631469437933e+03 6.539975850680898040e-01 2
3 -1.102812883932811928e+03 6.161755589799984278e-01 2
5 3.031677740093534794e+02 1.750324772937814077e-01 0
7 7.225581941123989509e+02 8.800122159071399608e-01 4
3 -2.344871057203887631e+03 3.129142185880553484e-01 1
2 -1.360089938051113904e+03 1.259504268574178076e-01 1
4 -3.510383022863508131e+02 7.725258485642504391e-01 4
6 6.151061758133782860e+02 7.651457639717993420e-01 2
9 8.130969009476082192e+02 8.948084734317957034e-01 0
6 7.102895659976361458e+02 5.338062052426510995e-01 2
7 8.014524781045196278e+02 6.537503659248615762e-01 3
10 8.265330872927982000e+02 9.657059501523752587e-01 4
2 -1.278750810341488659e+03 3.546002546527947663e-01 1
7 7.920181514627183788e+02 5.318704363548187874e-01 3
9 8.385675366674825000e+02 6.923400141604904023e-01 4
0 -7.735972040547390861e+03 4.748185269934994679e-01 1
10 8.247172080842253763e+02 4.350515552628344551e-01 3
0 -1.849614344136716682e+04 7.062413851266740039e-01 1
13 8.375672098325594561e+02 1.848410308980740213e-01 4
8 7.941371676599782177e+02 4.777056722202986938e-01 3
5 7.979894236014893067e+02 9.444627840760934090e-01 2
12 8.351702055327651806e+02 4.415518352413037029e-01 0
8 8.031993578679342818e+02 3.392768749024379082e-01 1
7 7.703924298445181194e+02 1.534401520432027155e-01 2
11 8.318164346211221982e+02 6.953497194511260027e-01 1
6 6.781370970974714965e+02 9.409567577520533410e-01 2
10 8.268050110796926901e+02 1.783349098744201056e-01 1
10 8.272686046480407640e+02 3.778577246862528938e-01 1
7 7.240850196506883094e+02 7.300896747017359134e-01 1
8 7.769378397424503646e+02 6.783193281349196857e-01 1
5 -6.186501342320224239e+01 1.457614004226837068e-03 2
9 8.172853429227475317e+02 3.741762610954122437e-01 3
2 -4.017881248211348975e+03 7.363753711047960060e-01 0
1 -2.704080851654516209e+03 4.448454016765318597e-01 0
11 8.330957926314627002e+02 3.887550995899577977e-01 0
13 8.392425486833233208e+02 3.820213048673799516e-01 1
13 8.393462971924441263e+02 1.453822213244521933e-01 1
11 8.372456929334164215e+02 2.077311983502772297e-01 4
10 8.360427465115020595e+02 1.235161329265255792e-01 1
9 8.192558433101155515e+02 6.433005159828008024e-01 2
15 8.399604354341950057e+02 4.144041209887383559e-01 3
14 8.394580137490952438e+02 4.504499519975375676e-01 1
5 5.189630902523825284e+01 6.933831063330579969e-01 0
14 8.401063193462979370e+02 7.510298806560724572e-01 3
2 -4.115482182085652312e+03 7.404393632719790119e-01 0
16 8.405002900496199345e+02 4.680062028745822222e-01 3
15 8.402212916866765227e+02 6.885373360017710276e-01 1
5 6.958261260343513186e+02 3.339550078871240668e-01 3
13 8.375311205086708242e+02 8.775069940581758932e-01 3
16 8.404739335855856552e+02 8.333390324795917348e-01 4
6 7.152782138189056695e+02 1.882633388941812314e-02 0
16 8.403746964066879173e+02 3.234562883892329044e-01 1
5 2.253107073258105402e+02 2.599845189874862017e-01 3
14 8.410513342006206585e+02 6.596722262714065366e-01 1
6 7.533687959839503492e+02 5.006037908610553311e-01 3
16 8.403982057120995250e+02 1.690509168934903883e-01 1
8 7.912811582939465325e+02 7.417343613222230347e-01 3
16 8.414639359543685941e+02 6.722377428317294346e-01 4
8 8.044522211633106963e+02 2.521234018779799912e-01 0
13 8.388478240918088886e+02 1.886580993133772643e-01 2
13 8.389965433890456552e+02 5.003441224095848128e-01 2
9 8.239190275832565931e+02 2.646992579606034443e-02 0
14 8.390541372798975317e+02 4.266615329485629604e-01 2
5 4.077231800178851699e+02 4.537038464804936666e-01 0
12 8.391730397969735122e+02 8.735345245093020239e-01 2
17 8.415899042887660926e+02 7.938503372939305081e-01 4
15 8.411137219426823322e+02 5.828178551387068751e-01 4
16 8.407317105893357621e+02 9.415741447109339246e-01 1
18 8.418224340785044433e+02 7.948753525454648194e-01 3
8 7.950396627562290632e+02 8.800691041633545986e-01 0
9 8.124411803786531436e+02 1.294146829621720396e-01 0
13 8.386515717884891501e+02 8.069452830937580146e-01 1
12 8.373231069080577527e+02 8.292021518709553618e-01 1
18 8.417968237895642005e+02 3.875876904721798355e-01 3
19 8.418807070262569141e+02 8.788227157133792211e-01 3
12 8.369739542716915821e+02 3.869163265698146725e-01 1
20 8.419251977841161079e+02 3.936727509109154144e-01 3
16 8.414076880990091922e+02 4.060818701628787775e-01 1
0 -7.967848060494408128e+04 5.455189831904285747e-01 0
17 8.416337768006997067e+02 8.975969996549366670e-01 2
15 8.407801553193330619e+02 7.332338301386835955e-01 4
16 8.405494021307592902e+02 4.596758190496539331e-01 4
1 -3.235456711585772609e+03 4.701254309231194251e-01 0
16 8.408105991587475501e+02 3.735910301392437738e-01 1
5 5.462179066543438921e+01 9.223715414970190540e-01 0
7 7.298853106353228668e+02 2.051256943084528439e-01 0
18 8.419240794441207072e+02 6.095355132573923029e-01 4
20 8.419109251377778946e+02 8.395684255876663116e-01 2
21 8.419639523452457297e+02 3.219971592906852864e-01 2
20 8.419835519723616244e+02 3.773107805817605964e-01 3
14 8.396126522564269408e+02 8.310340482606601853e-01 1
24 8.420755854734748027e+02 5.745023637509818482e-01 3
25 8.420738276829290498e+02 8.709954974415778928e-01 3
23 8.420374252765878964e+02 3.007474953552705110e-01 2
24 8.420580383820652060e+02 4.309702695450434717e-02 3
25 8.420738030295033241e+02 6.018584460946396764e-01 3
19 8.419549061435078556e+02 3.241170388839078598e-01 2
23 8.420371473492069754e+02 2.177222246568177866e-02 2
14 8.395886168286506290e+02 8.288953574210379260e-01 1
16 8.403967911556410399e+02 2.888035946449414859e-01 1
22 8.420294836341571454e+02 2.806449438733138457e-02 2
27 8.420855921111096904e+02 1.862746265895935949e-01 4
13 8.385596990745987114e+02 5.348135472750265018e-01 1
24 8.420606226313557272e+02 1.491699427723283122e-01 2
18 8.418256582446518905e+02 8.677338764481064004e-01 0
14 8.394802855150500136e+02 7.460341751019461398e-02 1
24 8.420613006109128946e+02 7.691383374353284452e-01 3
27 8.420872163173537501e+02 6.062998094932833260e-01 4
11 8.385859338061229664e+02 4.843287101341603451e-01 0
28 8.420888572954315805e+02 7.513730643363669692e-01 2
10 8.341073441863563858e+02 1.662240925385978230e-01 1
15 8.410775759002763152e+02 4.336483804422873178e-01 1
10 8.344287125717514755e+02 4.043699752687577864e-01 1
28 8.420915789802199924e+02 6.365508331031882738e-01 3
16 8.409104107531511545e+02 8.094296874892753513e-01 0
29 8.420928396184750682e+02 6.123436739927354822e-01 2
13 8.411200878445877152e+02 4.337981444124534569e-01 0
5 1.069854547629852846e+02 1.711567960317613435e-01 1
8 7.946665916777570828e+02 8.124547973920871469e-01 0
3 -2.110136575649354199e+03 9.900403114449136677e-01 0
7 7.856389605943481911e+02 2.664259056685391869e-01 0
17 8.416217167836122144e+02 4.267762112996439372e-01 1
29 8.420908932735030703e+02 7.403048722976826035e-01 2
24 8.420665925691031362e+02 2.757013698030210680e-01 3
21 8.420727808985964202e+02 8.572428034558122745e-01 3
18 8.419968064412209969e+02 2.255143574154452324e-01 4
0 -1.051648076830329665e+05 2.829629633378534237e-01 0
0 -3.092718419189684937e+03 8.568423445746662370e-01 0
29 8.420919633704975240e+02 1.596357679465555124e-01 2
18 8.419597970534113074e+02 8.543304101456290489e-01 3
7 7.467817253593786972e+02 1.986022497700612455e-01 0
21 8.420721958977377426e+02 1.526446878724758149e-01 2
25 8.420750577523619995e+02 2.634169055033859230e-01 2
3 -2.069039527821013507e+03 9.499481738142390164e-01 1
0 -3.754993014283805678e+04 6.635254271881922961e-01 1
21 8.420251221271535087e+02 9.466495637591445522e-01 4
21 8.420373808040317272e+02 6.096313785877049973e-01 4
24 8.420588297920943432e+02 8.247277588200017107e-01 4
8 7.776949523556907025e+02 4.587631710780308292e-01 0
7 7.374709732749319073e+02 6.846971985852956522e-01 1
9 8.173712253366406912e+02 1.455070490799927896e-01 1
25 8.420804315340911899e+02 7.652704866249457893e-01 3
11 8.323208682880583638e+02 3.872604118613907076e-01 0
14 8.393284082505799688e+02 2.482877755865179614e-01 4
14 8.404415290050669682e+02 5.352719326769985742e-01 4
15 8.406619542143156423e+02 5.511180133876649734e-01 4
24 8.420705107969351957e+02 8.451017161524969623e-01 4
29 8.420922345677552130e+02 6.799276301142774814e-01 2
21 8.420257450022786543e+02 7.665144069764869839e-01 4
14 8.391461819434337031e+02 1.636858428634058171e-02 0
12 8.382706177529955767e+02 2.673093430424038908e-01 0
28 8.420910693392141866e+02 1.476680164825694419e-02 2
15 8.417675835943579159e+02 1.008749433272050217e-01 1
21 8.420430092016190429e+02 5.298308285269682782e-01 3
26 8.420813686516702319e+02 2.311085027212627097e-01 2
22 8.419972794226302995e+02 2.232259497718859786e-01 4
15 8.412224712712250039e+02 4.578664939075611229e-01 1
21 8.419878218419049745e+02 7.532569394170186838e-02 4
28 8.420891872449378752e+02 9.994992319299554895e-01 3
10 8.308193481734647321e+02 1.939513012938016701e-01 0
26 8.420856550443666038e+02 8.107678557300695976e-01 3
15 8.402819286445779881e+02 8.083129824342675240e-01 1
9 8.230630801229660847e+02 5.402631139404023841e-01 0
28 8.420889150670067238e+02 4.870384854508763017e-01 2
21 8.420063938884975414e+02 1.347208402983035569e-02 4
2 -1.394047587414367626e+03 2.876590324081220729e-01 0
21 8.419549444009154513e+02 8.624492538902455152e-01 4
19 8.418634966135387003e+02 7.997609131544460848e-01 4
1 -7.103061027060799461e+03 1.585161853652380937e-01 1
11 8.387118015240224622e+02 6.918284950459185900e-01 4
19 8.418767444191962568e+02 8.851304813291278606e-01 4
27 8.420913244537211995e+02 4.582139705778948691e-01 2
7 7.266329820650456668e+02 6.004318163232569283e-02 1
2 -6.606288682832573613e+02 8.789967546475729865e-01 1
23 8.420399075049851945e+02 2.625002336442885942e-01 3
22 8.419898199041311955e+02 2.231577644856297948e-01 3
5 -4.648055762701214633e+01 7.407806014001154793e-01 0
6 5.723406033546037861e+02 2.183712362183940492e-01 1
12 8.365753034435390418e+02 2.876882389350021718e-01 3
22 8.419992506029782362e+02 6.459492963171120650e-01 2
9 8.296639712346930082e+02 2.301932744638570949e-01 4
17 8.419914145684464302e+02 4.322400672060622284e-01 2
23 8.420628220284017971e+02 6.004717037587490314e-01 2
19 8.419792450614556856e+02 1.359764443242629239e-01 2
24 8.420581239427206128e+02 9.066265781950264557e-01 2
16 8.405439330725515674e+02 2.429506964186156637e-02 1
19 8.419781002749117533e+02 7.846221525213570303e-01 2
0 -3.371476211907174002e+04 8.825026930553389048e-01 4
5 3.046351481776350738e+02 5.462565872952640511e-01 1
5 -2.792318191951369499e+01 8.533390076210188857e-01 1
2 -3.077081168578733468e+03 5.500619672195055099e-01 4
2 -3.552413016290974156e+03 2.096925465282256928e-01 1
20 8.419514696383423598e+02 2.347383627955608176e-01 2
13 8.394392418523069637e+02 8.806302892681532324e-01 4
18 8.418008577325981605e+02 7.921606640648786168e-01 2
7 7.380886343763220339e+02 2.185065123433131695e-01 1
15 8.397806048689858471e+02 4.182970773866330205e-01 4
14 8.398826253824468040e+02 2.982848549959302709e-01 0
1 -5.745479794398287595e+03 9.447661398725575310e-01 1
17 8.419407052802903308e+02 1.462016002546871751e-01 2
2 3.153170146803007583e+02 9.787381640731239452e-02 1
22 8.420014401532075681e+02 8.832112114782612045e-01 2
16 8.403107323485913867e+02 4.285655564176096277e-01 4
0 -7.108250441177921857e+03 2.925224629358753603e-01 1
10 8.372078540967930849e+02 7.894342814128864072e-01 4
3 -1.697521321420723098e+03 2.090719489367104666e-01 3
4 -6.486134647533074258e+02 9.351595532741046046e-01 1
3 -2.545945979040388920e+03 7.214518443559403416e-01 3
5 7.380997407775541319e+01 3.461620412658474866e-01 1
6 6.114938067699613384e+02 8.784117080584161741e-01 3
3 -1.075312491747265824e+02 6.280603264543802577e-01 3
1 -3.772110573843232032e+03 9.931006362135094134e-01 0
6 7.006662945662687889e+02 3.563298806466193014e-01 1
7 7.338842966804932075e+02 9.105283433229427459e-01 1
15 8.404533119225477549e+02 2.997350969972266133e-01 4
9 8.189068373980010165e+02 9.869005197500836379e-01 0
9 8.123058347089631752e+02 8.148395541256372443e-01 0
3 8.155617803590428139e+02 3.096736029926764333e-01 1
2 -3.816366831729082605e+03 6.928205259061526178e-01 3
2 -2.715467547384131194e+03 8.564082487841897517e-01 1
5 -6.947105057567603126e+01 3.790014029045309929e-01 1
14 8.388283853983286917e+02 8.523367586665719919e-01 4
12 8.385351076953863867e+02 2.560514821337350755e-01 4
10 8.291726596545108805e+02 1.180933702446251843e-02 4
7 8.144115759410979081e+02 8.905878217806968422e-01 0
7 7.674878771728199354e+02 8.639585482054384924e-01 1
5 7.214863045970886333e+02 5.721132819335745801e-01 1
29 8.420935471354296169e+02 1.634105179882887893e-01 2
6 6.435360253608752146e+02 3.594900536202558783e-01 1
3 -5.906287551018539261e+01 2.932312169558285442e-01 3
13 8.386588614446537804e+02 6.190273299640963733e-01 4
16 8.404190642118662709e+02 9.017760776256457111e-01 4
16 8.403000757873045359e+02 7.318354745279255225e-01 1
12 8.390436003084817003e+02 9.807909436089974342e-01 1
12 8.405743709187414652e+02 7.072807143706759669e-01 0
14 8.409808342564424493e+02 1.034476418876806303e-01 0
10 8.378832612339183470e+02 6.901899692954502896e-01 4
15 8.411369316605014319e+02 5.386699253827532952e-02 3
12 8.359643377029808562e+02 2.756432607016602310e-01 3
17 8.415099208000497129e+02 6.340610739310563737e-01 4
11 8.348560023702079889e+02 7.131124420055420243e-01 3
29 8.420912034400646462e+02 4.741279584244670331e-02 2
14 8.410252408814487808e+02 4.743984858678889083e-01 4
