# level_assignment log_likelihood tiebreaker ID
0 -1.230102372519855453e+04 4.030932871328706257e-01 4
2 -2.403788083378773990e+03 3.376588581234139519e-01 0
1 -1.186973853356202744e+04 8.566468029953860919e-01 4
3 -1.194675901756229905e+03 1.296450707866957930e-01 0
4 -2.811599586962294097e+02 8.296617193297286530e-01 0
4 4.279084239962408560e+02 8.117969528299966431e-01 3
5 7.519092725975449412e+02 2.709025913805389596e-01 4
5 6.061302522649376670e+02 3.481056595881372173e-01 3
4 1.173442480944496538e+02 6.671277999101153933e-01 3
4 7.322707911935808625e+02 9.541322828413838497e-01 1
1 -2.575525921135808676e+04 7.079889340770422201e-01 0
0 -2.416415419801944154e+04 1.117841261914449547e-01 4
5 3.482727117389712248e+02 9.477282657000013488e-01 1
4 4.826082848679234303e+02 3.238592612752815847e-01 0
0 -2.699704573775170866e+04 7.623274385135291320e-01 3
3 -8.542516497130936841e+02 9.666104154371583101e-01 1
6 7.378672420108723600e+02 7.285821266614982417e-01 4
6 6.676556324101270548e+02 4.891393453853601914e-01 0
8 8.033700799158469863e+02 6.015763931973339140e-01 4
3 3.860722704974132284e+02 8.802657916509490921e-01 3
0 -2.457531770404348572e+04 2.803695597075295254e-01 0
0 -3.131606108517161192e+04 4.685544864833970369e-01 0
6 7.061615994730124157e+02 4.373920245313911437e-01 0
1 -2.266124125841614295e+04 7.834450669013023338e-01 2
10 8.416685210371166477e+02 6.185087330062227773e-01 3
1 -6.581109780081604185e+03 3.368865587264389672e-01 2
2 -4.432193945085132327e+03 1.197954186915441144e-01 2
6 7.067265227094042075e+02 2.885250709174882466e-01 0
5 3.013318291522456889e+02 2.669809411662882326e-01 4
4 6.123491337259747525e+01 1.142219492560953148e-01 4
6 7.041032114697386532e+02 6.645401040861127484e-01 1
11 8.382719412784505266e+02 5.335763378752401698e-01 2
8 8.223744457986416592e+02 2.213742483682530071e-01 3
4 8.416571127328799093e+02 1.130074823316311594e-01 3
12 8.419922768137930689e+02 1.234199560519867456e-01 2
5 3.773954442558297160e+02 4.718201484107374943e-01 1
9 8.248354001891777898e+02 5.330017744183784822e-01 1
10 8.334920335098868236e+02 6.943226574941631091e-01 4
9 8.210519846013127108e+02 2.622011860472406308e-01 3
10 8.298621381982569574e+02 6.756535063059414536e-01 3
11 8.385823673912427694e+02 8.320790592441928979e-02 3
9 8.175903832401298814e+02 8.948920205767911806e-01 2
9 8.218219077471969740e+02 3.847801114476920858e-01 2
11 8.385098763219705233e+02 4.586299023247353106e-03 1
8 8.265248316883597681e+02 4.352297234805900250e-01 4
10 8.375725305092050803e+02 7.335202706215979696e-01 2
7 8.044773778546897347e+02 5.378994997122754640e-01 3
2 -2.721633015839416203e+03 7.379939481105207699e-01 0
8 8.216067213305857422e+02 1.572342971515539034e-02 3
10 8.287185059159157845e+02 7.719575161174001554e-01 0
5 4.976167846557165717e+02 4.720062547593657509e-01 1
9 8.194175659554221056e+02 3.834355418958087514e-01 3
8 8.127465476131650348e+02 7.879961399442314551e-01 3
1 -5.605894636536821054e+03 7.570098576418488046e-02 0
5 5.078801712581332595e+02 5.532728865571960863e-01 4
3 -6.622252967357457010e+01 9.054758241207156999e-01 4
2 -6.236557389223244172e+02 3.116720656377589549e-01 0
6 7.414196287011684490e+02 3.815306930264306118e-01 4
6 7.300705497547268124e+02 4.995826091940998026e-01 0
4 6.180659787267696856e+02 5.923074881229465349e-01 3
0 -6.909932339830656929e+03 3.055081064784602174e-01 0
11 8.383641052097646025e+02 5.837175559821299320e-01 2
1 -1.295689064472167775e+04 5.741961097019010474e-01 1
3 -1.245711084956725472e+03 1.880599433092558226e-01 0
9 8.224511571985142382e+02 9.592765796907074538e-01 1
9 8.339344008419841430e+02 5.512633030147462421e-01 0
9 8.197209640846598404e+02 3.777978443382440932e-01 0
9 8.244336859499987895e+02 9.352533829418475664e-01 0
4 -6.022003333639684115e+02 5.146519103716866717e-01 3
9 8.246649321545096427e+02 4.514606418469449545e-01 2
4 6.809264273353030603e+02 2.384392788036243660e-01 3
8 8.182322355851099474e+02 8.048235146319548949e-01 2
