# level_assignment log_likelihood tiebreaker ID
0 -4.762375907793387887e+04 3.798980599434820249e-02 2
1 -8.876507922195012725e+03 6.281190784606201227e-02 0
2 -1.032848730296559097e+03 6.869245954391568487e-01 3
2 -4.757598798980793617e+03 5.908557793313512496e-01 2
0 -7.424159482800346450e+04 5.144572625053631665e-01 0
1 -8.958061431704389179e+03 2.683080741654038093e-01 4
3 -1.733248292204616519e+03 7.639031484387954762e-01 0
5 3.845058547239669906e+02 8.986928468399231207e-01 4
2 -4.687007641130112461e+03 2.459520362293117768e-01 4
1 -1.043368494557745862e+03 4.031920034060661462e-01 1
5 6.598756934620375887e+02 4.624153740688639047e-01 4
3 -1.863094144760616928e+03 1.974290819305024591e-01 1
7 7.405548111329503627e+02 1.335275603910908160e-01 3
8 8.292279573632279153e+02 8.586308642414142156e-02 2
4 5.508350422735968550e+02 2.209789690864276679e-01 0
5 4.636489392023040637e+02 5.560057169129223320e-01 0
5 6.403436888863435570e+02 4.164984654850339973e-02 1
7 7.432217981975790053e+02 1.342508560390136552e-01 4
9 8.234381900805640271e+02 7.881517805832713996e-01 4
8 8.074781621453400930e+02 3.647483616159448161e-01 0
7 6.829010217342506621e+02 3.671961360131856811e-01 0
6 7.452687907712761444e+02 5.345266824015004747e-01 3
11 8.320962084499940374e+02 1.379602832706421367e-01 0
3 -2.301023842142712397e+02 1.521056429374292307e-01 1
10 8.345484882168229888e+02 6.446151915180989844e-01 2
9 8.200763633331852134e+02 6.504857179444778481e-01 4
2 -5.108037627238688401e+03 6.750586631762490741e-01 1
12 8.414046747990997801e+02 1.093613158039359878e-01 2
13 8.396000643841387046e+02 2.823902826317539749e-01 2
11 8.317947120611718219e+02 7.781694780282469859e-01 0
10 8.269235993743585595e+02 7.336305069151716207e-01 4
11 8.314967310761303452e+02 9.760932019157175787e-02 4
13 8.390242014913178537e+02 9.966702293768654464e-01 2
10 8.336367606076217953e+02 6.628242588531882973e-01 3
12 8.374962416699597725e+02 3.461803891187983373e-01 3
12 8.356128708560672749e+02 1.508719357760460525e-02 0
6 6.592892577925015303e+02 2.835290889098407985e-01 1
7 7.996530985027241059e+02 3.462632246715475759e-01 4
11 8.339994402447240418e+02 4.114630789385962384e-01 0
6 6.823756139530478322e+02 2.574612127239347403e-01 1
12 8.351984171665451413e+02 3.915835752599186592e-01 2
1 -4.461445593530906990e+03 9.178171368169985023e-01 4
12 8.371284449145498456e+02 7.229649211391669938e-01 1
1 -3.997516580822982178e+03 8.663065300054828555e-01 4
13 8.387991955922030911e+02 7.435784276456975928e-01 0
2 -4.513668457918935928e+03 6.154547592197245898e-01 4
11 8.361338118718997521e+02 8.736205037735977896e-02 0
7 6.877922572469433362e+02 7.738088602147567829e-02 1
11 8.369609900254051809e+02 2.468493559585410724e-01 1
12 8.358992809683669520e+02 6.930367250842616178e-01 2
12 8.393683938519370713e+02 4.392800276969601181e-01 2
2 -3.172072690590470302e+03 9.711380132482982930e-01 0
8 8.161887956045890178e+02 9.887643325642567760e-01 4
7 8.174992889983474242e+02 9.700992667821912718e-01 0
9 8.190983169756111693e+02 3.388863529162140509e-01 0
9 8.199583273878739647e+02 7.849829622257539219e-01 0
8 8.370346048972908193e+02 7.086768747015765868e-01 3
9 8.193070139322412615e+02 3.487016629932396805e-01 3
11 8.379302152738052882e+02 4.580223762035089408e-01 3
0 -2.267469207658302912e+04 4.171287051079292652e-01 0
12 8.379793148207219247e+02 6.577451127962496980e-01 4
12 8.348257255771907239e+02 2.833525866975389884e-01 4
7 6.900280513920438352e+02 9.670555697067234613e-02 1
6 7.537663211315389162e+02 6.960910768480996769e-01 1
12 8.377699273573233540e+02 1.691042896073042812e-01 3
12 8.391508455516034246e+02 9.577943259163532730e-01 1
14 8.415745707212765865e+02 3.653443849006934308e-01 3
16 8.419743880535904736e+02 4.281087849161934189e-01 2
14 8.408910929863761794e+02 2.866324176997871453e-01 3
17 8.424873521047913982e+02 3.014063843655263586e-01 1
14 8.412709274338567411e+02 7.966465710328374250e-01 3
15 8.417950347588247269e+02 2.395674182838269384e-01 3
4 6.263099562806380050e+01 3.611335521327566078e-01 4
0 -2.659969133213838722e+04 6.951915493167550864e-01 4
17 8.422942037037316823e+02 3.571426309261731546e-01 1
2 -4.892166414731515033e+03 9.970113951717959333e-01 4
0 -4.013607035753090167e+04 9.678646957847703014e-01 0
17 8.420818558806874989e+02 1.047001349796475300e-01 2
2 -4.735782831125148732e+03 3.234756807443304183e-01 0
16 8.420616041305358976e+02 9.576890911389641659e-01 2
19 8.425831408367139375e+02 8.098634314826038683e-01 4
9 8.270110767971266341e+02 8.110676288368831033e-01 0
17 8.421142174325979113e+02 3.211536396317092312e-01 4
16 8.419314884535351666e+02 7.060370574275998123e-01 2
20 8.425511863327976698e+02 7.350786649693663577e-02 4
15 8.421188569844614449e+02 7.944362146599247554e-01 2
19 8.425459187163623938e+02 2.573763826737973659e-01 4
17 8.420937423957082046e+02 2.728867506861376024e-01 2
17 8.422677348615146684e+02 6.124162167861104678e-01 3
19 8.425289603674700629e+02 1.909120326703895310e-01 1
20 8.425485051450082210e+02 5.269566665871856515e-01 4
8 7.768203155605975780e+02 5.055497543412224015e-01 0
4 -2.230566279851008744e+02 8.609066877226623227e-02 0
17 8.423202463368669441e+02 5.599831739999618918e-01 3
11 8.414215841479801838e+02 1.851145700438410202e-01 3
17 8.421808278586540837e+02 1.219946217634397811e-01 2
18 8.424579457483548595e+02 8.946580799114933757e-01 4
8 7.893175673306006956e+02 1.068686350625487613e-02 3
18 8.424470220126546565e+02 5.261876872857298437e-01 4
18 8.424870664798579583e+02 5.693298656573215766e-01 4
16 8.422728858577788742e+02 7.699059856045780137e-01 2
15 8.417560235080709390e+02 8.077729031611015076e-01 2
20 8.425703561842442468e+02 3.579975128783008387e-01 1
13 8.415544553775694112e+02 3.731115875871298115e-01 3
10 8.360210442424261146e+02 5.129005399464325876e-01 3
4 1.453888364977858600e+02 1.107297999164788271e-01 2
10 8.270414119684994603e+02 9.374894013936316828e-01 0
6 6.150064148134388233e+02 2.195691342263226264e-01 3
8 8.214594413416728003e+02 9.774856572887375972e-01 0
10 8.272661733764655310e+02 9.030048116402618064e-01 2
24 8.426151674523288193e+02 5.534672686570610844e-01 1
24 8.426106438055581975e+02 4.901993516305203635e-01 1
13 8.416959301656561365e+02 9.516754215630077729e-01 4
10 8.371840529036996941e+02 8.864110277403169924e-01 3
9 8.244508825699027739e+02 7.724938548356679036e-01 0
13 8.407768697986239204e+02 5.175324211042731104e-01 3
19 8.425524818037870318e+02 6.994004308387113955e-01 1
4 5.558077042862126973e+02 6.043596587392532360e-01 0
0 -2.776827459843014367e+04 2.212602377723013602e-01 0
17 8.425444150684573970e+02 7.599134518460621823e-01 1
13 8.392877017484811404e+02 8.087886911767722120e-01 3
23 8.425995647180204742e+02 8.271092145440700483e-01 4
22 8.425889455679877074e+02 7.755068302057345486e-02 4
21 8.425982256869531284e+02 8.671671805629528329e-01 1
23 8.425999925872989706e+02 9.427509920438474911e-01 4
15 8.420368938480919496e+02 7.216803374102624957e-01 3
25 8.426183930386663405e+02 8.490996075753074468e-01 4
7 8.114553482116613168e+02 1.638125574785469496e-01 2
22 8.426044825376675362e+02 7.966317814388497176e-01 4
12 8.397358950895270482e+02 5.088376971782473390e-01 0
21 8.425857011061102639e+02 4.003484345037238157e-01 4
10 8.269326823619155675e+02 6.424542818080535289e-01 2
8 7.766984838676463596e+02 6.532254094717986348e-01 2
26 8.426242735043445009e+02 8.254053941687384821e-01 1
25 8.426137199501081341e+02 9.079900034384074115e-01 1
19 8.425119150171994988e+02 2.445593462047211120e-01 3
4 5.732871799810865241e+02 9.185529485983535691e-01 2
22 8.425928424811881996e+02 4.910096975102006822e-01 3
7 7.785468978101807807e+02 9.882925666948656485e-01 2
9 8.306712954125016495e+02 3.556856869426709977e-01 2
28 8.426269145806238612e+02 3.139403894280798912e-01 1
28 8.426261008198175659e+02 6.075940310387031307e-01 1
25 8.426154774158328564e+02 4.046580385401901681e-01 3
29 8.426292331302603316e+02 1.528120259350914945e-01 1
19 8.425367419271393601e+02 8.102454820286335568e-01 0
12 8.354973846382742977e+02 5.083842661703386057e-01 2
29 8.426301492428013944e+02 1.282936067291373140e-02 3
4 9.114280744811082968e+01 2.993182887625808197e-01 2
11 8.373191972708375488e+02 7.445591415324291917e-01 0
1 -5.573060010759040779e+03 9.435146726929016792e-01 2
