# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31174 31174 11552 31174
-9.933935019181840964e-01 -6.941780454574500254e+03 8.049011287555728478e-01 25559 31141 14989 41545
-2.011465173459878741e+00 -1.375937652326527996e+03 7.626707925024607260e-01 22073 31197 17040 45003
-2.984498475501618842e+00 -9.588969900387240841e+01 9.972555857649589850e-01 19860 31217 19796 46966
-3.856498858893361081e+00 4.171549207628107752e+02 7.127486194547011378e-01 18449 31102 15664 49571
-4.998741611981508015e+00 6.896505694505673318e+02 5.934421491101140589e-01 16766 31108 13747 45835
-6.188452807725679072e+00 7.867574767911130493e+02 7.941541358375348025e-01 15325 31218 19780 44053
-7.001348773798902414e+00 8.125858982384602314e+02 6.244974029541268123e-01 14568 31083 16278 49361
-8.103762724374403703e+00 8.279780427118729449e+02 4.806084963824363010e-01 14017 31176 21418 46273
-8.887302157245436263e+00 8.338816068875100882e+02 1.033112223315170580e-01 13314 31098 11373 51270
-1.035563113908278865e+01 8.393261486873507238e+02 9.778610981895620169e-01 12689 31311 14302 42226
-1.143228430377286386e+01 8.408712679861271226e+02 3.228632214167719283e-01 11986 31358 16175 44543
-1.244440635151878638e+01 8.416261295572777499e+02 5.497024377017609709e-01 11389 31493 17163 46895
-1.344923507916456273e+01 8.419473265354178011e+02 6.327498467634782298e-01 11003 31636 12534 47748
-1.476210047454531527e+01 8.421664836499066951e+02 6.003697228297026900e-01 10627 31807 29436 43912
-1.519284630428464489e+01 8.422098107712120054e+02 4.858825665395392623e-01 10493 31784 36671 59332
-1.569470248132188672e+01 8.422516767523602539e+02 8.301647032774098767e-01 10401 31816 24760 66910
-1.668908610337332021e+01 8.423114173163153282e+02 7.457041937774895324e-01 9803 31897 22593 55694
-1.759633487237501726e+01 8.423493111021894038e+02 9.602600749901384347e-01 9791 32006 31989 54416
-1.814836529374379381e+01 8.423643709398479587e+02 1.819793540899102557e-01 9611 32013 45420 63369
-1.850479259018926825e+01 8.423723053002808001e+02 8.014338012024119218e-01 9617 31961 38102 76733
-1.921516634627004194e+01 8.423863504079547511e+02 5.820516978400467334e-01 9307 31848 29868 69305
-2.006330336090403677e+01 8.423985432750162090e+02 6.375430893595570581e-01 8765 31578 28399 60808
-2.083521988921602031e+01 8.424058198325526519e+02 5.531934755570662166e-01 8474 31488 25156 59233
-2.169840500035624586e+01 8.424114216245541229e+02 2.344942030199747285e-01 8297 31366 34808 55898
-2.219423929114157090e+01 8.424137253054136636e+02 9.397605464019123112e-01 8221 31349 20348 65515
-2.335507829821456127e+01 8.424171531428622757e+02 2.764853808621378084e-01 7577 31099 22108 50813
-2.419638123497961857e+01 8.424186113259244166e+02 4.103796607712853484e-01 7391 30977 21497 52444
-2.509406072697525758e+01 8.424196984912886137e+02 7.376555213134481370e-01 7079 31088 33605 51946
-2.555465144653172871e+01 8.424200485581002340e+02 9.239719447929600760e-01 6962 31092 0 0
