# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31327 31327 11881 31327
-9.722941747766212783e-01 -6.622324742697077454e+03 9.129458990540839647e-02 26224 31343 13294 42064
-2.112771350501086332e+00 -5.891282481128594100e+02 9.997364483811094216e-01 23183 31307 16594 43624
-3.081562336524159562e+00 2.442843767762284415e+02 9.701542601767483287e-01 21674 31271 14339 46675
-4.249335822850578204e+00 6.612462276008488971e+02 1.589921952548490058e-01 20071 31267 14210 44562
-5.382142241975163444e+00 7.792566726013840253e+02 6.734534056990835182e-01 18625 31106 12770 44238
-6.606487492112470328e+00 8.228840830146066310e+02 8.630179059831770694e-01 17045 31079 17563 42730
-7.502852831269711587e+00 8.344529869881201876e+02 1.549534449391265500e-01 15797 31120 20259 47489
-8.363382413456653452e+00 8.389530248320381816e+02 5.235186838495559103e-01 14553 31105 18313 50025
-9.368001425289826045e+00 8.412154898914493515e+02 2.365706605961075126e-01 13250 31279 9175 48488
-1.097664248269471621e+01 8.423824883850468268e+02 8.754560177234137486e-01 11698 31070 14255 39744
-1.200010327256978648e+01 8.426429853501765592e+02 3.519799569533736960e-01 10739 30898 18339 44116
-1.288561927981698396e+01 8.427566008064934522e+02 2.868418348393752537e-01 10512 30993 16359 47958
-1.395632445583550485e+01 8.428294600045562674e+02 7.774360913508162607e-01 9870 30864 15489 46365
-1.504629800202898693e+01 8.428656391598627806e+02 9.420272839083527749e-01 9717 31070 28995 45931
-1.553355644713165162e+01 8.428754277069590444e+02 2.689970014761909334e-01 9377 31053 38738 58764
-1.597308930033395491e+01 8.428828436945235580e+02 4.155161674513685455e-02 9271 30928 30816 67905
-1.677162561493256021e+01 8.428926311500331394e+02 9.252947060920568845e-02 9001 31054 30588 60808
-1.747210822269453701e+01 8.428979639188129340e+02 5.080113654242532917e-01 8803 31069 26108 60230
-1.831561341710752444e+01 8.429014822829913101e+02 5.331564337832862543e-01 8486 31275 30959 56018
-1.892664860105198343e+01 8.429030877455228392e+02 5.273319124246987621e-02 8207 31239 22298 60474
-1.992447847318272380e+01 8.429048312531169813e+02 9.328982927747135889e-01 8003 31140 13294 52582
-2.127405328743642343e+01 8.429060288054288321e+02 5.041886625584770520e-01 7437 30973 20206 44017
-2.206604990461425686e+01 8.429063303816918733e+02 6.879587979686463406e-01 7214 30972 36993 50541
-2.240782959772539229e+01 8.429064126005362141e+02 9.814710090100018380e-01 7112 31003 51815 67327
-2.269340510207799610e+01 8.429064623625010881e+02 1.403117075879602993e-01 7044 31033 69231 82196
-2.288614791095339385e+01 8.429064938497461981e+02 9.819182493528164635e-01 7029 31023 68204 99616
-2.327930459839949862e+01 8.429065535353063296e+02 3.122948716849942574e-01 6782 31094 51817 98638
-2.393239578695316183e+01 8.429066267794884197e+02 5.209173628381833510e-01 6905 31091 63794 82278
-2.420648103505965310e+01 8.429066478163219927e+02 1.266562694636123310e-01 6713 31081 0 0
