# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32269 32269 12143 32269
-9.793544363360344729e-01 -2.716764533189706526e+03 3.550428865075758722e-01 28855 32307 15320 43240
-2.014353206885795444e+00 -2.988754565356550188e+02 3.248805820295936897e-01 26648 32301 19968 46578
-2.870410377433081806e+00 -1.359308698888456490e+01 5.827362876058379548e-01 25246 32269 18916 50925
-3.861318052482969776e+00 3.369926574067080338e+01 8.231173425421199896e-01 23254 32251 24167 49959
-4.601891649440773335e+00 4.182210581946598182e+01 6.878129798800308725e-01 21396 32263 21502 54874
-5.542122913479340163e+00 1.065849297365232076e+02 7.224607263300669713e-01 19339 32264 24451 52543
-6.319044579440789455e+00 1.422514022377883407e+02 5.973426473245141421e-01 18182 32412 25084 55492
-7.123139711138995800e+00 1.612844818026350708e+02 1.498795879926732300e-01 17100 32333 19782 56085
-8.162943692647031568e+00 1.723116473313862969e+02 2.827154541890486428e-01 15745 32266 16841 50964
-9.263651358047299667e+00 1.763684213036493134e+02 9.820852164150846164e-01 14412 32260 13230 48077
-1.053339402873652197e+01 1.785391499783614222e+02 1.777571437233299856e-01 13441 32089 7667 44396
-1.221716244289595110e+01 1.798831122163290388e+02 4.186510721134659718e-01 12571 31994 20965 39178
-1.286604032306301981e+01 1.800963832862845493e+02 5.346716630236385548e-01 12007 32058 19818 51686
-1.382697758908313723e+01 1.803096554245713037e+02 7.812709443289134192e-02 11510 32048 27308 51414
-1.447767754268594231e+01 1.803916849101666742e+02 9.990657710518493495e-01 11250 32213 27338 58333
-1.524668600097464122e+01 1.804557616255529240e+02 7.216742224971124386e-01 11259 32293 33213 58554
-1.583186374096339222e+01 1.804938922370835428e+02 8.424961296620857298e-02 11079 32404 48187 65204
-1.615779684240717984e+01 1.805101383456682242e+02 7.897991978942394686e-01 10756 32354 54987 79815
-1.654832944066136946e+01 1.805275313265206307e+02 1.149871800221411167e-01 10586 32403 44896 86542
-1.721491652083106416e+01 1.805494269461877650e+02 7.820342390684240641e-01 10419 32404 45275 76723
-1.775738147569031611e+01 1.805627754570580805e+02 7.144253229300874253e-01 10215 32376 59629 77008
-1.803406879215025072e+01 1.805674801024407827e+02 3.958228544678419891e-01 10142 32431 72242 91421
-1.828755129625955078e+01 1.805714470773858693e+02 4.304200097042891748e-01 10003 32370 85298 103956
-1.850178616601328585e+01 1.805745710591675959e+02 9.000702227463496241e-01 10031 32354 97245 117025
-1.870171054170999980e+01 1.805775212453326617e+02 8.351718289130353190e-01 9936 32421 122741 129025
-1.876641916126639842e+01 1.805781344400503485e+02 1.668831915809637911e-01 10087 32424 148918 154520
-1.881582279515795619e+01 1.805786374905726461e+02 9.671175256153285993e-01 9822 32360 166433 180645
-1.890815136686921960e+01 1.805794959206148178e+02 7.056881380269440784e-01 9966 32453 184139 198224
-1.899138663770810354e+01 1.805803688579021866e+02 8.823702162352757838e-01 9847 32453 0 0
