# level_assignment log_likelihood tiebreaker ID
0 -2.340530518616295694e+02 9.313831178604086158e-01 3
0 -4.496621117052279715e+02 4.455678884244795301e-01 1
1 -6.617926540634463208e+02 6.574944438548849801e-01 3
2 -8.763638921417938832e+01 4.818917833843602144e-02 1
0 -1.477102124426959563e+03 5.045165305575294301e-01 2
4 1.407161131074752802e+02 6.547189075825804450e-01 3
2 1.005841194555253537e+02 3.299519895213893772e-01 1
1 -1.101140959601782697e+03 2.669743341460370512e-01 3
5 1.647619193657702397e+02 1.780672104983620774e-01 2
0 -4.466135779018319226e+03 1.788421800414677354e-01 1
5 1.722594983367353620e+02 6.787899607409789704e-01 4
7 1.755058170336862986e+02 7.770907000955347144e-01 0
4 1.604214835236816157e+02 5.671294183168801295e-01 1
5 1.685821720293241697e+02 8.570436026295635834e-02 0
7 1.796253290356059438e+02 7.340003630975822091e-01 2
9 1.801519462787133250e+02 2.798371408465915033e-01 2
8 1.796815188037238329e+02 9.176609497356178480e-01 3
8 1.788679737575674835e+02 7.219059308673276831e-01 4
9 1.794483770714120396e+02 4.192703099651232113e-01 0
2 -2.299953157460305420e+01 1.879402203868671961e-01 0
2 6.370744171487906016e+01 9.552265020321897282e-01 2
2 8.845649354395504815e+01 5.748553344687398203e-01 2
5 1.654673562032795928e+02 6.567956055668704440e-01 4
5 1.746167927640459254e+02 8.452336716350754564e-01 4
10 1.802505000345038013e+02 9.771112177610973282e-01 2
1 -1.014389778505855872e+02 7.435477837382352684e-01 1
6 1.741275129230184007e+02 2.073644989081413759e-01 3
7 1.766297283696136446e+02 2.102991430378891025e-01 0
10 1.801740052879183906e+02 5.703949071063342258e-01 4
10 1.804211379817411967e+02 4.387761708512975534e-01 4
3 8.899055784147208215e+01 8.213118266234783471e-01 0
2 -6.002251773634997534e+01 7.452179695856855357e-01 0
9 1.803591719945720513e+02 7.862542442524984576e-01 1
6 1.728448945409200519e+02 5.568970951821405890e-03 0
10 1.800842346634202613e+02 3.492969326761858895e-01 4
6 1.715276539915413423e+02 4.509118079237918186e-01 0
6 1.735777776246223141e+02 1.551186741095497146e-01 1
7 1.754304226350171518e+02 8.933781613308684477e-01 1
6 1.774196913631191705e+02 9.880332150433567273e-01 2
3 9.819511521834195378e+01 8.952406564063378758e-01 4
8 1.789725895694360247e+02 1.306044166282656072e-01 3
11 1.804428200582815123e+02 9.483999498468611566e-01 0
7 1.787496119887502743e+02 8.228403185523227581e-01 3
5 1.774269297236284046e+02 5.568312233581084181e-01 2
1 1.250674344083257239e+01 6.254274900316910690e-01 3
3 1.261834140221241682e+02 2.411574776956486588e-01 2
5 1.642098998114225878e+02 2.559230632559298391e-01 2
11 1.803272744593440962e+02 3.905394324946861451e-01 3
9 1.802105766739028923e+02 9.180309184927182287e-01 3
5 1.597283848366936923e+02 1.701160966311435485e-01 1
1 5.010678259903319542e+01 6.264152639480466966e-01 1
9 1.797605598577205228e+02 2.152640384712660726e-01 3
4 1.718224892631330363e+02 9.880532997946345208e-02 4
2 -2.526530072340794675e+01 4.274381897720848644e-01 1
5 1.717846314600107576e+02 7.914316774021689094e-01 1
4 1.371123039569321236e+02 4.106892364671962392e-01 0
7 1.784194192811507946e+02 6.721667345085519107e-01 4
5 1.560170947228252771e+02 2.857045599477674169e-02 0
13 1.805047689112245166e+02 6.353390889984813494e-01 4
10 1.804103042436910300e+02 6.957339691117131464e-01 2
2 -4.732336781010316429e+01 3.541147709306569635e-01 0
6 1.748305752292579882e+02 1.131868567280274185e-01 1
6 1.716601864406075038e+02 6.643390404367006674e-01 1
15 1.805248991402611125e+02 3.894752780264965630e-01 2
16 1.805271194192433200e+02 6.928290734223438996e-01 4
7 1.783142248492756607e+02 8.323187640170459645e-02 1
4 1.585233248785310138e+02 6.536798789629877371e-01 1
6 1.712552922878375625e+02 4.297788649036099473e-01 0
1 -6.495855957503440550e+02 2.414016454674958734e-01 1
7 1.757177373294164227e+02 3.420370308204960241e-01 1
12 1.804542220469595577e+02 9.423006724001794510e-01 1
6 1.744718919447449252e+02 9.985430885683257429e-01 0
17 1.805323773868396131e+02 6.573304379714057788e-01 2
10 1.802181210489059708e+02 4.399810474722649911e-02 0
9 1.802150362038142362e+02 3.793989706102581239e-01 0
17 1.805331601646743707e+02 4.057910659258494590e-01 2
10 1.802536718460688121e+02 9.152642509461971221e-01 3
8 1.801776215004860262e+02 2.406660736123013011e-01 3
13 1.804983756033637974e+02 4.826188764236363227e-01 0
10 1.803659912439301820e+02 7.828274095659999432e-01 2
2 -5.648558035527875631e+01 5.308285035083457615e-01 3
19 1.805368691963847141e+02 9.854881024995668648e-01 4
