# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 31819 31819 11613 31819
-1.007218268542430906e+00 -6.535656916128499461e+02 5.219432623727976450e-02 27789 31709 14239 42120
-2.085615255754464936e+00 1.136474496731414519e+01 4.483790549339249365e-01 24293 31820 14620 44943
-3.200053089939945750e+00 1.259862025970061126e+02 2.559738947606751136e-01 22027 31905 15820 45469
-4.252087608778174044e+00 1.625247758344524982e+02 1.928315799018784915e-01 19671 32043 19938 46736
-5.112736970807853609e+00 1.731646260441270044e+02 8.813735165419269713e-01 17732 31884 18369 50557
-6.124437560182330209e+00 1.777814484422095234e+02 7.343216874069995181e-02 16190 31973 19430 49236
-7.058343369091765851e+00 1.792468032909069393e+02 4.111618121035386375e-01 14986 31860 13400 50103
-8.355122636214643350e+00 1.800204917975976855e+02 9.675964626103716881e-01 14003 31937 18938 44481
-9.218077105346358380e+00 1.802525627427298218e+02 3.208349262790677336e-01 13465 31760 17108 49388
-1.027451424874033670e+01 1.804035074667982599e+02 6.704552108754807671e-01 12628 31657 16036 47616
-1.135711254460660236e+01 1.804868078532680329e+02 6.255341709655721782e-01 11879 31631 12407 46454
-1.265354713091063132e+01 1.805330311731961501e+02 5.686575150052879390e-01 11304 31422 12975 43022
-1.383729773383077877e+01 1.805527244082763048e+02 1.446808963990333652e-01 10700 31435 16032 43576
-1.483722297360910325e+01 1.805602044341968337e+02 9.585088475403762409e-01 10279 31363 15409 46313
-1.593096177292935245e+01 1.805644430878559206e+02 3.801508003834710436e-01 9798 31588 16231 45999
-1.696992358158076186e+01 1.805663590368753262e+02 8.007044235004496802e-01 9322 31590 22551 46532
-1.770973229103437774e+01 1.805671174963114254e+02 2.128316315787570911e-01 9225 31684 22530 52689
-1.856723016587309516e+01 1.805676620605329674e+02 9.350820553566309146e-01 9004 31705 20428 52877
-1.952099060707454470e+01 1.805680320884007415e+02 1.867044079566581860e-01 8632 31812 20185 50979
-2.045161330495083973e+01 1.805682590572484116e+02 9.205131437935235028e-02 8417 31899 26612 50891
-2.111743356277584027e+01 1.805683576854495698e+02 2.554069232125371625e-01 8189 31979 20329 57076
-2.214804524770931238e+01 1.805684467572041285e+02 8.659840661578123155e-01 7987 32085 11802 51547
-2.358780194884142389e+01 1.805685132753968105e+02 3.273888463626652978e-01 7661 32349 19726 43638
-2.439445120716979787e+01 1.805685283762563813e+02 4.391601650512881871e-01 7548 32378 26902 51465
-2.506044785878589920e+01 1.805685364681086185e+02 1.002670963426028905e-01 7280 32548 34479 58804
-2.561350240104907883e+01 1.805685413129796473e+02 6.800540722435864938e-01 7017 32636 36589 66481
-2.622583991995467301e+01 1.805685450023399881e+02 5.574344785117180123e-01 7059 32513 41191 68457
-2.675113191063652707e+01 1.805685471169317680e+02 5.019034790453602568e-01 6842 32592 42323 73155
-2.731358318235201565e+01 1.805685488094887319e+02 5.445309537282518875e-01 6677 32682 0 0
