# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 182851 182851 55648 182851
-1.159304733639295870e+00 -1.246660067333055167e+03 9.849545344505088451e-01 177905 182570 92060 228409
-2.078670170688959651e+00 -7.890857764223615050e+02 3.107531470808639895e-01 174074 182349 105280 261638
-2.998298973963451797e+00 -6.004574825319590445e+02 7.926432987982234835e-02 171046 182482 99545 275983
-4.015982193077613616e+00 -4.560213620836774453e+02 7.885484487229519335e-01 168444 182991 105300 270791
-4.966173988980423282e+00 -3.549968890574713782e+02 6.174253564104850156e-01 165939 183247 91593 275372
-6.056080622369120370e+00 -2.592599986374815444e+02 5.907893342493775179e-01 163758 183210 97484 264436
-7.054214535432723032e+00 -1.879913543443359742e+02 4.023639481798541029e-01 161630 183365 100030 269609
-8.046605791436601152e+00 -1.286370685608899009e+02 9.393933147293949126e-01 159360 183248 99601 271723
-9.049839720233602947e+00 -7.780644396890804160e+01 9.399968708263735095e-01 157697 183208 110368 271270
-9.959186099172866236e+00 -3.776909943265197001e+01 1.527075672576491405e-01 155768 183199 109560 280952
-1.090664233358425861e+01 -2.198253624031508480e+00 5.387748977918250803e-01 154513 183224 110071 280376
-1.184804655631467618e+01 2.938010831978186488e+01 2.150942917935734222e-01 152808 182965 106353 281026
-1.282255783070857191e+01 5.685181612862710665e+01 4.069800097884415137e-03 151327 183061 121068 277974
-1.366972694468313243e+01 7.740828726656569359e+01 7.811560587662697008e-01 149614 182554 126906 290272
-1.451279676496831073e+01 9.554577849635302300e+01 7.605540580861221145e-02 148357 182443 107909 296148
-1.552144043373556315e+01 1.146668095327975152e+02 8.389826283986661082e-01 147192 182672 85845 278806
-1.667976485410523324e+01 1.325019363743777490e+02 8.855286597301407214e-01 145975 182719 94929 258617
-1.768174181486477536e+01 1.444330595381557032e+02 7.650826984102512274e-01 144683 183074 99326 267492
-1.867340506855312654e+01 1.537207658577884217e+02 5.092444528443547114e-01 143450 183170 97880 271968
-1.969303914759524687e+01 1.616103782450416020e+02 4.879863832739701479e-01 142076 183276 118165 269902
-2.053590872199261597e+01 1.665678463885550116e+02 7.908735235392821972e-01 140997 182952 117201 287186
-2.144197235912100652e+01 1.706656400608587205e+02 2.192773479778949985e-01 139089 182726 114542 287551
-2.237003513915174935e+01 1.735269648941022922e+02 8.253172733152556173e-01 136955 182741 82040 284908
-2.358764227552259030e+01 1.757338670870308022e+02 3.108372896295605869e-01 134978 182898 100411 256661
-2.453269251385705374e+01 1.766856873964457577e+02 9.386844224029962103e-01 133798 183033 63156 272338
-2.593491669331881155e+01 1.776922343108809628e+02 9.899129298820952272e-01 132247 183286 67303 240938
-2.717413700890738681e+01 1.782947087688371539e+02 6.436002494123603812e-01 131154 183110 90104 244480
-2.817251549693875745e+01 1.786673654404501690e+02 1.999139423208893540e-01 130934 183623 109223 264159
-2.906753436585524852e+01 1.789277760801725776e+02 4.349425687568703180e-01 130195 184234 97108 284191
-3.013371495458571658e+01 1.791850695039608468e+02 1.590644935931576631e-01 131023 185397 124049 279582
-3.096384907097650085e+01 1.793645865711539500e+02 4.065434654369355361e-01 130633 185491 140007 302353
-3.175340536831357952e+01 1.795184984692688772e+02 1.532542782256069713e-01 129717 185365 127776 310631
-3.265154293900272364e+01 1.796618754231947150e+02 3.625874789366720918e-01 129104 184565 154024 301970
-3.335154173756627216e+01 1.797582137337849986e+02 4.309061718654377260e-01 128104 184227 164914 323667
-3.405088567645435660e+01 1.798446639741257513e+02 2.058881714535912011e-01 127524 183441 137706 334856
-3.494860471884458519e+01 1.799445901673406354e+02 8.230989186891233267e-01 126296 182944 212569 314642
-3.538325840426316660e+01 1.799855301820161628e+02 1.403732773971796410e-01 125982 182895 172151 376619
-3.618135448020102274e+01 1.800575322731156120e+02 6.822573044917330520e-01 125702 182509 181615 350637
-3.686347809834429512e+01 1.801125058005578410e+02 3.517218322677075903e-01 125729 182585 181545 358278
-3.756575591745322384e+01 1.801657113713756644e+02 3.099033318744231491e-01 124440 182050 153932 356738
-3.841832428952574219e+01 1.802216648307692708e+02 6.717767598058075329e-01 123608 181792 180586 329638
-3.904928642783876569e+01 1.802574987344849546e+02 2.055087884911743767e-01 123831 181706 178683 355968
-3.976054821945373163e+01 1.802934068620330947e+02 6.302238202295361580e-01 123522 181845 155956 354200
-4.059440928985993935e+01 1.803305191795095084e+02 2.007729162846906001e-01 123442 182199 118519 329133
-4.161390470621748250e+01 1.803703371320129918e+02 1.598243004722241789e-01 123525 182938 70984 296052
-4.299170743445363740e+01 1.804146864103635437e+02 4.190695356659244197e-01 122919 182708 88893 247365
-4.401245538719140882e+01 1.804429281316264451e+02 4.612755770656715715e-01 122094 182402 110000 264963
-4.490378024011749858e+01 1.804627933040302992e+02 8.642514734830547551e-02 121215 181432 116272 285113
-4.581055724707278642e+01 1.804799302014241107e+02 9.351081111804062651e-01 120293 180919 0 0
