# level_assignment log_likelihood tiebreaker ID
0 -7.480268983729182537e+02 8.173102352296803819e-01 1
0 -1.218581989988271062e+03 6.323969194434876373e-01 3
2 -5.247178572117251178e+02 9.676914371200698861e-01 0
2 -1.996273266940782207e+02 5.257315816237750905e-01 2
1 -9.038869617790879829e+02 2.123446239966235716e-01 2
3 -4.260666138254882185e+02 9.797301040264184691e-01 3
2 -7.159741255121584800e+02 7.575308722244079584e-01 2
0 -7.575024391835414690e+02 5.676773735171780633e-03 3
2 -5.417947718934751720e+02 8.593792206298189740e-01 0
4 -3.786442816631713413e+02 5.138940645967309262e-01 0
5 -1.285698884683485801e+02 1.756742335211711747e-01 2
1 -7.890280305474325360e+02 3.500148936909263098e-01 1
2 -2.885877223850095561e+02 4.250448278220546050e-01 1
4 -3.426425582842138056e+02 6.660802103782661465e-01 0
0 -9.978641877008777783e+02 7.260811240832294455e-01 1
4 -3.801867667331674738e+02 9.308600900884689278e-01 2
2 -6.125464132334252554e+02 9.490152124948048051e-01 0
9 -7.702754220889987380e+01 6.514737387226150478e-01 3
0 -2.158620412770895200e+03 5.661928158051162674e-01 4
5 -2.899019582109824569e+02 9.870955534176568680e-01 1
11 -5.702595653455375668e-01 8.720074836997024903e-01 4
7 -1.360957057522767002e+02 4.561438645883546528e-01 3
1 -9.406451577735150522e+02 4.561276236623652836e-02 1
8 1.294693397129392309e+01 4.199398777654909098e-01 2
9 -3.751785457061168927e+01 7.653517598982307879e-01 0
2 -7.439190634021766755e+02 2.453793078027357577e-01 0
13 5.842904641275022470e+01 6.839448877725944342e-01 3
7 -1.616908266636132225e+02 8.456329500795830567e-01 4
11 4.537165470159613534e+01 4.148921537138843263e-01 1
12 6.706562609079659865e+01 2.959919005132847225e-01 4
10 -1.328541810159840963e+01 8.521161640651975233e-02 1
14 8.125383231531725414e+01 9.924473012163250729e-01 4
4 -4.329727995471892541e+02 2.547800066436631816e-01 4
7 -1.538871521387008556e+02 8.023767503581433758e-01 2
15 1.169825793972036934e+02 7.567793794567772014e-01 3
13 5.744211119772859320e+01 7.874425682730622489e-01 0
12 3.089041233853281199e+01 3.029316620839565544e-01 2
2 -6.907144783066762557e+02 6.590258444504747126e-02 4
12 4.097035905052760540e+01 2.218264097057156548e-01 4
12 6.465736695995516925e+01 8.495771025708337421e-01 4
9 -7.079888607092848929e+01 8.315150970179132628e-01 4
17 1.391515654021209798e+02 6.227044748113332862e-01 4
17 1.574021133055306620e+02 4.176020105603455712e-01 4
14 9.460459914581358021e+01 2.259562541809078118e-01 1
13 6.976888905391120943e+01 2.160318861441040406e-01 0
10 -3.482116271705666577e+01 8.526544479524761355e-01 0
2 -7.420753253049967952e+02 6.993531704961739592e-01 2
12 5.441579187383653959e+01 5.679924691208241283e-01 3
18 1.591470598153165383e+02 4.868077311687812880e-02 1
1 -6.161308762556840293e+02 8.592723394851375929e-01 4
15 1.007646072194867202e+02 9.230961150700925932e-01 0
17 1.542999430026716254e+02 2.055236968604416958e-01 0
8 -1.082409714217535424e+02 4.013301869644335107e-01 1
11 2.738304950398516269e+01 5.926871621017151259e-01 1
6 -2.106446114546438082e+02 6.695265826408700605e-01 4
16 1.201536638156938324e+02 5.890589433040606115e-01 4
4 -2.189680608314416475e+02 4.175084751072039579e-01 1
5 -2.504293278159119041e+02 6.361366668492206555e-01 1
18 1.552062593503596020e+02 5.957365075307790026e-01 4
14 9.893416050987914900e+01 8.297734306669468651e-01 4
14 8.344339950359962188e+01 4.304670257819331880e-02 3
19 1.634934241937296520e+02 1.646906579925440928e-01 3
21 1.734322515771231110e+02 1.752344381103596374e-02 2
21 1.668601716455482347e+02 1.587482695539406408e-02 0
13 5.997671860317227299e+01 2.726339314627194144e-01 0
18 1.633963311833667831e+02 5.067217236626504473e-01 1
15 1.259137534201524744e+02 9.640023326322748609e-01 0
18 1.508614777930313267e+02 8.156685251256167168e-01 2
13 7.308528493906875667e+01 2.772802403655981740e-01 2
19 1.566047588058651172e+02 9.848839575402896784e-01 1
21 1.709366997422635563e+02 2.908622958791562407e-01 3
16 1.247600337918029396e+02 5.949377729796623271e-01 4
19 1.649128952416583047e+02 6.164806367202944892e-02 4
20 1.692938710885623550e+02 1.097612665621727768e-02 1
15 1.011467001942855006e+02 6.729138986382476872e-02 0
25 1.770677864766801122e+02 5.425589438625437744e-01 3
18 1.479041926965860512e+02 6.275172897419140083e-01 1
21 1.668424463824003965e+02 9.252227478891272838e-02 0
26 1.779928550218099872e+02 3.687264093403290754e-01 3
25 1.778075799340458047e+02 5.094677539315481951e-01 2
25 1.767818495971785921e+02 3.777008211234862411e-01 1
10 5.241162742428514321e+00 7.542199133110694120e-01 0
27 1.790774201199110394e+02 4.824927041316726672e-01 2
23 1.750776412600820890e+02 3.196129404671310681e-02 3
