# level_assignment log_likelihood tiebreaker ID
0 -3.281912359652092618e+03 2.756609703275594292e-01 0
1 -1.560587017915464685e+03 4.404059448649526587e-01 2
0 -1.378472743355255261e+03 1.761108996152327411e-01 2
2 -9.610924587789490943e+02 1.438129730253986382e-01 3
4 -5.959522895988127402e+02 5.958139699118039090e-01 2
0 -1.044910385722022329e+04 7.055821785490076770e-02 4
4 -6.640734488094385597e+02 6.158406347678518911e-01 2
3 -8.342810399198649520e+02 6.586426363087279912e-01 0
2 -1.139361995240847136e+03 9.348372764305106219e-01 2
4 -5.052134650547154138e+02 1.879230944968044437e-01 4
5 -5.025116459970105893e+02 7.540371214082002005e-02 1
5 -5.115877644491803267e+02 6.387853603440649675e-01 1
1 -1.029587460848392311e+03 2.633878904573005997e-03 0
8 -2.698064172629779023e+02 5.250186603954687392e-01 3
6 -4.999633501274340688e+02 8.522149092705049167e-01 1
9 -3.230696388362679272e+02 7.636257372296495483e-01 0
6 -4.842011332252953366e+02 9.213793920201729382e-01 0
2 -1.030139479032540294e+03 8.093676204706479194e-01 1
4 -6.760054619302267156e+02 6.097487938368266747e-01 1
1 -1.051361910732537353e+03 1.512894879593051911e-01 2
1 -1.025273243576524919e+03 3.404973282722056349e-01 0
2 -9.354338057132179074e+02 2.086219986644408664e-01 2
11 -2.557822096935295235e+02 7.189620419795843542e-01 1
10 -2.854143689054641300e+02 1.908074721421509912e-01 4
9 -3.162861050860703926e+02 8.654823219528882117e-01 4
8 -3.587737638268499722e+02 1.203563302776725907e-01 3
12 -2.531606196346088780e+02 3.290725148836850522e-01 3
12 -2.501386225179087432e+02 9.599535927120254053e-01 2
9 -2.883054542749444522e+02 8.697330376997269852e-01 1
10 -2.644219986786185927e+02 1.775345238568779571e-01 4
12 -2.591271477928173681e+02 7.665029666170433131e-01 0
6 -5.045450830162517377e+02 6.508684933698187791e-01 2
1 -1.240933806650581573e+03 1.618685193692366298e-01 0
3 -8.665939590663166427e+02 7.047213144923554218e-01 3
4 -6.874075974624875016e+02 1.410619157956549685e-02 3
7 -3.446505860660535632e+02 2.723028205606663477e-01 1
7 -3.743216432199295696e+02 8.796230957754835877e-01 4
2 -7.004747968147596566e+02 6.589003464015963374e-02 1
13 -2.538157185358088554e+02 9.877713562130883973e-02 2
10 -2.562347393063089385e+02 6.297297762297837664e-01 1
14 -2.497506587747628828e+02 9.600384784116575698e-01 1
10 -2.557942121722203694e+02 9.911624838659705006e-02 1
3 -8.587744341763183229e+02 7.582950276516662313e-01 2
0 -1.620565337686506427e+04 3.827737345226335242e-01 1
3 -7.140652681994681643e+02 5.314828128920704442e-01 0
3 -6.788179911409605438e+02 4.750119516076587445e-01 4
5 -5.698719375929961188e+02 4.819705165445897777e-01 4
8 -3.506576512187650678e+02 7.440883815298315884e-01 1
3 -8.732066072347957970e+02 9.509249621465469815e-01 4
2 -9.039532524532794469e+02 7.232558780168039103e-01 0
5 -6.005748980335577016e+02 6.038705129051251397e-02 1
2 -9.110959818330397866e+02 8.332413114427730250e-01 3
4 -6.132343049356654774e+02 4.323008398025860455e-01 2
4 -5.512869639959626511e+02 9.015172967826668993e-01 0
4 -5.337428180076383342e+02 9.919326600035374142e-01 0
7 -3.875266519681986210e+02 2.359974362105847767e-01 4
0 -8.829295151352173434e+02 6.234804838280800787e-01 1
7 -4.288593455847410496e+02 5.000970869613550196e-01 3
13 -2.531275874915885993e+02 5.594651894569069306e-01 1
10 -2.795451105485678340e+02 6.065132569583688849e-01 3
4 -6.039918406834808593e+02 6.790196573339541963e-01 0
6 -4.527214595073746750e+02 6.259928538452169677e-01 0
3 -7.420037063221593598e+02 5.032870917722060966e-01 0
12 -2.539841459159460442e+02 3.125447226734732187e-01 2
17 -2.496795887333832979e+02 4.552328319649697197e-01 2
15 -2.504740865141473591e+02 7.240169453846697634e-01 3
11 -2.631341958059588819e+02 3.741512401593487525e-01 4
13 -2.508111185256690305e+02 1.783231540408030946e-01 4
12 -2.524545344712213080e+02 3.219025216277537349e-01 1
14 -2.510314226624558955e+02 9.285957739358963181e-01 4
18 -2.494191744008691671e+02 7.735566384566441300e-01 1
19 -2.495328845286938133e+02 2.639483790192490575e-01 2
9 -2.699595850757706899e+02 2.888542704659399218e-01 3
1 -8.816704433656865376e+02 3.058033046227137675e-01 0
20 -2.494968901874412381e+02 9.760454086702812226e-01 2
3 -6.714920729820253200e+02 7.053317914194067173e-01 0
18 -2.496139623515707058e+02 5.999898667823628795e-01 4
13 -2.523197491330110154e+02 3.054218581531620291e-01 4
11 -2.656848003865053442e+02 3.267268788767648258e-01 0
4 -7.007113390683891794e+02 3.558557362262323442e-01 3
21 -2.493962282326056084e+02 9.877922909073448832e-01 2
13 -2.530940992296126808e+02 4.866321624423974868e-02 0
18 -2.495842266368759681e+02 9.370255814561870844e-01 4
20 -2.495042081397711513e+02 3.478011834828416415e-02 4
2 -9.584675229348787298e+02 3.649131821034856671e-01 3
19 -2.495394355071882160e+02 9.132504782149672984e-01 4
7 -3.407260081895422559e+02 3.345073320884284773e-01 2
20 -2.494562601798764945e+02 1.976867040047238303e-02 4
17 -2.495985296525619788e+02 8.172175331091687811e-01 4
24 -2.492871815753618989e+02 4.064748712569228317e-01 1
20 -2.494790659273775191e+02 9.594404674103829134e-01 3
15 -2.503825829092141362e+02 3.022649356031293921e-01 2
13 -2.527991230279034198e+02 2.882331940676307047e-01 1
22 -2.494193619409157066e+02 7.026407914806005461e-01 0
20 -2.495063333508726657e+02 6.165177450636490919e-01 3
4 -3.563091607981879179e+02 9.452288532229169427e-01 2
23 -2.493718668291272422e+02 3.414976307750696716e-01 1
12 -2.506879905139792584e+02 2.746393382367821601e-01 2
18 -2.496535005123513429e+02 9.728091776544709468e-01 3
