# level_assignment log_likelihood tiebreaker ID
0 -1.115737569819337295e+04 8.173102352296803819e-01 1
2 -9.078066190469561434e+02 7.705410054082468818e-01 0
1 -1.180028778742429267e+03 3.526434341196843514e-01 0
2 -7.891476657026624935e+02 5.811098678846622345e-01 4
2 -2.740241090014210386e+02 1.525543901468455199e-01 2
4 -5.753637269869432203e+02 5.376965616484498112e-01 2
3 -6.532562832879950747e+02 4.140430488872454411e-04 2
0 -1.721641476020856089e+03 7.039715757409913399e-01 2
4 -4.260847586311687110e+02 2.596051404215486968e-01 0
4 -3.313449143924113969e+02 4.545074265398554303e-01 4
5 -3.668131753064546388e+02 1.781052741855860266e-01 0
1 -1.379035850162669021e+03 6.272805281935800448e-01 3
7 -2.706404389625982958e+02 2.777400224406449958e-01 4
5 -3.872700618997841957e+02 8.941554066307200177e-01 0
4 -5.305847431780166517e+02 7.848266186258018307e-01 2
1 -1.645225233855505621e+03 6.112391312386820097e-01 3
3 -7.389464138830624051e+02 2.563811029301188427e-01 3
4 -5.026988902911622858e+02 9.837389716476774293e-01 1
6 -3.120783082858351918e+02 3.947483875157378197e-01 1
0 -9.792966440299393071e+03 7.542609883570108309e-01 0
4 -3.716889893215801521e+02 5.849517561272500332e-01 0
0 -1.611830131037010915e+03 5.272750555652905291e-01 0
3 -6.070621852154889666e+02 6.792296570635029118e-01 4
6 -3.368025067859733781e+02 3.575130968902949791e-01 1
9 -2.598173720838425425e+02 4.337860823731844451e-01 3
11 -2.521257986344493247e+02 8.623932362578439204e-01 4
5 -3.268527062276733659e+02 8.472883532673283202e-01 2
5 -4.389486025811996797e+02 9.132686537369112401e-01 3
1 -1.240836832374924143e+03 5.005188237783966265e-01 3
9 -2.540924418851967630e+02 9.105145713217932535e-02 0
6 -3.135976323364099017e+02 5.780474672680036008e-02 4
12 -2.529536389321200431e+02 8.138119036138348195e-01 1
8 -2.604966291043715501e+02 6.564607477336528163e-01 3
13 -2.520146036356397872e+02 7.243864665127164315e-02 0
13 -2.520822832694482827e+02 4.500651617886017863e-01 3
