# level_assignment log_likelihood tiebreaker ID
0 -4.043236553123387694e+03 3.798980599434820249e-02 2
0 -2.709197438877792592e+03 7.685164084020006392e-01 0
0 -5.220696030335298019e+02 7.610080533110614720e-01 1
2 -4.238890282143923969e+02 1.450749558456351507e-01 1
3 -3.627463090534955654e+02 1.185520573613807471e-01 4
2 -3.730957806036315105e+02 3.133784814446146094e-01 2
4 -3.045578769510099164e+02 6.602994351729041256e-02 3
0 -5.694876798976616556e+03 2.973934174581846501e-01 1
1 -4.974224420781390563e+02 8.461396357814650049e-01 1
2 -5.415982494916145242e+02 7.802991625151918242e-01 4
7 -2.587286671872833494e+02 9.116091977439721994e-01 2
5 -2.606871031885619345e+02 8.553645230127753241e-01 3
7 -2.585505968160890689e+02 1.799180164761533529e-01 2
7 -2.554470994113318625e+02 2.274331671374199004e-01 2
9 -2.521857487945599416e+02 7.124556550404422817e-01 3
9 -2.520519642921645982e+02 7.116755994253807227e-01 3
9 -2.529591045220463741e+02 7.982754900090593964e-03 2
10 -2.514811763422799800e+02 9.587655585678696024e-01 1
11 -2.512214132099069275e+02 8.410084431618232159e-01 4
11 -2.508102120720272410e+02 1.993095996732687780e-01 0
12 -2.507259465252337236e+02 5.714350478919210108e-01 3
7 -2.535924325772604107e+02 4.276262570093857240e-01 1
11 -2.507686908699087098e+02 5.920242446849142137e-01 3
11 -2.511620825478798622e+02 8.938833640761993937e-01 4
9 -2.521234114574991452e+02 7.599969074551117254e-01 1
5 -2.708462395052749798e+02 3.597190145638030634e-01 0
12 -2.510543268961018271e+02 9.145921970244748067e-01 4
4 -2.688475562783191890e+02 8.935443894639885087e-01 2
12 -2.510439234188153250e+02 5.220824527417016192e-01 4
3 -2.773249878582926158e+02 1.362809890967928705e-01 2
5 -2.583879268646462037e+02 9.289882052106724908e-01 0
7 -2.582827192200597892e+02 2.509207476277676707e-01 0
10 -2.522833875798213512e+02 5.964031110288154913e-01 3
2 -4.809096402254583040e+02 6.397173867621668286e-01 1
5 -2.553242998371869419e+02 7.527571764952321054e-01 0
2 -4.750895100634205619e+02 4.252313590067951510e-01 0
1 -6.689411239473362230e+02 5.082383403134084210e-01 1
3 -3.707637424479863739e+02 6.979629769475357293e-01 0
10 -2.520689765167468295e+02 1.365745699773661670e-01 2
8 -2.546847342600863158e+02 6.030256297004685934e-02 2
13 -2.507923087758624092e+02 6.331257478113423431e-01 4
11 -2.512637064091615002e+02 3.430179351682429711e-01 3
10 -2.516171489040698930e+02 1.239747077342463061e-01 2
10 -2.522231046018585516e+02 2.794319363290647118e-01 2
5 -2.678136478644099725e+02 5.909236831916382382e-01 2
11 -2.512715006685477874e+02 8.828137142688120831e-02 4
11 -2.512496590091615190e+02 4.821127060024612554e-01 0
11 -2.515628496638386480e+02 6.038509654686717576e-02 2
9 -2.522375168094488913e+02 7.862327622297350382e-01 2
15 -2.506192257026057177e+02 8.161400067776090061e-01 1
2 -5.420186701705863470e+02 9.453011336594676628e-01 4
14 -2.506345948601865814e+02 9.750745949970183180e-01 1
12 -2.510335626288930087e+02 6.080047289120389387e-01 0
7 -2.529357239456544164e+02 9.369444095714537513e-01 4
11 -2.513237779407951109e+02 4.460290285266989008e-01 2
11 -2.515075801474844184e+02 7.032741072709612906e-01 2
12 -2.510283729010086518e+02 9.722393464136281915e-01 2
11 -2.512923389743136227e+02 9.922348214294931523e-01 0
12 -2.510785044823121268e+02 3.655519277656610333e-01 1
10 -2.523009520307507501e+02 7.694436573335934337e-01 1
10 -2.510996729001798258e+02 2.038195576278255816e-01 1
10 -2.521227565104727262e+02 4.288078689165216728e-01 1
10 -2.517578831084144895e+02 9.329373973032325518e-01 1
3 -3.606864933819105090e+02 3.185199523460738869e-01 4
13 -2.506450706661375705e+02 4.646480734094190490e-01 2
9 -2.527974493434736587e+02 8.682826636866614045e-01 4
16 -2.505440021745025092e+02 6.549396612594837741e-01 2
15 -2.505194366951913025e+02 6.884061086617120351e-01 2
7 -2.563575682771688662e+02 2.463029114407113696e-01 0
8 -2.533943806105587839e+02 4.059495446619638681e-01 0
5 -2.566447686968018047e+02 8.213971772137913518e-01 0
13 -2.507401298297418748e+02 9.570681733399269975e-01 1
12 -2.510406538878672222e+02 2.381162466420505552e-02 1
3 -3.009912243713250746e+02 4.170474251876470362e-01 4
12 -2.511040241593225062e+02 9.337764403527011314e-01 0
3 -3.667175019557289488e+02 4.071568156614714940e-01 4
15 -2.505578057534731897e+02 6.992299985123358042e-01 2
13 -2.507749054672718216e+02 2.874787947450803682e-01 0
9 -2.531010408179708406e+02 6.748842388595956976e-01 3
16 -2.505364897223705896e+02 3.057899047498395251e-01 2
15 -2.505992061465762504e+02 6.809301154424853841e-01 1
13 -2.507409401524377586e+02 5.117697147356616849e-01 1
16 -2.505374473438079121e+02 8.298814879291042113e-01 2
16 -2.505492404941680036e+02 7.836511898183076141e-01 0
9 -2.528430277142724094e+02 3.637862035014156059e-01 3
8 -2.526216271243634992e+02 6.225341625389209099e-01 3
13 -2.506509586008704389e+02 1.243991881976445057e-01 1
15 -2.506475870216768840e+02 5.350485111295918417e-01 0
14 -2.506738295687724190e+02 3.839874571842195050e-01 1
16 -2.505900017524607506e+02 9.286487245158014936e-01 0
16 -2.505910748429874388e+02 8.009905446213128055e-01 0
15 -2.506282223888111673e+02 5.652699147008215519e-01 0
5 -2.833897612415900085e+02 6.460237224558671443e-01 3
12 -2.510238899169302158e+02 3.627380612800375492e-01 1
17 -2.505395757355873059e+02 1.148716695136826615e-01 2
11 -2.509628614186007667e+02 5.624196107251151489e-01 1
13 -2.507956891011887990e+02 4.012103663159081179e-01 1
15 -2.505576070555767956e+02 6.744776061359399888e-01 2
7 -2.519548004469106672e+02 1.362928258748317967e-01 3
6 -2.634758736157657495e+02 7.891533444703197064e-02 3
5 -2.782664505431055204e+02 5.285975124951192150e-01 3
20 -2.505162686024131631e+02 8.955695584675060772e-01 0
15 -2.506207532956916566e+02 2.864361985147070300e-01 2
5 -2.733088243726238034e+02 3.657007144481359828e-02 3
15 -2.506061713378362299e+02 3.458915800485863890e-01 1
12 -2.509197383408187818e+02 3.562617480049410368e-01 2
5 -2.610173918566980547e+02 1.043008737906181704e-01 3
4 -2.568699260273610889e+02 7.718044877658569725e-01 4
16 -2.505846207338304623e+02 9.076684433141553043e-01 2
9 -2.511145947922454695e+02 9.659079179512630731e-02 1
16 -2.505354984718960623e+02 9.232303799208795292e-01 0
17 -2.505333696451254184e+02 4.582774632563686446e-01 0
12 -2.510778075048973221e+02 9.664812293819100564e-01 3
4 -3.167087184824751489e+02 4.535080242224092117e-01 4
10 -2.512274984481310867e+02 9.792697794996221283e-01 4
8 -2.525687265310744465e+02 6.008596348877448534e-01 3
17 -2.505403389828930472e+02 3.020303474111756259e-01 0
14 -2.506402347398172878e+02 4.254473732049568468e-01 1
17 -2.505327324847445709e+02 7.730302666283854762e-01 2
17 -2.505329041755569506e+02 6.329324257207142868e-01 0
13 -2.507707460725274018e+02 5.278486892050942014e-01 1
3 -3.944611851242126477e+02 4.564935397382221538e-01 4
11 -2.513634356296462329e+02 8.124679075930388850e-01 4
12 -2.509720844216516014e+02 6.254678307460572739e-01 4
21 -2.505172398456352880e+02 1.968796735559306954e-01 0
11 -2.515537113712929056e+02 6.994035165507734852e-01 4
4 -3.245211327140209505e+02 5.480816872671450540e-02 3
21 -2.505168522182002562e+02 5.635310510508103610e-01 1
