# level_assignment log_likelihood tiebreaker ID
0 -3.752993973880821613e+03 9.313831178604086158e-01 3
0 -4.253413095177542687e+02 8.816731271542963544e-01 1
0 -8.399116534543722082e+03 9.229012931782161200e-01 1
1 -3.117409823401900439e+02 2.643419074957655823e-01 2
3 -3.293030499178245236e+02 7.340555734875998939e-02 3
2 -2.957502096575168480e+02 8.777255551072250528e-01 2
5 -2.702364373319925335e+02 6.240370908360096669e-01 0
0 -3.391538760938706218e+03 4.061778713137265129e-01 0
6 -2.571383225807852568e+02 4.961141640119211549e-01 2
0 -4.413532956478107735e+03 3.182769934608765117e-01 4
2 -3.713186549923643724e+02 7.253228288876099050e-01 0
2 -3.635474451722020035e+02 5.966348893141097953e-01 4
1 -3.955045689475961126e+02 4.891644290077560853e-01 2
6 -2.541860624260924908e+02 8.149300439964628495e-01 0
2 -4.639222633500532993e+02 1.349967946258539275e-01 1
5 -2.650389590878532999e+02 2.112327174462613755e-02 4
5 -2.579681154111128194e+02 5.582625457635547184e-01 3
5 -2.612569972773084146e+02 7.938386259868991379e-01 1
8 -2.519068826036809128e+02 4.540274452145828255e-01 0
5 -2.628607996921488166e+02 4.112010876599191955e-01 1
4 -3.020109862548153501e+02 1.100785187731943005e-01 0
2 -3.149365858098051945e+02 5.724425091594631532e-01 3
9 -2.515334606780555191e+02 8.713633508064786426e-01 1
9 -2.516795064629502576e+02 1.400783283778267163e-01 2
10 -2.508956528411538613e+02 3.871423104385012803e-01 0
10 -2.512031784873781817e+02 3.115721495762134863e-01 0
7 -2.534254927921279261e+02 8.592531218645675928e-01 1
11 -2.509316541203294264e+02 4.765317107952364850e-01 2
7 -2.544860608084659930e+02 9.294182191833271212e-01 4
0 -6.250550235836641377e+02 1.724573542605513932e-01 1
7 -2.519776195179954357e+02 9.402488576156546873e-01 2
2 -5.094372901233224411e+02 6.714231823614877914e-01 3
6 -2.572013237791481401e+02 2.219994372317345699e-01 4
11 -2.509948326486383792e+02 9.647686681222089611e-01 2
13 -2.507957116102388682e+02 8.535600386021289232e-01 0
11 -2.510154078900550587e+02 1.037595681969072925e-01 0
8 -2.516458423623446379e+02 1.865382458167403057e-01 3
10 -2.513805654976389690e+02 9.827905048617942008e-01 3
12 -2.509038648085613659e+02 2.284590829351917929e-01 1
13 -2.508530772948073206e+02 7.750610347657993504e-01 0
12 -2.507823233344627170e+02 7.471924149450464014e-01 0
4 -2.809326441213979706e+02 6.494983696931799777e-01 2
14 -2.507666031907769195e+02 1.621019845874047682e-01 1
6 -2.562595602250111710e+02 6.960808780086081837e-01 2
1 -4.796219643804922725e+02 4.638753045227197447e-01 4
11 -2.508187172586181077e+02 7.418067220493438363e-01 3
16 -2.507235479464860077e+02 9.438163672901662693e-01 1
15 -2.507469531638008675e+02 3.729102992420934015e-01 1
16 -2.506937221977991328e+02 7.709126810961625109e-01 1
4 -3.033945968648152984e+02 9.329645695478295808e-01 4
3 -3.391147496413747149e+02 2.345343953759106981e-01 4
0 -2.314833453513259883e+03 5.031559899403061920e-01 4
15 -2.507307589191736383e+02 7.399503516916506873e-01 0
4 -2.675419185642412572e+02 2.212366431284431556e-01 4
18 -2.507044045252742990e+02 1.207007419155337324e-01 0
4 -2.718222966258142037e+02 7.898727146291557588e-01 4
13 -2.508332323726698405e+02 3.253627070654344089e-02 0
14 -2.507978030433681624e+02 6.341973187667110379e-01 0
16 -2.507278521637736901e+02 2.793718918231347104e-02 1
7 -2.535503481706306843e+02 3.651167263610753944e-01 4
9 -2.512838147358969536e+02 7.330245457289477073e-01 0
12 -2.508418382269910012e+02 8.188785733079749496e-02 2
18 -2.507011182252587673e+02 1.500391207715110753e-01 1
14 -2.507854555328446224e+02 9.925975670242888071e-01 3
12 -2.509206115142194164e+02 4.461130576249701107e-01 3
14 -2.507160588937551040e+02 1.697285383325289887e-01 2
17 -2.506980359859063014e+02 2.371614181168055779e-01 2
18 -2.507027252525151653e+02 4.195025459132324386e-01 3
5 -2.580190706750240111e+02 4.325438967789008160e-01 0
16 -2.507160270942335103e+02 5.697822064468186509e-01 1
2 -3.443899513173565765e+02 5.352343952254162707e-01 0
16 -2.507192986871723122e+02 3.719689188134004398e-01 1
19 -2.507018476445006172e+02 2.578567363107167054e-01 4
15 -2.507192908118690298e+02 3.108430184615951219e-01 4
17 -2.507080497509335544e+02 8.864298726624475488e-01 3
21 -2.506883127794975792e+02 4.191229857715708107e-01 2
22 -2.506907650084887678e+02 3.941582817061810295e-02 1
18 -2.507023767588497662e+02 4.619899029461604911e-02 2
18 -2.507074871983836886e+02 5.445991899177906603e-01 2
19 -2.506954334120671319e+02 6.053649510711380799e-01 4
19 -2.506986220172109370e+02 8.282868849097150266e-01 3
18 -2.506976803514285166e+02 3.477841698749433164e-01 4
23 -2.506894565715025180e+02 5.352099828688734462e-01 4
10 -2.511621994647151155e+02 8.083872906758311494e-01 0
21 -2.506929072800366782e+02 3.306173813769038294e-01 4
20 -2.506915955050378386e+02 2.848165123299112311e-01 2
22 -2.506916400323222547e+02 8.776107089597440236e-01 2
22 -2.506910627130690727e+02 8.179365049323277237e-01 4
25 -2.506881103183122264e+02 1.869663483158814643e-01 4
26 -2.506882398018363745e+02 3.849546941123450639e-01 4
13 -2.508067914264908040e+02 5.078581194364626406e-01 0
26 -2.506879259953330745e+02 1.043934250636041616e-01 2
15 -2.507450008831425521e+02 6.496979968151027629e-01 0
25 -2.506884754148097159e+02 2.011327668012778958e-01 1
