# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 32401 32401 10387 32401
-1.124600006383591255e+00 -1.035297836541257084e+03 9.145651380857681978e-02 26186 32276 15562 41736
-2.112074612349623237e+00 -5.132646963675501866e+02 4.285703560655225175e-01 23225 32351 16328 46721
-3.160054989218924248e+00 -3.596418729934168255e+02 7.146297388504709858e-01 21267 32424 19949 47482
-4.035023032433083578e+00 -3.023803793658350969e+02 8.606895263724458900e-01 20069 32509 18463 51054
-5.051131919190039454e+00 -2.753596719489628981e+02 4.450600361845223896e-01 18631 32432 15580 49808
-6.202863351018301330e+00 -2.627013035277665836e+02 1.418913624100071047e-03 17591 32459 10880 46927
-7.628161699815013463e+00 -2.559107245102682100e+02 9.352402078599416635e-01 16328 32253 15828 42329
-8.612978593332766053e+00 -2.536812829848170168e+02 7.598186508276677520e-01 15805 32225 23903 46930
-9.305318194898582362e+00 -2.527571554809210284e+02 8.390335486529945097e-01 15207 32169 16973 54457
-1.046125870995924956e+01 -2.518499797730919738e+02 4.809033097390583156e-01 14411 32124 14028 48182
-1.167908819116220620e+01 -2.513309942219000845e+02 4.766680443203302753e-02 13529 31764 11112 45042
-1.304694639509168752e+01 -2.510422688974133507e+02 7.072654047019337753e-01 12917 31791 10853 42089
-1.437291252958143595e+01 -2.509113501726488380e+02 6.760002089662791036e-01 11855 31859 17591 41930
-1.525019779422302513e+01 -2.508665382811506106e+02 1.249646220635991511e-01 11382 31637 19854 47888
-1.613766053327618977e+01 -2.508381336867497282e+02 7.467069179155518821e-01 11046 31648 11472 50217
-1.757858862005641853e+01 -2.508104816951066596e+02 9.445450570874551754e-01 10288 31696 23771 42936
-1.819311643471239037e+01 -2.508037455723946891e+02 9.982345145301040334e-01 10019 31657 27350 54272
-1.889338453898647074e+01 -2.507986571668411102e+02 7.712489692372699324e-01 9716 31702 26235 57999
-1.969641568276456667e+01 -2.507946379708948257e+02 2.620140714430507778e-02 9539 31590 17147 56947
-2.088511508169553466e+01 -2.507904601987761453e+02 6.429215645510026889e-01 8996 31696 16002 47916
-2.197558285242017817e+01 -2.507885393369997757e+02 8.280322484344148082e-01 8688 31577 19837 46924
-2.284479076206307724e+01 -2.507875968047820834e+02 9.323499706986577706e-01 8193 31562 17744 50841
-2.389428572054123023e+01 -2.507868580572306314e+02 9.346567540541155239e-01 7919 31700 22560 48808
-2.467849741065831282e+01 -2.507864879697006586e+02 8.454302443568626479e-01 7469 31674 22479 53501
-2.555258412860460027e+01 -2.507862299163533919e+02 3.970779255688845488e-01 7487 31712 26269 53560
-2.627902749692272621e+01 -2.507860932264896974e+02 9.827275717655714615e-02 7173 31469 22598 57101
-2.720969035110808676e+01 -2.507859614135331014e+02 4.626309125282879187e-01 7066 31613 14020 53550
-2.852748433467798250e+01 -2.507858628025649637e+02 9.513606859141616745e-01 6651 31458 22331 44858
-2.924234686237692671e+01 -2.507858316415480431e+02 4.840501500084171127e-01 6470 31380 0 0
