# level_assignment log_likelihood tiebreaker ID
0 -4.712121653428178433e+03 3.798980599434820249e-02 2
0 -7.130445776299922045e+02 5.951830013747700515e-02 0
1 -6.060232526268041511e+02 3.406446781847556338e-01 2
0 -1.227917709261876780e+03 9.138896430237356538e-01 3
3 -3.244669050883400701e+02 9.969880881839775499e-01 3
4 -2.601175462438231989e+02 8.802883849454078424e-01 0
3 -2.807524596095865377e+02 5.826705067464932331e-01 3
1 -9.902197434746447016e+02 6.424456282402910556e-01 3
5 -2.563335366044349257e+02 1.642547049104621237e-01 4
6 -2.505022884948527917e+02 3.498306259654526684e-01 2
6 -2.505589280896645334e+02 1.708012854704483996e-01 0
6 -2.517570821799023690e+02 6.049690577060351515e-01 2
1 -9.974101801656888711e+02 6.291823860389552658e-01 4
0 -1.202671878622371878e+03 1.530081037122159870e-01 0
1 -3.527577030896876522e+02 3.532775638510892158e-01 0
7 -2.508398778956216120e+02 4.044786175013875829e-01 0
8 -2.504599010449010166e+02 6.345027827836268175e-01 2
7 -2.502743346920996146e+02 7.351055525369019072e-01 2
5 -2.510476180675347848e+02 5.084124117086680217e-01 1
2 -3.434396699440314933e+02 3.854268796988895573e-01 0
8 -2.504442271516143137e+02 7.599384070115953183e-01 4
5 -2.521856891550471289e+02 4.883383116073812813e-01 0
3 -3.101592766617274037e+02 9.789648671118733603e-01 0
8 -2.502275459348709035e+02 6.813772642346941355e-01 2
6 -2.512588847215068029e+02 9.952161648363749835e-01 4
6 -2.532869040587766563e+02 6.534290428377460547e-01 1
4 -2.714020189997506236e+02 6.805963991897530097e-01 1
0 -9.317610043456359563e+03 3.439412322312034032e-02 1
7 -2.504516510748562155e+02 4.112438101855362405e-01 0
5 -2.516571569474056389e+02 5.243327472930436883e-03 2
7 -2.509198320009267604e+02 6.902879037853094646e-01 2
9 -2.499913551861932888e+02 1.453143336528409449e-02 3
10 -2.496731123614746934e+02 5.613908781429727268e-01 3
5 -2.607787945749584537e+02 5.895561056539517786e-01 1
5 -2.517989296308762448e+02 7.165701019172484587e-01 2
6 -2.527648033900126450e+02 4.830325842069734810e-01 1
8 -2.498630623368724741e+02 2.213967932312854714e-02 4
6 -2.524276495670116276e+02 6.846566919985235256e-01 1
11 -2.497145359235736919e+02 7.490371929836419085e-01 4
3 -2.694610158775267905e+02 1.707569596081137397e-01 2
10 -2.497916027303196529e+02 7.583809752067851573e-01 4
6 -2.505790239711921288e+02 3.886499136319487291e-01 0
9 -2.498891894605321795e+02 8.917537758817106752e-01 2
10 -2.497212098071736079e+02 5.540685973183635121e-02 0
0 -8.787120048842948563e+02 9.798569510604762112e-01 2
3 -2.998115494594743495e+02 4.493570889166754317e-02 1
8 -2.500401709566940553e+02 4.069256401775792065e-01 4
9 -2.499866553355323902e+02 1.310114440716790840e-01 0
10 -2.498137628086591064e+02 1.863721552227993461e-01 0
5 -2.583572520870819744e+02 2.550664452945898830e-01 4
9 -2.498868424301045934e+02 1.317127884499108385e-02 3
11 -2.496843639274627549e+02 4.105641014599077931e-01 2
4 -2.545224360691457548e+02 7.265833411896537308e-01 0
14 -2.496449930003940381e+02 2.947077293297120093e-01 2
1 -1.691244294290431299e+03 4.272698914833671369e-01 4
9 -2.498769261215229562e+02 7.475483940460181387e-01 2
9 -2.499575696948027144e+02 4.066654028429487200e-01 2
4 -2.692168030077727963e+02 5.651834394977216514e-01 1
2 -2.878160826866374009e+02 8.925527352929909508e-01 4
13 -2.496488081531202283e+02 1.638225579637018203e-01 2
8 -2.500654958946398381e+02 2.060834969541432415e-01 3
16 -2.496366663456489619e+02 7.461373844105938513e-01 2
15 -2.496330585855055517e+02 1.049455951823787814e-01 2
14 -2.496383097111830409e+02 8.792911299151676685e-01 0
13 -2.496470663777405434e+02 3.708144219349416293e-01 0
15 -2.496337592444855886e+02 4.864996617109038635e-01 4
18 -2.496327096786331481e+02 5.534149370727501349e-01 4
13 -2.496516054837463230e+02 7.779782414189710948e-01 3
15 -2.496382686284388797e+02 8.221789886919042001e-01 0
10 -2.497368077457989557e+02 5.983828730006176544e-01 1
12 -2.496662675533847278e+02 7.528305012924363382e-01 3
17 -2.496332713895602922e+02 3.854392507579159077e-01 1
16 -2.496327253702286839e+02 9.718366508135294346e-01 1
18 -2.496329564296501076e+02 1.684215310454963976e-01 1
7 -2.505162765453493989e+02 1.961015673481040708e-02 4
14 -2.496363109901749340e+02 2.804506032717952735e-01 3
8 -2.500378056913661169e+02 3.714184734542591015e-01 4
3 -3.228596490485374488e+02 3.157274521561287406e-01 2
16 -2.496353551183365198e+02 6.359907324347964241e-01 1
0 -1.408749777775396069e+03 5.402668959135806803e-01 2
17 -2.496326183342208651e+02 1.911884397044879558e-01 0
16 -2.496364725166285439e+02 7.052487966329745728e-01 3
20 -2.496321408996643072e+02 2.229299834189427676e-01 0
20 -2.496319469010906005e+02 6.388051567068174785e-01 1
17 -2.496334127495900645e+02 4.009310068223493340e-01 0
16 -2.496319390844296038e+02 8.669484551371331449e-01 1
21 -2.496319085423054958e+02 9.096528534001153687e-01 0
20 -2.496321886346040628e+02 8.356064888422120446e-03 3
1 -4.083602810861743819e+02 1.781648269829061992e-01 2
9 -2.499676006419633154e+02 6.878266357401825459e-01 4
8 -2.499505320165270348e+02 7.846891280671552948e-01 4
16 -2.496366361732538905e+02 5.002992460203703473e-02 1
23 -2.496318177433301742e+02 1.757531790863617882e-01 0
18 -2.496327255921158041e+02 7.309001242183970071e-01 2
17 -2.496328064066931915e+02 2.063804994625115796e-01 1
24 -2.496318159473549656e+02 9.197922179538124965e-01 0
8 -2.503568700424561086e+02 6.943008667638228548e-01 4
22 -2.496318850866159096e+02 4.559344619311431202e-01 3
21 -2.496318890963500223e+02 8.033392382393080844e-01 3
25 -2.496317811589523501e+02 3.289138513623879878e-01 2
22 -2.496318476721690161e+02 3.997799977210504951e-01 0
6 -2.514500014961968191e+02 6.244188508226989898e-01 4
25 -2.496318002611666884e+02 9.775048956610754569e-01 2
9 -2.499404115278276777e+02 4.776797572522071822e-01 1
15 -2.496363555995786783e+02 5.954064829386136459e-01 3
20 -2.496322852923370874e+02 8.059795959343986071e-01 4
