# level_assignment log_likelihood tiebreaker ID
0 -5.204666906571523214e+03 1.596773640228092150e-01 1
1 -1.322391127166930346e+03 5.211640479576867824e-01 2
2 -4.169103473726946731e+02 6.064982734945690845e-01 0
1 -7.233797277519743147e+02 2.970631203703860135e-01 4
2 -4.897228158203594717e+02 4.192458264875396634e-01 2
1 -6.903624029739769412e+02 5.415238659289220990e-01 0
0 -2.369485017619540031e+03 7.391911754118403177e-01 2
2 -4.741879090856225503e+02 4.899965193830624344e-02 1
2 -5.308373004436889460e+02 4.975792127811686782e-01 2
5 -2.824190057048371045e+02 6.238386226689998093e-01 4
4 -2.801245375113333012e+02 7.146952623464519760e-01 3
0 -1.142774752064238601e+04 9.261910460795464983e-01 3
6 -2.730172626049549081e+02 6.627428039949814220e-01 4
6 -2.717699380624134164e+02 4.759564559388584915e-01 4
4 -2.877078189213390260e+02 8.956938579789768262e-01 0
7 -2.648695236359502587e+02 1.699702929036459587e-01 4
7 -2.629093847703028359e+02 6.253144131488019841e-01 4
6 -2.696082645806022242e+02 1.454598658350648166e-01 1
9 -2.558827470972067033e+02 1.299828421538288259e-01 4
4 -2.812245154384208945e+02 3.874277353342239771e-01 1
1 -6.030573364731187667e+02 1.077801806267627976e-01 3
2 -4.334998595129065961e+02 3.438917995624154456e-01 1
11 -2.511945005918227594e+02 3.292875637021092095e-02 1
9 -2.533076316701769883e+02 3.874307727601600249e-01 1
11 -2.515218700887874661e+02 1.784308707647586090e-01 4
0 -5.756409740919150863e+03 4.388491986084225860e-01 3
6 -2.781066496532617975e+02 5.631836399531839898e-01 3
12 -2.505833565694381377e+02 8.479809642592206487e-03 4
12 -2.503853630762847331e+02 9.685349603010210418e-01 1
11 -2.517163332493074677e+02 8.484248926307298433e-01 4
7 -2.553364792885612360e+02 9.261585956525208996e-01 0
8 -2.609291197410630616e+02 1.656731793797876218e-01 3
7 -2.623986353537317200e+02 2.453955211258254387e-01 3
14 -2.502859139711432306e+02 4.560074505968016445e-01 1
16 -2.500748730024526765e+02 7.117026593004851520e-01 0
8 -2.615377775239034008e+02 7.131770868802661534e-01 3
17 -2.500098502154330333e+02 5.382724106840028888e-01 0
17 -2.500097605968487642e+02 3.299971582430316075e-01 0
11 -2.509773382264535257e+02 5.818676066639494326e-01 3
11 -2.513946158820969572e+02 5.258663423762807709e-02 3
2 -5.456843236894707161e+02 7.683167263804941971e-01 1
18 -2.499880916788150387e+02 7.971385183413386422e-01 4
8 -2.615839112131773163e+02 6.254702597159527144e-01 1
10 -2.516208729791788130e+02 3.751896321747755225e-01 2
17 -2.499993586299890183e+02 9.946125745442041532e-01 4
8 -2.538378786463445067e+02 5.755356703910169403e-01 1
18 -2.499781907311803764e+02 5.203175710498701978e-01 0
19 -2.499622847276374955e+02 2.832650629304903078e-01 0
12 -2.502592369582723677e+02 8.058418197775054637e-01 2
18 -2.499944169037275401e+02 6.443035403960873930e-01 4
14 -2.502176751578912501e+02 4.829528197554111557e-03 2
20 -2.499441291738190785e+02 4.754517694095318769e-01 0
19 -2.499674250187519249e+02 3.208794604793521049e-02 0
12 -2.506807131936116946e+02 8.774617568851164062e-01 3
14 -2.502287052265165528e+02 7.696109474447929699e-01 3
21 -2.499373930578811382e+02 2.226761740975772286e-01 0
7 -2.608354300886636565e+02 8.594674026460993321e-01 1
8 -2.591527404696911958e+02 9.735691523420669791e-01 1
22 -2.499357824320943564e+02 5.862648127001469922e-02 0
14 -2.500508568735515382e+02 5.592759897130841207e-01 2
13 -2.500424478209545214e+02 6.580476969033224321e-01 3
13 -2.501467088696752796e+02 7.707754483489979158e-01 3
23 -2.499358966175760202e+02 5.627607089857251665e-01 0
20 -2.499537005159795058e+02 9.728908606919427493e-01 4
