# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 33115 33115 13558 33021
-8.992984000937265243e-01 -1.396271092287953252e+03 8.208731822883241769e-02 28695 33186 15570 45543
-1.967683245169903117e+00 -5.436316260859337035e+02 3.874709362948804969e-01 24706 33308 20264 47847
-2.835022566145311451e+00 -4.478314620264207520e+02 9.467012447205052084e-01 22275 33242 24454 52093
-3.603716041120014424e+00 -3.886054815591318743e+02 9.261020769588662604e-01 21024 33132 20572 56296
-4.610051555154249137e+00 -3.211555312432446385e+02 6.690187972612915424e-01 19319 32980 24836 52485
-5.371012616517592875e+00 -2.899022240571997600e+02 4.815738303879473770e-01 18075 32708 24460 55996
-6.207724898204272534e+00 -2.709808576070686286e+02 4.112282029075560175e-01 16783 32522 20158 55475
-7.219387280116120742e+00 -2.600369852230715537e+02 7.057025970206969312e-01 15902 32505 22154 51576
-8.072752668886170824e+00 -2.557773737138375907e+02 2.095068731842049115e-01 15109 32497 28952 53774
-8.709649315871805797e+00 -2.538458369552846250e+02 8.871883278790382299e-01 14574 32486 36334 60395
-9.237319265526085843e+00 -2.527930406891154576e+02 3.340303336548746671e-01 14264 32451 30875 67665
-1.003062952262976637e+01 -2.516036526564070073e+02 7.385083243297756450e-01 13850 32451 31613 62759
-1.072938287423560411e+01 -2.509865389958135893e+02 7.472612917098662155e-01 13575 32349 40120 63528
-1.120898141054352948e+01 -2.506717789544584036e+02 5.961083789674126443e-02 13043 32216 42739 71306
-1.173738568822163586e+01 -2.503692061645455169e+02 3.322045279830989628e-01 12990 32176 52515 74213
-1.210304181098994292e+01 -2.501911382729732054e+02 2.471298733560043370e-01 12803 32225 62664 83221
-1.240565273128366286e+01 -2.500731892979808322e+02 9.316155736963468992e-02 12751 32289 64345 93147
-1.279103864689560055e+01 -2.499579923715583334e+02 5.803217054940519315e-01 12474 32351 70388 95146
-1.310873029063997386e+01 -2.498811229610312523e+02 1.798381877125528605e-01 12354 32343 70133 100950
-1.348735401531927813e+01 -2.498039290143347841e+02 8.768858301387505438e-01 12159 32399 51270 101433
-1.417790912261150993e+01 -2.496967216011811104e+02 9.223650305498279911e-01 12061 32509 56762 83577
-1.458165960853921028e+01 -2.496508014383027216e+02 2.151357365691100310e-01 11609 32565 58513 88694
-1.501294787798913077e+01 -2.496145512925037337e+02 1.077046216253832456e-01 11478 32582 86265 90449
-1.508127749289254815e+01 -2.496113867155741559e+02 8.025691515936463905e-01 11497 32556 98134 118177
-1.528174805040307760e+01 -2.495993663395198610e+02 5.801629226902306202e-01 11423 32594 122886 130063
-1.535310893700414780e+01 -2.495958876465982996e+02 4.729672754560394488e-01 11359 32585 145695 154843
-1.542626788280708361e+01 -2.495923481673294759e+02 8.913316589604337592e-01 11295 32540 167648 177601
-1.549467352702708389e+01 -2.495891166862006685e+02 3.901490644801373087e-01 11453 32617 190686 199628
-1.555013465974792730e+01 -2.495863894933634413e+02 6.889565552428238426e-01 11452 32608 0 0
