# level_assignment log_likelihood tiebreaker ID
0 -1.131126879782093165e+05 7.922023512834370784e-01 4
1 -1.166031681853803821e+04 6.676976795782607610e-01 2
2 -6.832657385674537181e+03 9.174170438737730415e-02 0
2 -8.029949473305799984e+03 6.223482521789457378e-01 1
3 -6.459985103119757696e+03 6.476577687458908716e-01 1
1 -9.740224811492404115e+03 1.743296269447810187e-01 4
0 -6.074351961553650472e+04 4.016580309423368744e-01 1
0 -7.939705473226005779e+03 5.263399440836746823e-01 3
2 -9.271702622990893360e+03 2.459427696783051953e-01 2
3 -5.278380152276748049e+03 3.686453257998642541e-01 0
0 -7.917220525033067679e+04 3.747026270641029555e-01 2
3 -6.808445170215315557e+03 8.559842098072677485e-01 0
7 -1.380255977127271990e+03 3.636577649904270126e-01 2
2 -8.726248125564914517e+03 8.782635341571234378e-01 4
8 -1.255478196431178958e+03 3.425123710537087973e-01 2
6 -3.111750681160844124e+03 5.079198585156038254e-02 1
4 -4.408114360337992366e+03 9.785850565273754853e-01 3
3 -5.184846977599587262e+03 7.142002850559542315e-01 2
6 -3.144128036326957044e+03 6.599544085783826119e-02 3
7 -1.807104483954079114e+03 2.576684247956126939e-01 0
6 -1.652845504968270234e+03 2.721457248395687256e-01 2
9 -1.117210842592323615e+03 1.431257719367646786e-01 0
4 -5.642112941076979951e+03 1.742241257486623618e-01 4
6 -2.659643107614615928e+03 7.875505367372896970e-01 0
4 -5.380126514328510893e+03 5.980634721271052001e-01 1
8 -7.302254692086181649e+02 2.232883233926088451e-01 2
2 -5.437291256780654294e+03 1.621283778623427985e-02 2
12 -2.083904762062107920e+02 8.882425280790245958e-01 3
3 -2.799372047682741595e+03 5.939886839797519080e-01 1
12 -2.081176557274665129e+02 8.581359778543351524e-03 4
1 -1.786457630920280644e+04 8.572073581503845130e-01 4
6 -1.840901929097898346e+03 1.563175420941718130e-01 0
9 -1.312235531799134833e+03 8.098100101726544153e-01 2
1 -1.034654943678783275e+04 1.638932780559096969e-01 2
7 -2.395742117679769763e+03 3.511025376822254351e-01 3
12 -1.703952602177829476e+02 5.547730780773152404e-01 1
3 -5.637777396993222283e+03 8.480153653401081293e-01 4
10 -8.985379604929319157e+02 4.175296296997399459e-01 4
13 -6.672566456974102778e+01 2.064409827477255988e-01 2
10 -8.419098348283889663e+02 7.039128368244191858e-01 2
8 -1.313651143349802396e+03 8.537421707479269095e-01 1
0 -1.464744176258639891e+04 1.758515411061498668e-01 1
2 -9.632908721208552379e+03 6.708359728752288920e-01 1
6 -1.306134703625422162e+03 5.180714215867044947e-01 1
8 -9.432245461289364812e+02 1.541627098308726573e-01 1
13 1.796771137912107719e+01 1.179780639158138911e-01 1
2 -8.611242889012559317e+03 7.080635357454371226e-01 2
5 -3.571365031023274241e+03 2.222972389515169220e-02 4
3 -6.353049843303878333e+03 2.744769247070353302e-01 4
11 -6.962919502546542390e+02 9.073315822019321075e-01 1
14 -5.426977815373056302e+01 8.447710943269802486e-02 0
11 -6.523072945219988696e+02 6.746455605707204484e-01 3
2 -6.601036500164567769e+03 2.091730247536085496e-01 4
9 -1.362571332938808155e+03 5.520997602673978211e-01 0
16 1.392495493055868678e+02 7.051795169001042751e-01 1
13 3.613168920563554565e+01 6.668016333270143647e-01 1
4 -4.623967477306850924e+03 8.091226899299779340e-01 2
17 1.867262988061856390e+02 2.345487320489567651e-01 3
11 -3.299094594136693672e+02 4.732855945946812248e-01 1
17 1.871970333343732591e+02 5.564951727605649268e-01 0
20 2.134809933030735465e+02 1.720271746159760806e-01 3
12 -4.098394228591117212e+02 4.762856327861275108e-01 2
20 2.160383404246037742e+02 5.782074007930894100e-01 3
20 2.210652500344556870e+02 8.950978439689379895e-01 3
21 2.287577574750484359e+02 2.719901500581514142e-01 4
14 -2.540458308819362543e+01 5.376780156287184198e-01 1
12 -4.100413396387249350e+02 4.101266011983014104e-01 0
10 -9.534580687132349794e+02 1.799397247479369438e-02 2
13 -5.036766873533073152e+01 5.348415605672465212e-01 2
18 1.884544732077457354e+02 8.975065183280968029e-01 4
17 1.926824566717402831e+02 9.358261414634765352e-01 0
13 -2.041837030286815491e+02 3.473329146456627381e-02 3
17 1.942646251473150301e+02 7.174012594578382807e-01 0
21 2.202095344511099313e+02 1.008707577702323832e-01 3
19 1.980399656058689288e+02 1.645759455439579910e-01 4
23 2.292723274233969448e+02 5.476817282420586297e-01 3
22 2.334690834718049359e+02 6.345374437164056358e-01 0
24 2.343560787543131028e+02 2.066325286185021759e-01 2
23 2.341006101069730505e+02 3.216592929944281920e-01 1
24 2.351915124663515826e+02 1.866870372542581147e-01 2
22 2.277578003705596075e+02 1.637133906786119586e-01 0
26 2.385593266582015133e+02 4.815449564766538515e-02 0
21 2.171782210731188343e+02 8.811641403654842941e-01 0
27 2.408560725058951562e+02 4.763295457493362806e-01 0
8 -1.316939843620768443e+03 9.389879597744721362e-01 2
17 1.764100892591273748e+02 7.221857061392694677e-01 2
19 2.079734502547839838e+02 6.580934545780064981e-01 3
24 2.311426068151572508e+02 8.505000849555912623e-01 2
12 -7.176850383930053567e+01 1.873142427605885008e-01 3
23 2.300729131073491658e+02 8.099837068377784277e-01 0
20 2.234984760711086551e+02 7.316546172347895283e-01 4
24 2.389557340875269915e+02 9.215799956733069509e-01 2
15 1.141020985669820220e+02 1.919903687414796778e-01 4
20 2.100923814592039491e+02 9.211275498031559206e-01 1
17 1.803004225516564247e+02 3.241797391618783108e-01 3
10 -7.456637035497126362e+02 6.740841102519814498e-01 4
16 1.189610083451579214e+02 5.813555693262728585e-01 3
22 2.254006386394243293e+02 5.383175362983977363e-01 0
7 -1.640740745838829298e+03 6.576097715091916429e-01 3
22 2.238365747309971425e+02 5.915280677670580189e-01 0
27 2.402755021770224175e+02 3.623863865161580100e-01 0
23 2.284993282574122304e+02 9.488735036118045585e-01 0
25 2.341044328929784797e+02 8.588165998398226142e-01 0
14 1.159674734994495964e+02 7.841496982056123111e-02 3
26 2.372762521077710858e+02 2.018450928325865590e-02 2
24 2.315124735734953560e+02 2.647619725566379700e-01 2
26 2.401564467679008317e+02 6.909969248653008433e-01 4
5 -3.952925013858428883e+03 6.953599356116304531e-01 3
4 -5.326397849781711557e+03 1.127228627603395761e-01 3
3 -6.605128883324189701e+03 9.739172393962620689e-01 1
8 -1.576840729794018443e+03 5.964664913792185885e-01 1
3 -6.761073269348282338e+03 8.244406294783530598e-01 1
20 2.106628290440225442e+02 4.021098818619242010e-01 3
15 1.151570846217556721e+02 3.880314081211863608e-01 1
29 2.428520690938543680e+02 5.904030633461795352e-01 2
27 2.405916430068064074e+02 3.552353178093575758e-01 2
28 2.419857740099627961e+02 1.318916324838408372e-01 2
26 2.373751916760275833e+02 1.313817116528949447e-01 4
17 1.748723362299724897e+02 2.964413612154557232e-01 2
16 1.577109093011958407e+02 2.670389561529866174e-01 2
21 2.267587913142768343e+02 7.673204748289302879e-02 3
31 2.454075259821047155e+02 7.924814852711543622e-01 0
26 2.377312341639986357e+02 4.184508088826732752e-02 0
28 2.428306231719723201e+02 6.818570362578846300e-01 4
29 2.427460077003096899e+02 7.894417877282791096e-01 3
32 2.458396995182547471e+02 3.988794295465272199e-01 0
27 2.412118348148171663e+02 2.334092128681388711e-01 3
28 2.418822926761380359e+02 6.713130394437927251e-01 3
20 2.297004161251032315e+02 2.915916737920551949e-01 2
22 2.243834653621740927e+02 5.067959585123145150e-01 2
32 2.458633434129506554e+02 7.734555548093987598e-01 0
27 2.399554542272932451e+02 2.582729354071071071e-01 4
29 2.428177259393585530e+02 1.950834808159128408e-02 1
27 2.400579967013341616e+02 2.155904637519245881e-02 1
22 2.298987957327182130e+02 8.088050850863415242e-01 2
27 2.412978089986020791e+02 4.037046257727101017e-01 0
22 2.244716594299502503e+02 6.576369020504750917e-01 2
33 2.459281071386720328e+02 4.754167488489374205e-01 0
22 2.253924551786498682e+02 3.220548000288907531e-01 4
33 2.459364428605369426e+02 6.242144878564621635e-01 0
28 2.427904443544559570e+02 4.966891205313117563e-01 1
29 2.435984089121188845e+02 1.500764028875203049e-01 3
25 2.426849042709849016e+02 3.307322511309142010e-01 2
28 2.422632313624940252e+02 5.368625656468525298e-01 2
27 2.411646500796462647e+02 8.975297922026785891e-01 2
25 2.355423678524868194e+02 7.873306880634860505e-01 2
22 2.333470603012599724e+02 8.292058517815642515e-01 4
32 2.456438281667634556e+02 3.244671962632503792e-01 0
25 2.348560435048080706e+02 3.238307530632463238e-01 2
29 2.436955359146829210e+02 2.081364416863583644e-01 0
25 2.411692445830659040e+02 3.955320076182342603e-01 0
29 2.427054749227440595e+02 6.500023946870906455e-01 0
32 2.457752164153150716e+02 6.146666857180060894e-01 0
29 2.433913464498464805e+02 5.653434691916210397e-01 3
32 2.456445552804598265e+02 9.779929034244907449e-01 3
32 2.457549658347790853e+02 5.667550007607431439e-01 0
18 1.819280951593150633e+02 4.685095592075176896e-01 2
21 2.235892644911599803e+02 7.448883058820845449e-01 1
35 2.464577793094915137e+02 4.713230408924673487e-01 0
35 2.464580659072453557e+02 9.580186538683511666e-01 0
30 2.451444894040505460e+02 4.684981152775493513e-02 3
20 2.140040452745667210e+02 3.380405077688993232e-01 1
23 2.284555360569575839e+02 6.338707547152916399e-02 2
23 2.306330718661814387e+02 8.138766340648480035e-01 4
20 2.149463212729690440e+02 1.184783840077074102e-01 4
3 -6.150641908251067434e+03 1.122068592860733238e-01 2
16 1.030752507109599208e+02 7.548947918988886396e-01 1
33 2.468512086853229164e+02 2.863482752644692653e-01 3
10 -9.276805811801245909e+02 7.287263629627971362e-01 1
19 2.199228643965204810e+02 9.475490475080494690e-01 4
22 2.285774399481966270e+02 4.260387338582801720e-01 4
6 -2.216999981845169714e+03 6.364536787448038524e-02 2
12 -3.240978320902166843e+02 8.076555901611489618e-01 1
2 -8.220194927109459968e+03 5.408925005658249408e-02 1
38 2.472393889805143203e+02 6.438956211067605739e-01 0
17 1.794492676088720486e+02 2.012724327405437663e-01 4
36 2.472253559749293288e+02 3.103605298118029543e-01 3
19 2.038823613149914706e+02 2.493593336491096435e-01 4
24 2.363705320911369370e+02 3.105057093071130758e-01 1
38 2.470866787613950919e+02 4.042378464839160301e-01 0
1 -8.176498103090152654e+03 1.350918957588323477e-01 2
26 2.397465155818237861e+02 7.338005557784635369e-02 4
11 -1.639826587662595330e+02 2.476918971514995016e-02 4
8 -1.350100634668493512e+03 9.142788744953520563e-01 4
16 1.119890239601252517e+02 8.888502491913186088e-01 4
4 -4.992642590589932297e+03 6.105907554874191456e-01 2
10 -9.586410740953542700e+02 5.472586476767289376e-01 4
12 -4.479430263654245437e+02 8.759713635521197972e-01 2
17 1.635268295031630146e+02 9.732820299039324219e-01 2
10 -9.865745604929290948e+02 3.959897673662083895e-01 4
33 2.459839402455359050e+02 2.663345730108979126e-02 1
1 -1.197107507418697242e+04 6.126706992545363217e-01 4
37 2.468098483321941217e+02 2.350154698174314605e-01 0
10 -9.411075575387900471e+02 9.394994517179195981e-01 2
34 2.463025770445461831e+02 6.697680497415481327e-01 1
5 -1.470647704182718371e+03 8.695811450517965113e-02 4
4 -3.218369372544040743e+03 6.677950743593922267e-01 4
39 2.472485854418534927e+02 1.195305811985637040e-01 0
34 2.465348979078468972e+02 8.122182105344395442e-01 1
19 2.119988985924483416e+02 1.872003422779893178e-01 2
38 2.470857030497967344e+02 3.419487760731992343e-01 0
33 2.460926819808765913e+02 5.540076998926254381e-01 1
32 2.460091558869901291e+02 9.672340996226879151e-01 1
36 2.467617631205992268e+02 5.547039408406708727e-01 3
32 2.458106728955710025e+02 6.100457305213318193e-01 1
6 -1.946676126789430782e+03 5.812889933545494214e-01 2
3 -6.741743711189777969e+03 4.910632188814568755e-01 2
1 -1.523174991562204013e+04 2.055141534538407200e-02 2
32 2.456860293262361949e+02 3.375221686293706225e-01 1
7 -2.005701937045328123e+03 6.738011867755746565e-01 2
25 2.355484004634477628e+02 2.987406984759220785e-02 4
36 2.466379932624665230e+02 3.986607949370003512e-01 0
29 2.449372862024027313e+02 5.661202713492801131e-01 1
38 2.471756323668768403e+02 6.638461763089997802e-01 0
5 -3.549913485774620312e+03 7.724233308091988937e-01 2
35 2.464389455556697612e+02 3.164624420588442177e-01 0
17 1.591912488184178187e+02 7.318179612278996604e-02 4
31 2.460864882539975724e+02 8.961546607218404681e-01 0
0 -8.960579074460907577e+03 9.929876119833696002e-01 2
37 2.468495949257805933e+02 1.684005032252136047e-01 0
10 -8.905431625102592079e+02 3.041530158947294282e-01 2
32 2.459129192831422301e+02 1.902885941228963373e-01 0
28 2.435014346127418605e+02 2.993176726035937651e-01 3
32 2.462252961136176168e+02 3.469118170582330407e-01 3
